"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.792256721167209,-0.996974743438728,0.272081525385216,-0.795684123482847,-0.99838675846922,-0.0187505475392225,0.529453638411786,-0.996974743438728,-0.998184912201638,-0.996974743438728,-0.795684123482847,-0.996974743438728,-0.993546470114782,-0.943324552913237,-0.792256721167209,-0.893909519032774,0.99838675846922,0.792256721167209,0.81988530938711,0.893707471601572,0.819283897723941,-0.0187505475392225,0.198077788175138,0.93465132803537,-1.17161403746657e-05
"CLDN7",0.792256721167209,1,-0.789230382486152,0.474585998687122,-0.996571376593448,-0.790642008092931,0.120413581724123,0.734773511895131,-0.789230382486152,-0.794073187069747,-0.789230382486152,-0.996571376593448,-0.789230382486152,-0.792658573006627,-0.848938021137818,-1,-0.897952774414523,0.790642008092931,1,0.97237021601977,0.898557024419178,0.972569566655715,0.120413581724123,0.0952032646884464,0.851553427578645,0.0112920260584178
"FOXC2",-0.996974743438728,-0.789230382486152,1,-0.26905671342788,0.792658142832858,0.998588151731052,0.0169365980328716,-0.526426665858565,1,0.995160018523954,1,0.792658142832858,1,0.996571362367337,0.940300472345344,0.789230382486152,0.891289278550371,-0.998588151731052,-0.789230382486152,-0.816860251423883,-0.890683716531047,-0.81666090119613,0.0169365980328716,-0.197873544626534,-0.937676324509842,-0.000998961923328047
"GRHL2",0.272081525385216,0.474585998687122,-0.26905671342788,1,-0.471156407862713,-0.270468808818865,0.645831610335121,0.739817867031786,-0.26905671342788,-0.273896272504505,-0.26905671342788,-0.471156407862713,-0.26905671342788,-0.272486248749521,-0.328757165343142,-0.474585998687122,-0.372525548542243,0.270468808818865,0.474585998687122,0.446951707113384,0.37313059057462,0.447155529076464,0.645831610335121,0.0135202151419087,0.326137111861021,-0.00625916299100362
"GSC",-0.795684123482847,-0.996571376593448,0.792658142832858,-0.471156407862713,1,0.79406988968655,-0.116986191220017,-0.731345808209575,0.792658142832858,0.7975002317955,0.792658142832858,1,0.792658142832858,0.789229072314596,0.852364388830561,0.996571376593448,0.901378819955912,-0.79406988968655,-0.996571376593448,-0.975797859114602,-0.901983188577567,-0.975998537776129,-0.116986191220017,-0.0986343533094217,-0.848123966418631,-0.0118949241562945
"KLF8",-0.99838675846922,-0.790642008092931,0.998588151731052,-0.270468808818865,0.79406988968655,1,0.018348904140071,-0.527838059235863,0.998588151731052,0.996572159537001,0.998588151731052,0.79406988968655,0.998588151731052,0.995159395780387,0.941712892928077,0.790642008092931,0.892298454591846,-1,-0.790642008092931,-0.818272316472882,-0.892096246695891,-0.81766912307831,0.018348904140071,-0.196460838687924,-0.936264387871616,-0.00160478212707933
"NP63",-0.0187505475392225,0.120413581724123,0.0169365980328716,0.645831610335121,-0.116986191220017,0.018348904140071,1,0.385638278506473,0.0169365980328716,0.0205645109949462,0.0169365980328716,-0.116986191220017,0.0169365980328716,0.013509099377714,-0.0226012840375548,-0.120413581724123,-0.0591100275561834,-0.018348904140071,0.120413581724123,0.0948036683225758,0.0585044207766703,0.0982271544290143,1,-0.0111013379694811,0.0187621227351546,-0.00826148352013364
"OVOL2",0.529453638411786,0.734773511895131,-0.526426665858565,0.739817867031786,-0.731345808209575,-0.527838059235863,0.385638278506473,1,-0.526426665858565,-0.531270641746412,-0.526426665858565,-0.731345808209575,-0.526426665858565,-0.52985412747019,-0.586136271398636,-0.734773511895131,-0.632730911480041,0.527838059235863,0.734773511895131,0.707146622735117,0.633335092181584,0.707343073529357,0.385638278506473,0.0526389068544136,0.586328655891325,-0.000198034386673411
"SNAI1",-0.996974743438728,-0.789230382486152,1,-0.26905671342788,0.792658142832858,0.998588151731052,0.0169365980328716,-0.526426665858565,1,0.995160018523954,1,0.792658142832858,1,0.996571362367337,0.940300472345344,0.789230382486152,0.891289278550371,-0.998588151731052,-0.789230382486152,-0.816860251423883,-0.890683716531047,-0.81666090119613,0.0169365980328716,-0.197873544626534,-0.937676324509842,-0.000998961923328047
"SNAI2",-0.998184912201638,-0.794073187069747,0.995160018523954,-0.273896272504505,0.7975002317955,0.996572159537001,0.0205645109949462,-0.531270641746412,0.995160018523954,1,0.995160018523954,0.7975002317955,0.995160018523954,0.991732106556474,0.945138801013787,0.794073187069747,0.894916505606096,-0.996572159537001,-0.794073187069747,-0.821700499537936,-0.89552137347691,-0.820697029793584,0.0205645109949462,-0.199895681378776,-0.932836838691253,-0.00139796634625096
"TCF3",-0.996974743438728,-0.789230382486152,1,-0.26905671342788,0.792658142832858,0.998588151731052,0.0169365980328716,-0.526426665858565,1,0.995160018523954,1,0.792658142832858,1,0.996571362367337,0.940300472345344,0.789230382486152,0.891289278550371,-0.998588151731052,-0.789230382486152,-0.816860251423883,-0.890683716531047,-0.81666090119613,0.0169365980328716,-0.197873544626534,-0.937676324509842,-0.000998961923328047
"TGF-beta",-0.795684123482847,-0.996571376593448,0.792658142832858,-0.471156407862713,1,0.79406988968655,-0.116986191220017,-0.731345808209575,0.792658142832858,0.7975002317955,0.792658142832858,1,0.792658142832858,0.789229072314596,0.852364388830561,0.996571376593448,0.901378819955912,-0.79406988968655,-0.996571376593448,-0.975797859114602,-0.901983188577567,-0.975998537776129,-0.116986191220017,-0.0986343533094217,-0.848123966418631,-0.0118949241562945
"TWIST1",-0.996974743438728,-0.789230382486152,1,-0.26905671342788,0.792658142832858,0.998588151731052,0.0169365980328716,-0.526426665858565,1,0.995160018523954,1,0.792658142832858,1,0.996571362367337,0.940300472345344,0.789230382486152,0.891289278550371,-0.998588151731052,-0.789230382486152,-0.816860251423883,-0.890683716531047,-0.81666090119613,0.0169365980328716,-0.197873544626534,-0.937676324509842,-0.000998961923328047
