"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.875027965134039,-0.998590942229618,0.298109215690565,-0.875027965134039,-0.999798722860492,-0.0178647622453909,0.586770900340097,-0.998590942229618,-0.999597405746814,-0.998590942229618,-0.875027965134039,-0.998590942229618,-0.998590942229618,-0.950898231220172,-0.875027965134039,-0.916091702950717,0.999798722860492,0.875027965134039,0.877237695189508,0.915891988418255,0.88067771576209,-0.0178647622453909,0.184936399598995,0.95953985145022,0.0169612547053729
"CLDN7",0.875027965134039,1,-0.873617521769179,0.423109308626858,-1,-0.874828102882088,0.0857421252065379,0.711755324054228,-0.873617521769179,-0.875430550798909,-0.873617521769179,-1,-0.873617521769179,-0.873617521769179,-0.92411762473874,-1,-0.958937138172913,0.874828102882088,1,0.997786009615683,0.959138436208496,0.994365199211023,0.0857421252065379,0.126022172344475,0.912680875163974,0.0315937700195434
"FOXC2",-0.998590942229618,-0.873617521769179,1,-0.296699937794092,0.873617521769179,0.99879229823257,0.016457190276526,-0.58536099955327,1,0.998188348506592,1,0.873617521769179,1,1,0.949488214305794,0.873617521769179,0.914681205510801,-0.99879229823257,-0.873617521769179,-0.875827371239019,-0.914481450352345,-0.879266936245603,0.016457190276526,-0.18594444049628,-0.960949301256627,-0.0167583535037201
"GRHL2",0.298109215690565,0.423109308626858,-0.296699937794092,1,-0.423109308626858,-0.297908165242484,0.662666660569117,0.711353269359214,-0.296699937794092,-0.298511801192318,-0.296699937794092,-0.423109308626858,-0.296699937794092,-0.296699937794092,-0.347221544969209,-0.423109308626858,-0.382046463437207,0.297908165242484,0.423109308626858,0.420894419177273,0.382248014631102,0.417475881572497,0.662666660569117,0.0281743374456177,0.335753301521619,-0.000597562695688266
"GSC",-0.875027965134039,-1,0.873617521769179,-0.423109308626858,1,0.874828102882088,-0.0857421252065379,-0.711755324054228,0.873617521769179,0.875430550798909,0.873617521769179,1,0.873617521769179,0.873617521769179,0.92411762473874,1,0.958937138172913,-0.874828102882088,-1,-0.997786009615683,-0.959138436208496,-0.994365199211023,-0.0857421252065379,-0.126022172344475,-0.912680875163974,-0.0315937700195434
"KLF8",-0.999798722860492,-0.874828102882088,0.99879229823257,-0.297908165242484,0.874828102882088,1,0.0176619479215983,-0.586570484872257,0.99879229823257,0.999396128060832,0.99879229823257,0.874828102882088,0.99879229823257,0.99879229823257,0.950697945166803,0.874828102882088,0.915891896437892,-1,-0.874828102882088,-0.877037714493231,-0.91569222209934,-0.880478184671861,0.0176619479215983,-0.184733566916175,-0.959740832626135,-0.0171641571369125
"NP63",-0.0178647622453909,0.0857421252065379,0.016457190276526,0.662666660569117,-0.0857421252065379,0.0176619479215983,1,0.374001450708779,0.016457190276526,0.018267359394097,0.016457190276526,-0.0857421252065379,0.016457190276526,0.016457190276526,-0.0203415054875493,-0.0857421252065379,-0.0503143318976877,-0.0176619479215983,0.0857421252065379,0.0835324615058308,0.0501115111243748,0.0800938274510136,1,-0.00758172809725318,0.0149578382903287,-0.00750816217555037
"OVOL2",0.586770900340097,0.711755324054228,-0.58536099955327,0.711353269359214,-0.711755324054228,-0.586570484872257,0.374001450708779,1,-0.58536099955327,-0.587173485743982,-0.58536099955327,-0.711755324054228,-0.58536099955327,-0.58536099955327,-0.635870815189156,-0.711755324054228,-0.670692488847029,0.586570484872257,0.711755324054228,0.709541006565069,0.670893872907968,0.706120889158438,0.374001450708779,0.0813272127175044,0.624419667215947,0.00945767937305827
"SNAI1",-0.998590942229618,-0.873617521769179,1,-0.296699937794092,0.873617521769179,0.99879229823257,0.016457190276526,-0.58536099955327,1,0.998188348506592,1,0.873617521769179,1,1,0.949488214305794,0.873617521769179,0.914681205510801,-0.99879229823257,-0.873617521769179,-0.875827371239019,-0.914481450352345,-0.879266936245603,0.016457190276526,-0.18594444049628,-0.960949301256627,-0.0167583535037201
"SNAI2",-0.999597405746814,-0.875430550798909,0.998188348506592,-0.298511801192318,0.875430550798909,0.999396128060832,0.018267359394097,-0.587173485743982,0.998188348506592,1,0.998188348506592,0.875430550798909,0.998188348506592,0.998188348506592,0.951300816991066,0.875430550798909,0.916091702950717,-0.999396128060832,-0.875430550798909,-0.877640280634172,-0.91629457418915,-0.881080302731891,0.018267359394097,-0.185339000760751,-0.959137253029096,-0.016961254705373
