"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.879128992164918,-0.994560725772213,0.285291591211203,-0.869864034419127,-0.997381100708466,-0.0184990803725534,0.588661051902353,-0.994560725772213,-0.999395655411583,-0.994560725772213,-0.869864034419127,-0.994560725772213,-0.997179940640236,-0.948632839747589,-0.879128992164918,-0.906526714974096,0.997381100708466,0.879128992164918,0.873287255349376,0.916195280615147,0.874297176311282,-0.0184990803725534,0.202260573303529,0.959507803957264,-0.000219960145415231
"CLDN7",0.879128992164918,1,-0.873689957745318,0.406153099956524,-0.990733529063116,-0.876510314368161,0.0769798689484792,0.709524058817777,-0.873689957745318,-0.879733164018625,-0.873689957745318,-0.990733529063116,-0.873689957745318,-0.876309739646159,-0.930096668751029,-1,-0.953263011626133,0.876510314368161,1,0.987308518500955,0.962932949716151,0.985899097602702,0.0769798689484792,0.140614449821299,0.91398217532105,0.0163053530221105
"FOXC2",-0.994560725772213,-0.873689957745318,1,-0.27985376209924,0.869662958735138,0.997179622259475,0.019102012634675,-0.583222952784895,1,0.993956426354542,1,0.869662958735138,1,0.997381251993399,0.943596999236429,0.873689957745318,0.907131329130459,-0.997179622259475,-0.873689957745318,-0.873086060988211,-0.910756104822474,-0.874499093194774,0.019102012634675,-0.205282650790578,-0.959709037501584,-0.00280108566271117
"GRHL2",0.285291591211203,0.406153099956524,-0.27985376209924,1,-0.406147306946509,-0.282674155578184,0.670816038107066,0.696614080130661,-0.27985376209924,-0.285894470477477,-0.27985376209924,-0.406147306946509,-0.27985376209924,-0.28247726279797,-0.336241147873922,-0.406153099956524,-0.368682438587044,0.282674155578184,0.406153099956524,0.402726891264452,0.369091297381899,0.401309600603118,0.670816038107066,0.0350505851237379,0.320151370762881,0.000627499285720377
"GSC",-0.869864034419127,-0.990733529063116,0.869662958735138,-0.406147306946509,1,0.870065865908457,-0.0818088018945159,-0.70468532972112,0.869662958735138,0.870468051402565,0.869662958735138,1,0.869662958735138,0.867045398540179,0.921232473458588,0.990733529063116,0.962530238105531,-0.870065865908457,-0.990733529063116,-0.996575499446653,-0.9536671852727,-0.995165246591326,-0.0818088018945159,-0.149880553814048,-0.904717900219026,-0.02476940556539
"KLF8",-0.997381100708466,-0.876510314368161,0.997179622259475,-0.282674155578184,0.870065865908457,1,0.02031076241013,-0.586043305974014,0.997179622259475,0.996776798600991,0.997179622259475,0.870065865908457,0.997179622259475,0.996978339587662,0.946014441148127,0.876510314368161,0.906728421041481,-1,-0.876510314368161,-0.873488968823747,-0.913576469686308,-0.874499093194774,0.02031076241013,-0.202462308589294,-0.959306124629825,-0.00239817671529811
"NP63",-0.0184990803725534,0.0769798689484792,0.019102012634675,0.670816038107066,-0.0818088018945159,0.02031076241013,1,0.367436278908361,0.019102012634675,0.0191048974565276,0.019102012634675,-0.0818088018945159,0.019102012634675,0.0172845606808219,-0.0203631508438109,-0.0769798689484792,-0.0548196223253726,-0.02031076241013,0.0769798689484792,0.0783885561438441,0.0495877347766548,0.0773737715521943,1,-0.00524077169260818,0.00870511443163999,-0.00299409903701212
"OVOL2",0.588661051902353,0.709524058817777,-0.583222952784895,0.696614080130661,-0.70468532972112,-0.586043305974014,0.367436278908361,1,-0.583222952784895,-0.589264282553722,-0.583222952784895,-0.70468532972112,-0.583222952784895,-0.585845446818076,-0.63961552099688,-0.709524058817777,-0.667219077743466,0.586043305974014,0.709524058817777,0.701263505619628,0.672461074837227,0.699848724581855,0.367436278908361,0.08904032093315,0.623518718162035,0.0110906946111918
"SNAI1",-0.994560725772213,-0.873689957745318,1,-0.27985376209924,0.869662958735138,0.997179622259475,0.019102012634675,-0.583222952784895,1,0.993956426354542,1,0.869662958735138,1,0.997381251993399,0.943596999236429,0.873689957745318,0.907131329130459,-0.997179622259475,-0.873689957745318,-0.873086060988211,-0.910756104822474,-0.874499093194774,0.019102012634675,-0.205282650790578,-0.959709037501584,-0.00280108566271117
"SNAI2",-0.999395655411583,-0.879733164018625,0.993956426354542,-0.285894470477477,0.870468051402565,0.996776798600991,0.0191048974565276,-0.589264282553722,0.993956426354542,1,0.993956426354542,0.870468051402565,0.993956426354542,0.99657575852805,0.949236740743763,0.879733164018625,0.907130860698471,-0.996776798600991,-0.879733164018625,-0.873891391810902,-0.916799581218572,-0.874901107361199,0.0191048974565276,-0.202864657107109,-0.958903697658858,-0.000385173385450652
