"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.882989453135871,-0.998793772632279,0.295520599437247,-0.879772588330468,-0.999597978106294,-0.0112840515682293,0.58764209169759,-0.998793772632279,-0.998592665153604,-0.998793772632279,-0.880174696431143,-0.998793772632279,-0.998793772632279,-0.968837183880394,-0.882989453135871,-0.916162469199393,0.999597978106294,0.882989453135871,0.872333895077518,0.930838490466731,0.873740966820337,-0.0112840515682293,0.194783729524268,0.957981526571864,0.00525887586885329
"CLDN7",0.882989453135871,1,-0.881781981505604,0.412527518587158,-0.996783085263115,-0.882586199462323,0.0872204176213223,0.704649640099481,-0.881781981505604,-0.884397455920989,-0.881781981505604,-0.997185199605226,-0.881781981505604,-0.881781981505604,-0.914151271351963,-1,-0.936265340782287,0.882586199462323,1,0.981301674204917,0.952150212931662,0.979894282894473,0.0872204176213223,0.135257116687313,0.9225935136642,0.021760015885223
"FOXC2",-0.998793772632279,-0.881781981505604,1,-0.294313162448707,0.878565109678727,0.999195792770639,0.0108839144518204,-0.586434388295626,1,0.99738651680045,1,0.878967218657086,1,1,0.967630641940117,0.881781981505604,0.916161639450235,-0.999195792770639,-0.881781981505604,-0.871126317464876,-0.92963178330393,-0.872533475003332,0.0108839144518204,-0.195183432415091,-0.959187109697173,-0.00606552170076858
"GRHL2",0.295520599437247,0.412527518587158,-0.294313162448707,1,-0.415744370910054,-0.295117364802137,0.674701596345828,0.707874139911139,-0.294313162448707,-0.296928533678779,-0.294313162448707,-0.415342264369692,-0.294313162448707,-0.294313162448707,-0.326681794260555,-0.412527518587158,-0.36286842251496,0.295117364802137,0.412527518587158,0.407903038906973,0.364679944834195,0.406495920481727,0.674701596345828,0.0251004236255155,0.335123194034756,-0.0076132628059362
"GSC",-0.879772588330468,-0.996783085263115,0.878565109678727,-0.415744370910054,1,0.879369327635446,-0.0904372759254015,-0.705453863013554,0.878565109678727,0.881180594431266,0.878565109678727,0.998793656973668,0.878565109678727,0.878565109678727,0.910934395819289,0.996783085263115,0.939482241280661,-0.879369327635446,-0.996783085263115,-0.984518593948081,-0.948933333563151,-0.983111197631357,-0.0904372759254015,-0.138474017185686,-0.919376613165827,-0.0249768952537345
"KLF8",-0.999597978106294,-0.882586199462323,0.999195792770639,-0.295117364802137,0.879369327635446,1,0.0116881183005266,-0.587238600482273,0.999195792770639,0.998190721445556,0.999195792770639,0.879771436613806,0.999195792770639,0.999195792770639,0.968434850095915,0.882586199462323,0.915759532251665,-1,-0.882586199462323,-0.871930536673148,-0.930435992418674,-0.873337692960051,0.0116881183005266,-0.194379218017952,-0.958382895300034,-0.00566341714339656
"NP63",-0.0112840515682293,0.0872204176213223,0.0108839144518204,0.674701596345828,-0.0904372759254015,0.0116881183005266,1,0.382570326304154,0.0108839144518204,0.0126904220644013,0.0108839144518204,-0.0900351686373916,0.0108839144518204,0.0108839144518204,-0.0154528093056502,-0.0872204176213223,-0.067318719207588,-0.0116881183005266,0.0872204176213223,0.0978754429686391,0.0514400642405524,0.09646888524555,1,-0.0050602722733183,0.0178597416956353,-0.00841505746717972
"OVOL2",0.58764209169759,0.704649640099481,-0.586434388295626,0.707874139911139,-0.705453863013554,-0.587238600482273,0.382570326304154,1,-0.586434388295626,-0.589050186690564,-0.586434388295626,-0.706660197384662,-0.586434388295626,-0.586434388295626,-0.618803307774787,-0.704649640099481,-0.648154113265524,0.587238600482273,0.704649640099481,0.693189208434347,0.656801826657249,0.691782073474328,0.382570326304154,0.0791689199780884,0.627244410049307,0.00546846166960503
"SNAI1",-0.998793772632279,-0.881781981505604,1,-0.294313162448707,0.878565109678727,0.999195792770639,0.0108839144518204,-0.586434388295626,1,0.99738651680045,1,0.878967218657086,1,1,0.967630641940117,0.881781981505604,0.916161639450235,-0.999195792770639,-0.881781981505604,-0.871126317464876,-0.92963178330393,-0.872533475003332,0.0108839144518204,-0.195183432415091,-0.959187109697173,-0.00606552170076858
"SNAI2",-0.998592665153604,-0.884397455920989,0.99738651680045,-0.296928533678779,0.881180594431266,0.998190721445556,0.0126904220644013,-0.589050186690564,0.99738651680045,1,0.99738651680045,0.881582702117481,0.99738651680045,0.99738651680045,0.970244717226257,0.884397455920989,0.916363992574816,-0.998190721445556,-0.884397455920989,-0.873741951459132,-0.932246105078589,-0.875148979138035,0.0126904220644013,-0.196192314156956,-0.956574583217913,-0.00545870946566107
"TCF3",-0.998793772632279,-0.881781981505604,1,-0.294313162448707,0.878565109678727,0.999195792770639,0.0108839144518204,-0.586434388295626,1,0.99738651680045,1,0.878967218657086,1,1,0.967630641940117,0.881781981505604,0.916161639450235,-0.999195792770639,-0.881781981505604,-0.871126317464876,-0.92963178330393,-0.872533475003332,0.0108839144518204,-0.195183432415091,-0.959187109697173,-0.00606552170076858
"TGF-beta",-0.880174696431143,-0.997185199605226,0.878967218657086,-0.415342264369692,0.998793656973668,0.879771436613806,-0.0900351686373916,-0.706660197384662,0.878967218657086,0.881582702117481,0.878967218657086,1,0.878967218657086,0.878967218657086,0.911336505260873,0.997185199605226,0.939080128718364,-0.879771436613806,-0.997185199605226,-0.984116478980185,-0.949335443484215,-0.982709083289247,-0.0900351686373916,-0.138071904623389,-0.919778725728124,-0.0245747853326706
"TWIST1",-0.998793772632279,-0.881781981505604,1,-0.294313162448707,0.878565109678727,0.999195792770639,0.0108839144518204,-0.586434388295626,1,0.99738651680045,1,0.878967218657086,1,1,0.967630641940117,0.881781981505604,0.916161639450235,-0.999195792770639,-0.881781981505604,-0.871126317464876,-0.92963178330393,-0.872533475003332,0.0108839144518204,-0.195183432415091,-0.959187109697173,-0.00606552170076858
"TWIST2",-0.998793772632279,-0.881781981505604,1,-0.294313162448707,0.878565109678727,0.999195792770639,0.0108839144518204,-0.586434388295626,1,0.99738651680045,1,0.878967218657086,1,1,0.967630641940117,0.881781981505604,0.916161639450235,-0.999195792770639,-0.881781981505604,-0.871126317464876,-0.92963178330393,-0.872533475003332,0.0108839144518204,-0.195183432415091,-0.959187109697173,-0.00606552170076858
"VIM",-0.968837183880394,-0.914151271351963,0.967630641940117,-0.326681794260555,0.910934395819289,0.968434850095915,-0.0154528093056502,-0.618803307774787,0.967630641940117,0.970244717226257,0.967630641940117,0.911336505260873,0.967630641940117,0.967630641940117,1,0.914151271351963,0.946118300927175,-0.968434850095915,-0.914151271351963,-0.903495604987526,-0.96200109576516,-0.904902754195526,-0.0154528093056502,-0.19055800441995,-0.936065609382375,-0.0295898850134663
"ZEB1",-0.882989453135871,-1,0.881781981505604,-0.412527518587158,0.996783085263115,0.882586199462323,-0.0872204176213223,-0.704649640099481,0.881781981505604,0.884397455920989,0.881781981505604,0.997185199605226,0.881781981505604,0.881781981505604,0.914151271351963,1,0.936265340782287,-0.882586199462323,-1,-0.981301674204917,-0.952150212931662,-0.979894282894473,-0.0872204176213223,-0.135257116687313,-0.9225935136642,-0.021760015885223
"ZEB2",-0.916162469199393,-0.936265340782287,0.916161639450235,-0.36286842251496,0.939482241280661,0.915759532251665,-0.067318719207588,-0.648154113265524,0.916161639450235,0.916363992574816,0.916161639450235,0.939080128718364,0.916161639450235,0.916161639450235,0.946118300927175,0.936265340782287,1,-0.915759532251665,-0.936265340782287,-0.954963646325151,-0.984117233703962,-0.956370968897121,-0.067318719207588,-0.19778898893108,-0.904699744549707,-0.0706124208463355
"miR-101",0.999597978106294,0.882586199462323,-0.999195792770639,0.295117364802137,-0.879369327635446,-1,-0.0116881183005266,0.587238600482273,-0.999195792770639,-0.998190721445556,-0.999195792770639,-0.879771436613806,-0.999195792770639,-0.999195792770639,-0.968434850095915,-0.882586199462323,-0.915759532251665,1,0.882586199462323,0.871930536673148,0.930435992418674,0.873337692960051,-0.0116881183005266,0.194379218017952,0.958382895300034,0.00566341714339656
"miR-141",0.882989453135871,1,-0.881781981505604,0.412527518587158,-0.996783085263115,-0.882586199462323,0.0872204176213223,0.704649640099481,-0.881781981505604,-0.884397455920989,-0.881781981505604,-0.997185199605226,-0.881781981505604,-0.881781981505604,-0.914151271351963,-1,-0.936265340782287,0.882586199462323,1,0.981301674204917,0.952150212931662,0.979894282894473,0.0872204176213223,0.135257116687313,0.9225935136642,0.021760015885223
"miR-200a",0.872333895077518,0.981301674204917,-0.871126317464876,0.407903038906973,-0.984518593948081,-0.871930536673148,0.0978754429686391,0.693189208434347,-0.871126317464876,-0.873741951459132,-0.871126317464876,-0.984116478980185,-0.871126317464876,-0.871126317464876,-0.903495604987526,-0.981301674204917,-0.954963646325151,0.871930536673148,0.981301674204917,1,0.941494552573681,0.990550318466512,0.0978754429686391,0.153954175672134,0.903895271439141,0.036840407892878
"miR-200b",0.930838490466731,0.952150212931662,-0.92963178330393,0.364679944834195,-0.948933333563151,-0.930435992418674,0.0514400642405524,0.656801826657249,-0.92963178330393,-0.932246105078589,-0.92963178330393,-0.949335443484215,-0.92963178330393,-0.92963178330393,-0.96200109576516,-0.952150212931662,-0.984117233703962,0.930435992418674,0.952150212931662,0.941494552573681,1,0.942901684747191,0.0514400642405524,0.183117816294815,0.91817149853574,0.0547227266730305
"miR-200c",0.873740966820337,0.979894282894473,-0.872533475003332,0.406495920481727,-0.983111197631357,-0.873337692960051,0.09646888524555,0.691782073474328,-0.872533475003332,-0.875148979138035,-0.872533475003332,-0.982709083289247,-0.872533475003332,-0.872533475003332,-0.904902754195526,-0.979894282894473,-0.956370968897121,0.873337692960051,0.979894282894473,0.990550318466512,0.942901684747191,1,0.09646888524555,0.155362744802146,0.902487885549367,0.037040192885653
"miR-205",-0.0112840515682293,0.0872204176213223,0.0108839144518204,0.674701596345828,-0.0904372759254015,0.0116881183005266,1,0.382570326304154,0.0108839144518204,0.0126904220644013,0.0108839144518204,-0.0900351686373916,0.0108839144518204,0.0108839144518204,-0.0154528093056502,-0.0872204176213223,-0.067318719207588,-0.0116881183005266,0.0872204176213223,0.0978754429686391,0.0514400642405524,0.09646888524555,1,-0.0050602722733183,0.0178597416956353,-0.00841505746717972
"miR-30c",0.194783729524268,0.135257116687313,-0.195183432415091,0.0251004236255155,-0.138474017185686,-0.194379218017952,-0.0050602722733183,0.0791689199780884,-0.195183432415091,-0.196192314156956,-0.195183432415091,-0.138071904623389,-0.195183432415091,-0.195183432415091,-0.19055800441995,-0.135257116687313,-0.19778898893108,0.194379218017952,0.135257116687313,0.153954175672134,0.183117816294815,0.155362744802146,-0.0050602722733183,1,0.154361024422086,-0.0130260725377521
"miR-34a",0.957981526571864,0.9225935136642,-0.959187109697173,0.335123194034756,-0.919376613165827,-0.958382895300034,0.0178597416956353,0.627244410049307,-0.959187109697173,-0.956574583217913,-0.959187109697173,-0.919778725728124,-0.959187109697173,-0.959187109697173,-0.936065609382375,-0.9225935136642,-0.904699744549707,0.958382895300034,0.9225935136642,0.903895271439141,0.91817149853574,0.902487885549367,0.0178597416956353,0.154361024422086,1,0.0094919833733484
"miR-9",0.00525887586885329,0.021760015885223,-0.00606552170076858,-0.0076132628059362,-0.0249768952537345,-0.00566341714339656,-0.00841505746717972,0.00546846166960503,-0.00606552170076858,-0.00545870946566107,-0.00606552170076858,-0.0245747853326706,-0.00606552170076858,-0.00606552170076858,-0.0295898850134663,-0.021760015885223,-0.0706124208463355,0.00566341714339656,0.021760015885223,0.036840407892878,0.0547227266730305,0.037040192885653,-0.00841505746717972,-0.0130260725377521,0.0094919833733484,1
