states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'010100011000001111',0.07273333333333333,0.0013767917618708887,0.0625,0.0645,0.0009933109617167547,0.0625,0.0943,0.0021771541057077222,0.0625
'110101011000001111',0.10616666666666667,0.000464279609239473,0.0625,0.13216666666666668,0.00391946708395698,0.0625,0.09266666666666666,0.0017632041540584307,0.0625
'101010100111110000',0.13603333333333334,0.0024458581770458836,0.03125,0.13956666666666667,0.002163844315615662,0.03125,0.14216666666666666,0.0013816254517375125,0.03125
'001011100111110000',0.057433333333333336,0.0030070288030250433,0.09375,0.06573333333333332,0.0020417857108151367,0.09375,0.06163333333333334,0.0030728199137310674,0.09375
'101011100111110000',0.07486666666666668,0.0023328570942563573,0.0625,0.06433333333333334,0.0011440668201153665,0.0625,0.08873333333333333,0.00040276819911982026,0.0625
'101011100111011000',0.011666666666666667,0.0006847546194724717,0.21875,0.005833333333333334,0.0011440668201153676,0.21875,0.0117,0.0013490737563232047,0.21875
'001010100111110000',0.10636666666666666,0.0004921607686744436,0.0625,0.1346333333333333,0.0011671427600007706,0.0625,0.08896666666666668,0.0019344824171395908,0.0625
'110100011001100011',0.0021,0.0003265986323710905,0.28125,0.0022,0.0002160246899469286,0.28125,0.0019333333333333331,4.714045207910319e-5,0.28125
'101010100110011100',0.003133333333333333,0.0003681787005729086,0.28125,0.0017000000000000001,0.00021602468994692865,0.28125,0.004266666666666666,0.00044969125210773465,0.28125
'010101011000001111',0.13493333333333335,0.003306895153396239,0.03125,0.13233333333333333,0.003517890782209646,0.03125,0.13999999999999999,0.002060744202143161,0.03125
'110100011000001111',0.056833333333333326,0.0007039570693980962,0.09375,0.06606666666666668,0.0015839472494022294,0.09375,0.06143333333333334,4.714045207910125e-5,0.09375
'011000011000100101',0.006833333333333334,0.0008339997335464535,0.21875,0.0030666666666666668,0.0007408703590297622,0.21875,0.008566666666666667,0.00044969125210773475,0.21875
'010100011000100111',0.010733333333333333,0.0006599663291074444,0.21875,0.005666666666666667,0.0005312459150169742,0.21875,0.0104,0.0006164414002968983,0.21875
'110100011000100111',0.009100000000000002,0.0006531972647421812,0.25,0.0046,0.00045460605656619534,0.25,0.007933333333333332,0.0006847546194724712,0.25
'100111100110011110',0.002466666666666667,4.714045207910329e-5,0.25,0.0046,0.00028284271247461896,0.25,0.004366666666666667,0.0006798692684790379,0.25
'010100011001100111',0.002033333333333333,0.00040276819911981907,0.28125,0.0011666666666666668,0.0003091206165165235,0.28125,0.0020666666666666667,0.00012472191289246475,0.28125
'100111100111011010',0.006366666666666666,0.0004109609335312651,0.21875,0.0030666666666666668,0.0003299831645537222,0.21875,0.008133333333333333,0.0008730533902472526,0.21875
'101011100110011100',0.0037,0.0004082482904638628,0.25,0.002766666666666667,0.0007363574011458175,0.25,0.0032333333333333333,0.000579271573232759,0.25
'110101011001100011',0.002033333333333333,0.00030912061651652346,0.3125,0.0019666666666666665,0.0005436502143433364,0.3125,0.0016,0.0006683312551921141,0.3125
'000111100110011010',0.0015000000000000002,0.0004242640687119285,0.3125,0.0016666666666666668,0.00016996731711975947,0.3125,0.0008,0.0002943920288775949,0.3125
'111000011000100101',0.0046,0.00032659863237109054,0.25,0.002766666666666667,0.0005792715732327588,0.25,0.005666666666666666,0.0011469767022723504,0.25
