"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.732979938668868,0.663180318299246,0.704350956860695,0.354012124722671,-0.771666974176713,-0.663180318299246,-0.663180318299246,-0.771666974176713,-0.771666974176713,0.771666974176713,0.704350956860695,-0.771666974176713,0,-0.771666974176713,0.608508648505625,-0.663180318299246,0.704350956860695,-0.704350956860695
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.354012124722671,0.314156534654076,0.299087749831955,0.156373795986949,-0.325158741264024,-0.314156534654076,-0.314156534654076,-0.325158741264024,-0.325158741264024,0.325158741264024,0.299087749831955,-0.325158741264024,0,-0.325158741264024,0.291105687196449,-0.314156534654076,0.299087749831955,-0.299087749831955
"SNAIL1",0.378418720120388,0.337233457730999,0.325158741264024,0.0683606596979504,-0.354012124722671,-0.337233457730999,-0.337233457730999,-0.354012124722671,-0.354012124722671,0.354012124722671,0.325158741264024,-0.354012124722671,0,-0.354012124722671,0.314156534654076,-0.337233457730999,0.325158741264024,-0.325158741264024
"MIR340",-0.771666974176713,-0.608508648505625,-0.634929469257389,-0.325158741264024,0.704350956860695,0.608508648505625,0.608508648505625,0.704350956860695,0.704350956860695,-0.704350956860695,-0.634929469257389,0.704350956860695,0,0.704350956860695,-0.549199627392381,0.608508648505625,-0.634929469257389,0.634929469257389
"MIR34",-0.354012124722671,-0.314156534654076,-0.299087749831955,-0.156373795986949,0.325158741264024,0.314156534654076,0.314156534654076,0.325158741264024,0.325158741264024,-0.325158741264024,-0.299087749831955,0.325158741264024,0,0.325158741264024,-0.291105687196449,0.314156534654076,-0.299087749831955,0.299087749831955
"MIR200",-0.771666974176713,-0.608508648505625,-0.634929469257389,-0.325158741264024,0.704350956860695,0.608508648505625,0.608508648505625,0.704350956860695,0.704350956860695,-0.704350956860695,-0.634929469257389,0.704350956860695,0,0.704350956860695,-0.549199627392381,0.608508648505625,-0.634929469257389,0.634929469257389
"MIR190",-0.325158741264024,-0.291105687196449,-0.363011800464867,-0.146373795986949,0.299087749831955,0.291105687196449,0.291105687196449,0.299087749831955,0.299087749831955,-0.299087749831955,-0.263011800464867,0.299087749831955,0,0.299087749831955,-0.264191026364939,0.291105687196449,-0.263011800464867,0.263011800464867
"MIR1199",-0.771666974176713,-0.608508648505625,-0.634929469257389,-0.325158741264024,0.704350956860695,0.608508648505625,0.608508648505625,0.704350956860695,0.704350956860695,-0.704350956860695,-0.634929469257389,0.704350956860695,0,0.704350956860695,-0.549199627392381,0.608508648505625,-0.634929469257389,0.634929469257389
"HAS2",0.704350956860695,0.549199627392381,0.557234301971144,0.299087749831955,-0.634929469257389,-0.549199627392381,-0.549199627392381,-0.634929469257389,-0.634929469257389,0.634929469257389,0.657234301971144,-0.634929469257389,0,-0.634929469257389,0.487760038703435,-0.549199627392381,0.557234301971144,-0.557234301971144
"HA",0.771666974176713,0.608508648505625,0.634929469257389,0.325158741264024,-0.704350956860695,-0.608508648505625,-0.608508648505625,-0.704350956860695,-0.704350956860695,0.704350956860695,0.634929469257389,-0.704350956860695,0,-0.704350956860695,0.549199627392381,-0.608508648505625,0.634929469257389,-0.634929469257389
"GRHL2",-0.879319031075743,-0.728339069540779,-0.739750871708588,-0.356472701936413,0.811409163165875,0.728339069540779,0.728339069540779,0.811409163165875,0.811409163165875,-0.811409163165875,-0.739750871708588,0.811409163165875,0,0.811409163165875,-0.66845087946391,0.728339069540779,-0.739750871708588,0.839750871708588
"EXTGFB",0.354012124722671,0.314156534654076,0.299087749831955,0.156373795986949,-0.325158741264024,-0.314156534654076,-0.314156534654076,-0.325158741264024,-0.325158741264024,0.325158741264024,0.299087749831955,-0.325158741264024,0,-0.325158741264024,0.291105687196449,-0.314156534654076,0.299087749831955,-0.299087749831955
"ESRP1",-0.704350956860695,-0.549199627392381,-0.557234301971144,-0.299087749831955,0.634929469257389,0.549199627392381,0.549199627392381,0.634929469257389,0.634929469257389,-0.634929469257389,-0.557234301971144,0.634929469257389,0,0.634929469257389,-0.487760038703435,0.549199627392381,-0.657234301971144,0.557234301971144
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.771666974176713,0.608508648505625,0.634929469257389,0.325158741264024,-0.704350956860695,-0.608508648505625,-0.608508648505625,-0.704350956860695,-0.704350956860695,0.704350956860695,0.634929469257389,-0.704350956860695,0,-0.704350956860695,0.549199627392381,-0.608508648505625,0.634929469257389,-0.634929469257389
"CD24",-0.771666974176713,-0.608508648505625,-0.634929469257389,-0.325158741264024,0.704350956860695,0.608508648505625,0.608508648505625,0.704350956860695,0.704350956860695,-0.704350956860695,-0.634929469257389,0.704350956860695,0,0.704350956860695,-0.549199627392381,0.608508648505625,-0.634929469257389,0.634929469257389
