"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.318608171330012,0.372499922659821,0.371166282170701,0.252520191746224,-0.407002659126791,-0.372499922659821,-0.372499922659821,-0.407002659126791,-0.407002659126791,0.407002659126791,0.392369610950294,-0.407002659126791,0,-0.407002659126791,0.359654300540005,-0.372499922659821,0.392369610950294,-0.392369610950294
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.226810357672705,0.237937192593271,0.257356900675126,0.14577227956527,-0.219182274181244,-0.237937192593271,-0.237937192593271,-0.219182274181244,-0.219182274181244,0.219182274181244,0.209998600711856,-0.219182274181244,0,-0.219182274181244,0.229201860129125,-0.237937192593271,0.209998600711856,-0.209998600711856
"SNAIL1",0.232694378656683,0.244331551941679,0.266267004095969,0.0499705597878291,-0.226810357672705,-0.244331551941679,-0.244331551941679,-0.226810357672705,-0.226810357672705,0.226810357672705,0.219182274181244,-0.226810357672705,0,-0.226810357672705,0.237937192593271,-0.244331551941679,0.219182274181244,-0.219182274181244
"MIR340",0.407002659126791,0.359654300540005,0.354014178610831,0.244745072129,-0.392369610950294,-0.359654300540005,-0.359654300540005,-0.392369610950294,-0.392369610950294,0.392369610950294,0.373781375656176,-0.392369610950294,0,-0.392369610950294,0.343431909070089,-0.359654300540005,0.373781375656176,-0.373781375656176
"MIR34",-0.226810357672705,-0.237937192593271,-0.257356900675126,-0.14577227956527,0.219182274181244,0.237937192593271,0.237937192593271,0.219182274181244,0.219182274181244,-0.219182274181244,-0.209998600711856,0.219182274181244,0,0.219182274181244,-0.229201860129125,0.237937192593271,-0.209998600711856,0.209998600711856
"MIR200",-0.37144220057917,-0.419610880821828,-0.520260779481842,-0.246229353733591,0.358477502047461,0.419610880821828,0.419610880821828,0.358477502047461,0.358477502047461,-0.358477502047461,-0.341961479040066,0.358477502047461,0,0.358477502047461,-0.40562782997437,0.419610880821828,-0.341961479040066,0.341961479040066
"MIR190",-0.219182274181244,-0.229201860129125,-0.347378132097631,-0.141577421649167,0.209998600711856,0.229201860129125,0.229201860129125,0.209998600711856,0.209998600711856,-0.209998600711856,-0.19828197945845,0.209998600711856,0,0.209998600711856,-0.220332294911734,0.229201860129125,-0.19828197945845,0.19828197945845
"MIR1199",-0.407002659126791,-0.359654300540005,-0.354014178610831,-0.244745072129,0.392369610950294,0.359654300540005,0.359654300540005,0.392369610950294,0.392369610950294,-0.392369610950294,-0.373781375656176,0.392369610950294,0,0.392369610950294,-0.343431909070089,0.359654300540005,-0.373781375656176,0.373781375656176
"HAS2",0.392369610950294,0.343431909070089,0.332475717072369,0.235072809938752,-0.373781375656176,-0.343431909070089,-0.343431909070089,-0.373781375656176,-0.373781375656176,0.373781375656176,0.451009098428453,-0.373781375656176,0,-0.373781375656176,0.322677192088957,-0.343431909070089,0.351009098428453,-0.351009098428453
"HA",0.407002659126791,0.359654300540005,0.354014178610831,0.244745072129,-0.392369610950294,-0.359654300540005,-0.359654300540005,-0.392369610950294,-0.392369610950294,0.392369610950294,0.373781375656176,-0.392369610950294,0,-0.392369610950294,0.343431909070089,-0.359654300540005,0.373781375656176,-0.373781375656176
"GRHL2",-0.496475387932721,-0.4660889698397,-0.453141961019884,-0.268130830481412,0.480747611963982,0.4660889698397,0.4660889698397,0.480747611963982,0.480747611963982,-0.480747611963982,-0.461059840931891,0.480747611963982,0,0.480747611963982,-0.448658802241935,0.4660889698397,-0.461059840931891,0.561059840931891
"EXTGFB",0.226810357672705,0.237937192593271,0.257356900675126,0.14577227956527,-0.219182274181244,-0.237937192593271,-0.237937192593271,-0.219182274181244,-0.219182274181244,0.219182274181244,0.209998600711856,-0.219182274181244,0,-0.219182274181244,0.229201860129125,-0.237937192593271,0.209998600711856,-0.209998600711856
"ESRP1",-0.392369610950294,-0.343431909070089,-0.332475717072369,-0.235072809938752,0.373781375656176,0.343431909070089,0.343431909070089,0.373781375656176,0.373781375656176,-0.373781375656176,-0.351009098428453,0.373781375656176,0,0.373781375656176,-0.322677192088957,0.343431909070089,-0.451009098428453,0.351009098428453
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.407002659126791,0.359654300540005,0.354014178610831,0.244745072129,-0.392369610950294,-0.359654300540005,-0.359654300540005,-0.392369610950294,-0.392369610950294,0.392369610950294,0.373781375656176,-0.392369610950294,0,-0.392369610950294,0.343431909070089,-0.359654300540005,0.373781375656176,-0.373781375656176
"CD24",-0.407002659126791,-0.359654300540005,-0.354014178610831,-0.244745072129,0.392369610950294,0.359654300540005,0.359654300540005,0.392369610950294,0.392369610950294,-0.392369610950294,-0.373781375656176,0.392369610950294,0,0.392369610950294,-0.343431909070089,0.359654300540005,-0.373781375656176,0.373781375656176
