"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.806943479813038,0.770948821955653,0.722940102120061,0.244160939577816,-0.827641892511451,-0.770948821955653,-0.770948821955653,-0.827641892511451,-0.827641892511451,0.827641892511451,0.750026320735295,-0.827641892511451,0,-0.827641892511451,0.69968519142326,-0.770948821955653,0.750026320735295,-0.750026320735295
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.379924670911596,0.340569113395872,0.345947880502336,0.188112965871039,-0.345170813453845,-0.340569113395872,-0.340569113395872,-0.345170813453845,-0.345170813453845,0.345170813453845,0.313054025132677,-0.345170813453845,0,-0.345170813453845,0.310235296269602,-0.340569113395872,0.313054025132677,-0.313054025132677
"SNAIL1",0.410808780827964,0.370263949076623,0.37707156684025,0.105094097946511,-0.379924670911596,-0.370263949076623,-0.370263949076623,-0.379924670911596,-0.379924670911596,0.379924670911596,0.345170813453845,-0.379924670911596,0,-0.379924670911596,0.340569113395872,-0.370263949076623,0.345170813453845,-0.345170813453845
"MIR340",-0.827641892511451,-0.69968519142326,-0.642906261172515,-0.21844665386353,0.750026320735295,0.69968519142326,0.69968519142326,0.750026320735295,0.750026320735295,-0.750026320735295,-0.662856509414541,0.750026320735295,0,0.750026320735295,-0.625452062588905,0.69968519142326,-0.662856509414541,0.662856509414541
"MIR34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR200",-0.702509776567622,-0.672390230170092,-0.737117498514557,-0.224082464754112,0.638893830469924,0.672390230170092,0.672390230170092,0.638893830469924,0.638893830469924,-0.638893830469924,-0.565949533387696,0.638893830469924,0,0.638893830469924,-0.610975439173307,0.672390230170092,-0.565949533387696,0.565949533387696
"MIR190",-0.345170813453845,-0.310235296269602,-0.410898375551841,-0.178491974617395,0.313054025132677,0.310235296269602,0.310235296269602,0.313054025132677,0.313054025132677,-0.313054025132677,-0.273768310846963,0.313054025132677,0,0.313054025132677,-0.278562698404833,0.310235296269602,-0.273768310846963,0.273768310846963
"MIR1199",-0.827641892511451,-0.69968519142326,-0.642906261172515,-0.21844665386353,0.750026320735295,0.69968519142326,0.69968519142326,0.750026320735295,0.750026320735295,-0.750026320735295,-0.662856509414541,0.750026320735295,0,0.750026320735295,-0.625452062588905,0.69968519142326,-0.662856509414541,0.662856509414541
"HAS2",0.750026320735295,0.625452062588905,0.563626981893236,0.171207390059849,-0.662856509414541,-0.625452062588905,-0.625452062588905,-0.662856509414541,-0.662856509414541,0.662856509414541,0.681413210445468,-0.662856509414541,0,-0.662856509414541,0.547852062588905,-0.625452062588905,0.581413210445468,-0.581413210445468
"HA",0.827641892511451,0.69968519142326,0.642906261172515,0.21844665386353,-0.750026320735295,-0.69968519142326,-0.69968519142326,-0.750026320735295,-0.750026320735295,0.750026320735295,0.662856509414541,-0.750026320735295,0,-0.750026320735295,0.625452062588905,-0.69968519142326,0.662856509414541,-0.662856509414541
"GRHL2",-0.936878659342259,-0.804420582540571,-0.747914034435774,-0.313054025132677,0.85639085446421,0.804420582540571,0.804420582540571,0.85639085446421,0.85639085446421,-0.85639085446421,-0.770755495348188,0.85639085446421,0,0.85639085446421,-0.729254285423055,0.804420582540571,-0.770755495348188,0.870755495348188
"EXTGFB",0.379924670911596,0.340569113395872,0.345947880502336,0.188112965871039,-0.345170813453845,-0.340569113395872,-0.340569113395872,-0.345170813453845,-0.345170813453845,0.345170813453845,0.313054025132677,-0.345170813453845,0,-0.345170813453845,0.310235296269602,-0.340569113395872,0.313054025132677,-0.313054025132677
"ESRP1",-0.750026320735295,-0.625452062588905,-0.563626981893236,-0.171207390059849,0.662856509414541,0.625452062588905,0.625452062588905,0.662856509414541,0.662856509414541,-0.662856509414541,-0.581413210445468,0.662856509414541,0,0.662856509414541,-0.547852062588905,0.625452062588905,-0.681413210445468,0.581413210445468
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.827641892511451,0.69968519142326,0.642906261172515,0.21844665386353,-0.750026320735295,-0.69968519142326,-0.69968519142326,-0.750026320735295,-0.750026320735295,0.750026320735295,0.662856509414541,-0.750026320735295,0,-0.750026320735295,0.625452062588905,-0.69968519142326,0.662856509414541,-0.662856509414541
"CD24",-0.827641892511451,-0.69968519142326,-0.642906261172515,-0.21844665386353,0.750026320735295,0.69968519142326,0.69968519142326,0.750026320735295,0.750026320735295,-0.750026320735295,-0.662856509414541,0.750026320735295,0,0.750026320735295,-0.625452062588905,0.69968519142326,-0.662856509414541,0.662856509414541
