"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.71481760046765,0.71481760046765,0.71481760046765,0.71481760046765,0.71481760046765,0.770498433078231,0.568460908277964,0.568460908277964,-0.0879114873666836,-0.59024871185405,-0.757377027364426,-0.670498433078231,-0.670498433078231,-0.71481760046765
"MIR340",0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.566038785019941,0.43032135823259,0.43032135823259,-0.0676345571979999,-0.460977987084475,-0.648125285536402,-0.566038785019941,-0.566038785019941,-0.603685843843471
"MIR1199",0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.566038785019941,0.43032135823259,0.43032135823259,-0.0676345571979999,-0.460977987084475,-0.648125285536402,-0.566038785019941,-0.566038785019941,-0.603685843843471
"CD24",0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.603685843843471,0.566038785019941,0.43032135823259,0.43032135823259,-0.0676345571979999,-0.460977987084475,-0.648125285536402,-0.566038785019941,-0.566038785019941,-0.603685843843471
"ESRP1",0.566038785019941,0.566038785019941,0.566038785019941,0.566038785019941,0.566038785019941,0.503002481389578,0.398714351378058,0.398714351378058,-0.0763475867743388,-0.418670294776782,-0.603685843843471,-0.503002481389578,-0.603002481389578,-0.566038785019941
"MIR200",0.394008944649757,0.394008944649757,0.394008944649757,0.394008944649757,0.394008944649757,0.375027843581557,0.185826092257213,0.185826092257213,0.0446721209899989,-0.306445958076502,-0.419719660051194,-0.375027843581557,-0.375027843581557,-0.394008944649757
"TGFB",0.281738565241416,0.281738565241416,0.281738565241416,0.281738565241416,0.281738565241416,0.265003871363865,0.245843193871394,0.245843193871394,-0.0677631621795181,-0.282536340702434,-0.297412189529841,-0.265003871363865,-0.265003871363865,-0.281738565241416
"MIR34",0.281738565241416,0.281738565241416,0.281738565241416,0.281738565241416,0.281738565241416,0.265003871363865,0.245843193871394,0.245843193871394,-0.0677631621795181,-0.282536340702434,-0.297412189529841,-0.265003871363865,-0.265003871363865,-0.281738565241416
"MIR190",-0.265003871363865,-0.265003871363865,-0.265003871363865,-0.265003871363865,-0.265003871363865,-0.240753190164955,-0.236325592828369,-0.236325592828369,0.0634329862661216,0.163003431997551,0.281738565241416,0.240753190164955,0.240753190164955,0.265003871363865
"SNAIL1",-0.297412189529841,-0.297412189529841,-0.297412189529841,-0.297412189529841,-0.297412189529841,-0.281738565241416,-0.257440568050825,-0.257440568050825,-0.0348165039813317,0.294867287400922,0.311151024068335,0.281738565241416,0.281738565241416,0.297412189529841
"ZEB1",-0.648125285536402,-0.648125285536402,-0.648125285536402,-0.648125285536402,-0.648125285536402,-0.603685843843471,-0.45560937666577,-0.45560937666577,0.0734359926046985,0.494958569608747,0.578658242534575,0.603685843843471,0.603685843843471,0.648125285536402
"HAS2",-0.566038785019941,-0.566038785019941,-0.566038785019941,-0.566038785019941,-0.566038785019941,-0.503002481389578,-0.398714351378058,-0.398714351378058,0.0763475867743388,0.418670294776782,0.603685843843471,0.603002481389578,0.503002481389578,0.566038785019941
"HA",-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.566038785019941,-0.43032135823259,-0.43032135823259,0.0676345571979999,0.460977987084475,0.648125285536402,0.566038785019941,0.566038785019941,0.603685843843471
"CD44s",-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.603685843843471,-0.566038785019941,-0.43032135823259,-0.43032135823259,0.0676345571979999,0.460977987084475,0.648125285536402,0.566038785019941,0.566038785019941,0.603685843843471
