"","MIR340","MIR190","MIR1199","GRHL2","CD44s","CD24","MIR34","MIR200","SNAIL1","ZEB1","TGFB","HA","HAS2","ESRP1"
"GRHL2",0.674197381654999,0.674197381654999,0.674197381654999,0.674197381654999,0.627449766737393,0.727449766737393,0.619826648234537,0.619826648234537,-0.334912181639311,-0.710374522651417,-0.599792448154206,-0.627449766737393,-0.674197381654999,-0.674197381654999
"MIR340",0.540355958731182,0.540355958731182,0.540355958731182,0.540355958731182,0.490238311672358,0.490238311672358,0.490731267696905,0.490731267696905,-0.314980510032813,-0.571197921810876,-0.466250935244693,-0.490238311672358,-0.540355958731182,-0.540355958731182
"MIR1199",0.540355958731182,0.540355958731182,0.540355958731182,0.540355958731182,0.490238311672358,0.490238311672358,0.490731267696905,0.490731267696905,-0.314980510032813,-0.571197921810876,-0.466250935244693,-0.490238311672358,-0.540355958731182,-0.540355958731182
"CD24",0.540355958731182,0.540355958731182,0.540355958731182,0.540355958731182,0.490238311672358,0.490238311672358,0.490731267696905,0.490731267696905,-0.314980510032813,-0.571197921810876,-0.466250935244693,-0.490238311672358,-0.540355958731182,-0.540355958731182
"ESRP1",0.490238311672358,0.490238311672358,0.490238311672358,0.490238311672358,0.352944582299421,0.452944582299421,0.450594177064765,0.450594177064765,-0.295076433294203,-0.540355958731182,-0.431379140372899,-0.452944582299421,-0.490238311672358,-0.490238311672358
"MIR200",0.488235111189963,0.488235111189963,0.488235111189963,0.488235111189963,0.444274552438936,0.444274552438936,0.526110775470164,0.526110775470164,-0.297462960132967,-0.513758385166845,-0.613537193053243,-0.444274552438936,-0.488235111189963,-0.488235111189963
"MIR34",0.284881456064109,0.284881456064109,0.284881456064109,0.284881456064109,0.271412068309007,0.271412068309007,0.284101881762991,0.284101881762991,-0.165020485565282,-0.305185061377202,-0.306943964046677,-0.271412068309007,-0.284881456064109,-0.284881456064109
"MIR190",0.271412068309007,0.271412068309007,0.271412068309007,0.271412068309007,0.241711795829443,0.241711795829443,0.271585584500931,0.271585584500931,-0.156901405727664,-0.284881456064109,-0.381678571265361,-0.241711795829443,-0.271412068309007,-0.271412068309007
"TGFB",-0.284881456064109,-0.284881456064109,-0.284881456064109,-0.284881456064109,-0.271412068309007,-0.271412068309007,-0.284101881762991,-0.284101881762991,0.165020485565282,0.305185061377202,0.306943964046677,0.271412068309007,0.284881456064109,0.284881456064109
"SNAIL1",-0.305185061377202,-0.305185061377202,-0.305185061377202,-0.305185061377202,-0.284881456064109,-0.284881456064109,-0.300026997250469,-0.300026997250469,0.0728606474266881,0.31676878461554,0.319831792208968,0.284881456064109,0.305185061377202,0.305185061377202
"ZEB1",-0.571197921810876,-0.571197921810876,-0.571197921810876,-0.571197921810876,-0.540355958731182,-0.540355958731182,-0.517632189355892,-0.517632189355892,0.331427878453865,0.507176669943036,0.510310112313579,0.540355958731182,0.571197921810876,0.571197921810876
"HAS2",-0.490238311672358,-0.490238311672358,-0.490238311672358,-0.490238311672358,-0.452944582299421,-0.452944582299421,-0.450594177064765,-0.450594177064765,0.295076433294203,0.540355958731182,0.431379140372899,0.552944582299421,0.490238311672358,0.490238311672358
"HA",-0.540355958731182,-0.540355958731182,-0.540355958731182,-0.540355958731182,-0.490238311672358,-0.490238311672358,-0.490731267696905,-0.490731267696905,0.314980510032813,0.571197921810876,0.466250935244693,0.490238311672358,0.540355958731182,0.540355958731182
"CD44s",-0.540355958731182,-0.540355958731182,-0.540355958731182,-0.540355958731182,-0.490238311672358,-0.490238311672358,-0.490731267696905,-0.490731267696905,0.314980510032813,0.571197921810876,0.466250935244693,0.490238311672358,0.540355958731182,0.540355958731182
