"","MIR340","MIR190","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","ZEB1","TGFB","HA","CD44s","MIR1199","HAS2"
"GRHL2",0.480747611963982,0.480747611963982,0.480747611963982,0.480747611963982,0.561059840931891,0.4660889698397,0.4660889698397,-0.268130830481412,-0.496475387932721,-0.453141961019884,-0.461059840931891,-0.461059840931891,-0.480747611963982,-0.480747611963982
"MIR340",0.392369610950294,0.392369610950294,0.392369610950294,0.392369610950294,0.373781375656176,0.359654300540005,0.359654300540005,-0.244745072129,-0.407002659126791,-0.354014178610831,-0.373781375656176,-0.373781375656176,-0.392369610950294,-0.392369610950294
"MIR1199",0.392369610950294,0.392369610950294,0.392369610950294,0.392369610950294,0.373781375656176,0.359654300540005,0.359654300540005,-0.244745072129,-0.407002659126791,-0.354014178610831,-0.373781375656176,-0.373781375656176,-0.392369610950294,-0.392369610950294
"CD24",0.392369610950294,0.392369610950294,0.392369610950294,0.392369610950294,0.373781375656176,0.359654300540005,0.359654300540005,-0.244745072129,-0.407002659126791,-0.354014178610831,-0.373781375656176,-0.373781375656176,-0.392369610950294,-0.392369610950294
"ESRP1",0.373781375656176,0.373781375656176,0.373781375656176,0.373781375656176,0.351009098428453,0.343431909070089,0.343431909070089,-0.235072809938752,-0.392369610950294,-0.332475717072369,-0.351009098428453,-0.451009098428453,-0.373781375656176,-0.373781375656176
"MIR200",0.358477502047461,0.358477502047461,0.358477502047461,0.358477502047461,0.341961479040066,0.419610880821828,0.419610880821828,-0.246229353733591,-0.37144220057917,-0.520260779481842,-0.341961479040066,-0.341961479040066,-0.358477502047461,-0.358477502047461
"MIR34",0.219182274181244,0.219182274181244,0.219182274181244,0.219182274181244,0.209998600711856,0.237937192593271,0.237937192593271,-0.14577227956527,-0.226810357672705,-0.257356900675126,-0.209998600711856,-0.209998600711856,-0.219182274181244,-0.219182274181244
"MIR190",0.209998600711856,0.209998600711856,0.209998600711856,0.209998600711856,0.19828197945845,0.229201860129125,0.229201860129125,-0.141577421649167,-0.219182274181244,-0.347378132097631,-0.19828197945845,-0.19828197945845,-0.209998600711856,-0.209998600711856
"TGFB",-0.219182274181244,-0.219182274181244,-0.219182274181244,-0.219182274181244,-0.209998600711856,-0.237937192593271,-0.237937192593271,0.14577227956527,0.226810357672705,0.257356900675126,0.209998600711856,0.209998600711856,0.219182274181244,0.219182274181244
"SNAIL1",-0.226810357672705,-0.226810357672705,-0.226810357672705,-0.226810357672705,-0.219182274181244,-0.244331551941679,-0.244331551941679,0.0499705597878291,0.232694378656683,0.266267004095969,0.219182274181244,0.219182274181244,0.226810357672705,0.226810357672705
"ZEB1",-0.407002659126791,-0.407002659126791,-0.407002659126791,-0.407002659126791,-0.392369610950294,-0.372499922659821,-0.372499922659821,0.252520191746224,0.318608171330012,0.371166282170701,0.392369610950294,0.392369610950294,0.407002659126791,0.407002659126791
"HAS2",-0.373781375656176,-0.373781375656176,-0.373781375656176,-0.373781375656176,-0.351009098428453,-0.343431909070089,-0.343431909070089,0.235072809938752,0.392369610950294,0.332475717072369,0.451009098428453,0.351009098428453,0.373781375656176,0.373781375656176
"HA",-0.392369610950294,-0.392369610950294,-0.392369610950294,-0.392369610950294,-0.373781375656176,-0.359654300540005,-0.359654300540005,0.244745072129,0.407002659126791,0.354014178610831,0.373781375656176,0.373781375656176,0.392369610950294,0.392369610950294
"CD44s",-0.392369610950294,-0.392369610950294,-0.392369610950294,-0.392369610950294,-0.373781375656176,-0.359654300540005,-0.359654300540005,0.244745072129,0.407002659126791,0.354014178610831,0.373781375656176,0.373781375656176,0.392369610950294,0.392369610950294
