states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'101010100111110000',0.24739999999999998,0.003476588366008646,0.03125,0.26730000000000004,0.0029223278392405032,0.03125,0.2376,0.0027276363393971682,0.03125
'101011100111110000',0.13776666666666668,0.0022573337271116025,0.0625,0.12313333333333333,0.0025223445883190187,0.0625,0.15710000000000002,0.004219794623754417,0.0625
'010100011000001111',0.13446666666666668,0.00102089285540756,0.0625,0.1318,0.00665131565932635,0.0625,0.15896666666666667,0.001291854825005082,0.0625
'010101011000001111',0.2502,0.0032873494895837656,0.03125,0.2699666666666667,0.0028662790435607668,0.03125,0.23613333333333333,0.00023570226039551604,0.03125
'011001011001100001',0.0037333333333333333,0.00046427960923947056,0.28125,0.006733333333333333,0.0005792715732327586,0.28125,0.0047666666666666664,0.0004642796092394708,0.28125
'101011100110011000',0.0025666666666666667,0.00016996731711975955,0.28125,0.0029333333333333334,0.0006018490028422596,0.28125,0.0026666666666666666,0.000329983164553722,0.28125
'101011100111011000',0.017933333333333332,0.001033870827951389,0.21875,0.010700000000000001,0.0005099019513592784,0.21875,0.0181,0.0008286535263104029,0.21875
'100111100111011010',0.010733333333333333,0.0012256517540566822,0.21875,0.007233333333333334,9.428090415820618e-5,0.21875,0.013,0.0010801234497346435,0.21875
'100111100110011110',0.004333333333333333,0.0003681787005729086,0.25,0.009066666666666666,0.0007408703590297624,0.25,0.0058,0.0001632993161855453,0.25
'010100011001100011',0.004833333333333334,0.0006018490028422597,0.25,0.003766666666666667,0.0004109609335312651,0.25,0.005233333333333333,0.0005249338582674542,0.25
'011000011001100001',0.005533333333333334,0.0004988876515698587,0.25,0.009766666666666667,0.0006944222218666548,0.25,0.0047666666666666664,4.7140452079102885e-5,0.25
'011000011000100101',0.0109,0.000778888096369861,0.21875,0.0062,0.00035590260840104353,0.21875,0.013333333333333334,0.0008498365855987976,0.21875
'101011100110011100',0.0044666666666666665,0.0006649979114420002,0.25,0.004433333333333333,0.00041899350299921784,0.25,0.0051333333333333335,0.0003681787005729086,0.25
'100111100110011010',0.0021666666666666666,0.00041899350299921774,0.28125,0.0030333333333333336,0.00038586123009300746,0.28125,0.002733333333333333,0.00024944382578492955,0.28125
'010100011000100111',0.016900000000000002,0.00024494897427831773,0.21875,0.013033333333333333,0.0007717224601860149,0.21875,0.017833333333333333,9.428090415820577e-5,0.21875
'011000011001100101',0.0022,0.00024494897427831784,0.28125,0.0038,0.00016329931618554527,0.28125,0.002466666666666667,0.00030912061651652335,0.28125
'101010100110011100',0.004299999999999999,0.0006976149845485448,0.28125,0.0034666666666666665,0.00038586123009300757,0.28125,0.0056,0.0009273618495495706,0.28125
'010101011001100011',0.004233333333333333,0.0002867441755680876,0.28125,0.004066666666666666,0.0002867441755680876,0.28125,0.004833333333333333,0.0006342099196813485,0.28125
'100110100110011110',0.004033333333333333,0.0011440668201153678,0.28125,0.005566666666666667,0.0005436502143433366,0.28125,0.0049,0.0008485281374238572,0.28125
'010100011001100111',0.0022,0.00024494897427831784,0.28125,0.0030333333333333336,0.00032998316455372216,0.28125,0.0025333333333333336,4.714045207910309e-5,0.28125
'010101011001100001',0.0019666666666666665,0.00024944382578492944,0.3125,,,,0.0046,0.0005354126134736337,0.3125
'100111100111011000',0.0061,0.000374165738677394,0.25,,,,0.013,0.00024494897427831773,0.25
'011000011001100011',0.002533333333333333,0.00046427960923947067,0.28125,,,,0.004033333333333334,0.0010077477638553982,0.28125
'101011100111011010',0.005466666666666667,0.0006649979114420003,0.25,,,,0.0129,0.0009626352718795769,0.25
'011000011000100111',0.006866666666666667,0.0005312459150169742,0.25,,,,0.011766666666666667,0.001161416759345623,0.25
'100110100110011100',0.0016333333333333332,0.00024944382578492944,0.3125,,,,0.004333333333333334,0.0007586537784494029,0.3125
'010100011001100001',0.0023333333333333335,0.0005436502143433363,0.28125,,,,0.004566666666666667,0.0010402991022884823,0.28125
'011001011001100011',0.0017666666666666666,0.00024944382578492933,0.3125,,,,0.0044,0.0007483314773547885,0.3125
'101010100110011110',0.0016666666666666668,0.00020548046676563254,0.3125,,,,0.0041333333333333335,0.00030912061651652346,0.3125
'010100011000100101',0.006233333333333334,0.00012472191289246472,0.25,,,,0.0131,0.0013490737563232038,0.25
'100111100110011100',0.0022333333333333333,0.0005185449728701348,0.28125,,,,0.004866666666666666,0.0003681787005729086,0.28125
'010100011001100101',0.0008666666666666666,0.00030912061651652346,0.3125,,,,0.0026999999999999997,0.00028284271247461896,0.3125
'101011100110011110',0.0017000000000000001,0.0002943920288775949,0.28125,,,,0.003966666666666666,0.00046427960923947056,0.28125
'100111100110011000',0.0010333333333333334,0.00018856180831641265,0.3125,,,,0.0025,0.0003559026084010437,0.3125
'011000011001100111',0.0011333333333333334,4.714045207910309e-5,0.3125,,,,0.0026666666666666666,0.0004921607686744467,0.3125
'101011100110011010',0.0009666666666666666,0.00012472191289246472,0.3125,,,,0.0029666666666666665,0.0001699673171197596,0.3125
'011100011000100111',0.005399999999999999,0.0008041558721209877,0.25,0.006633333333333334,0.00026246692913372703,0.25,,,
'101111100110011110',0.0020666666666666663,0.000402768199119819,0.28125,0.004333333333333332,0.0006599663291074443,0.28125,,,
'100011100111011000',0.005833333333333334,0.0005436502143433363,0.25,0.0064333333333333334,0.0003299831645537222,0.25,,,
'010100011001000011',0.0074333333333333335,0.0006018490028422597,0.28125,0.0077333333333333325,0.0009392668535736913,0.28125,,,
