"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"CD44s",-1,1,-0.783528948946718,0.779115669285475,-1,0.0663054730972824,-1,1,1,-1,-1,-0.752233803050603,-0.620825878002781,-1,0.541383744340015,0.788548616397446,0.782729168765164,1
"CDH1",0.783528948946718,-0.783528948946718,1,-0.896881006812272,0.783528948946718,-0.216169928555336,0.783528948946718,-0.783528948946718,-0.783528948946718,0.783528948946718,0.783528948946718,0.770490892723725,0.772697367548432,0.783528948946718,-0.757857715352992,-0.773903799785404,-0.791356473805681,-0.783528948946718
"EMT",-0.779115669285475,0.779115669285475,-0.896881006812272,1,-0.779115669285475,0.216171576580439,-0.779115669285475,0.779115669285475,0.779115669285475,-0.779115669285475,-0.779115669285475,-0.774501085222042,-0.777911534972236,-0.779115669285475,0.762266522963001,0.775906566732405,0.894473779032756,0.779115669285475
"ESRP1",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"EX-TGFB",-0.0663054730972823,0.0663054730972824,-0.216169928555336,0.216171576580439,-0.0663054730972823,1,-0.0663054730972823,0.0663054730972824,0.0663054730972824,-0.0663054730972823,-0.0663054730972823,-0.184073930846433,-0.315481308362085,-0.0663054730972823,0.394933899760809,0.147762945119645,0.212563052067762,0.0663054730972824
"GRHL2",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"HA",-1,1,-0.783528948946718,0.779115669285475,-1,0.0663054730972824,-1,1,1,-1,-1,-0.752233803050603,-0.620825878002781,-1,0.541383744340015,0.788548616397446,0.782729168765164,1
"HAS2",-1,1,-0.783528948946718,0.779115669285475,-1,0.0663054730972824,-1,1,1,-1,-1,-0.752233803050603,-0.620825878002781,-1,0.541383744340015,0.788548616397446,0.782729168765164,1
"MIR-1199",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"MIR-190",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"MIR-200",0.752233803050603,-0.752233803050603,0.770490892723725,-0.774501085222042,0.752233803050603,-0.184073930846433,0.752233803050603,-0.752233803050603,-0.752233803050603,0.752233803050603,0.752233803050603,1,0.70969891898381,0.752233803050603,-0.789146359477741,-0.963687678019033,-0.778512284129357,-0.752233803050603
"MIR-34",0.620825878002781,-0.620825878002781,0.772697367548432,-0.777911534972236,0.620825878002781,-0.315481308362085,0.620825878002781,-0.620825878002781,-0.620825878002781,0.620825878002781,0.620825878002781,0.70969891898381,1,0.620825878002781,-0.920555731159076,-0.673386053375819,-0.775904375898773,-0.620825878002781
"MIR-340",1,-1,0.783528948946718,-0.779115669285475,1,-0.0663054730972823,1,-1,-1,1,1,0.752233803050603,0.620825878002781,1,-0.541383744340015,-0.788548616397446,-0.782729168765164,-1
"SNAIL1",-0.541383744340015,0.541383744340015,-0.757857715352992,0.762266522963001,-0.541383744340015,0.394933899760809,-0.541383744340015,0.541383744340015,0.541383744340015,-0.541383744340015,-0.541383744340015,-0.789146359477741,-0.920555731159076,-0.541383744340015,1,0.752831014869363,0.758650446658814,0.541383744340015
"TGFB",-0.788548616397446,0.788548616397446,-0.773903799785404,0.775906566732405,-0.788548616397446,0.147762945119645,-0.788548616397446,0.788548616397446,0.788548616397446,-0.788548616397446,-0.788548616397446,-0.963687678019033,-0.673386053375819,-0.788548616397446,0.752831014869363,1,0.775903699419286,0.788548616397446
"VIM",-0.782729168765164,0.782729168765164,-0.791356473805681,0.894473779032756,-0.782729168765164,0.212563052067762,-0.782729168765164,0.782729168765164,0.782729168765164,-0.782729168765164,-0.782729168765164,-0.778512284129357,-0.775904375898773,-0.782729168765164,0.758650446658814,0.775903699419286,1,0.782729168765164
"ZEB1",-1,1,-0.783528948946718,0.779115669285475,-1,0.0663054730972824,-1,1,1,-1,-1,-0.752233803050603,-0.620825878002781,-1,0.541383744340015,0.788548616397446,0.782729168765164,1
