"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"CD44s",-1,1,-0.627492992854426,0.633727017198584,-1,0.0150715836640513,-1,1,1,-1,-1,-0.668278842971563,-0.517633481897868,-1,0.269462285192832,0.762919622078078,0.636743585709826,1
"CDH1",0.627492992854426,-0.627492992854426,1,-0.824191073041806,0.627492992854426,-0.113520628348111,0.627492992854426,-0.627492992854426,-0.627492992854426,0.627492992854426,0.627492992854426,0.635321803839232,0.63453556493711,0.627492992854426,-0.641957190429205,-0.634718190305851,-0.64677403285643,-0.627492992854426
"EMT",-0.633727017198584,0.633727017198584,-0.824191073041806,1,-0.633727017198584,0.114122392550716,-0.633727017198584,0.633727017198584,0.633727017198584,-0.633727017198584,-0.633727017198584,-0.6355232779467,-0.634724046902079,-0.633727017198584,0.63572072902489,0.634515832691288,0.822581857922733,0.633727017198584
"ESRP1",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"EX-TGFB",-0.0150715836640513,0.0150715836640513,-0.113520628348111,0.114122392550716,-0.0150715836640513,1,-0.0150715836640513,0.0150715836640513,0.0150715836640513,-0.0150715836640513,-0.0150715836640513,-0.0679112695289536,-0.0731299597388011,-0.0150715836640513,0.223627269674726,0.0395796084623854,0.108295180172836,0.0150715836640513
"GRHL2",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"HA",-1,1,-0.627492992854426,0.633727017198584,-1,0.0150715836640513,-1,1,1,-1,-1,-0.668278842971563,-0.517633481897868,-1,0.269462285192832,0.762919622078078,0.636743585709826,1
"HAS2",-1,1,-0.627492992854426,0.633727017198584,-1,0.0150715836640513,-1,1,1,-1,-1,-0.668278842971563,-0.517633481897868,-1,0.269462285192832,0.762919622078078,0.636743585709826,1
"MIR-1199",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"MIR-190",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"MIR-200",0.668278842971563,-0.668278842971563,0.635321803839232,-0.6355232779467,0.668278842971563,-0.0679112695289536,0.668278842971563,-0.668278842971563,-0.668278842971563,0.668278842971563,0.668278842971563,1,0.584910251535453,0.668278842971563,-0.601172185032931,-0.905365275001656,-0.635724824113221,-0.668278842971563
"MIR-34",0.517633481897868,-0.517633481897868,0.63453556493711,-0.634724046902079,0.517633481897868,-0.0731299597388011,0.517633481897868,-0.517633481897868,-0.517633481897868,0.517633481897868,0.517633481897868,0.584910251535453,1,0.517633481897868,-0.751844702517981,-0.551340830023561,-0.632910663842772,-0.517633481897868
"MIR-340",1,-1,0.627492992854426,-0.633727017198584,1,-0.0150715836640513,1,-1,-1,1,1,0.668278842971563,0.517633481897868,1,-0.269462285192832,-0.762919622078078,-0.636743585709826,-1
"SNAIL1",-0.269462285192832,0.269462285192832,-0.641957190429205,0.63572072902489,-0.269462285192832,0.223627269674726,-0.269462285192832,0.269462285192832,0.269462285192832,-0.269462285192832,-0.269462285192832,-0.601172185032931,-0.751844702517981,-0.269462285192832,1,0.506525922454802,0.632703877117766,0.269462285192832
"TGFB",-0.762919622078078,0.762919622078078,-0.634718190305851,0.634515832691288,-0.762919622078078,0.0395796084623854,-0.762919622078078,0.762919622078078,0.762919622078078,-0.762919622078078,-0.762919622078078,-0.905365275001656,-0.551340830023561,-0.762919622078078,0.506525922454802,1,0.634314676667072,0.762919622078078
"VIM",-0.636743585709826,0.636743585709826,-0.64677403285643,0.822581857922733,-0.636743585709826,0.108295180172836,-0.636743585709826,0.636743585709826,0.636743585709826,-0.636743585709826,-0.636743585709826,-0.635724824113221,-0.632910663842772,-0.636743585709826,0.632703877117766,0.634314676667072,1,0.636743585709826
"ZEB1",-1,1,-0.627492992854426,0.633727017198584,-1,0.0150715836640513,-1,1,1,-1,-1,-0.668278842971563,-0.517633481897868,-1,0.269462285192832,0.762919622078078,0.636743585709826,1
