states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'100111100111011010',0.023266666666666668,0.0006128258770283418,0.18181818181818182,0.013,0.0006976149845485444,0.18181818181818182,0.02953333333333333,0.0018408935028645438,0.18181818181818182
'011000011000100101',0.023966666666666664,0.001419702629269791,0.18181818181818182,0.012733333333333333,0.0004988876515698588,0.18181818181818182,0.028566666666666667,0.0016110727964792756,0.18181818181818182
'100111100110011010',0.0048,0.0008640987597877146,0.24242424242424243,0.005166666666666667,0.00044969125210773475,0.24242424242424243,0.0059,0.0004898979485566355,0.24242424242424243
'011000011001100101',0.0058,0.0002449489742783181,0.24242424242424243,0.005333333333333333,0.0006182412330330469,0.24242424242424243,0.0061333333333333335,0.0002494438257849297,0.24242424242424243
'011001011001100001',0.007933333333333334,0.0002867441755680876,0.24242424242424243,0.0111,0.0010984838035522722,0.24242424242424243,0.011366666666666666,0.0003299831645537223,0.24242424242424243
'100111100110011110',0.009566666666666666,0.001102522360569415,0.21212121212121213,0.012233333333333332,0.00030912061651652367,0.21212121212121213,0.0117,0.0016753109164172081,0.21212121212121213
'011000011001100001',0.009933333333333334,0.0006018490028422597,0.21212121212121213,0.012833333333333334,0.0006599663291074437,0.21212121212121213,0.0128,0.00014142135623730948,0.21212121212121213
'100110100110011110',0.008766666666666667,0.00112644968324772,0.24242424242424243,0.0085,0.0006683312551921144,0.24242424242424243,0.0105,0.0002943920288775953,0.24242424242424243
'100111100111011000',0.011166666666666667,0.0006128258770283418,0.21212121212121213,,,,0.033299999999999996,0.000509901951359279,0.21212121212121213
'101010100111110000',0.09586666666666667,0.0011145502331533694,0.06060606060606061,,,,0.22646666666666668,0.0033089105289942308,0.06060606060606061
'010101011000001111',0.09383333333333334,0.0013299958228839954,0.06060606060606061,,,,0.2286,0.0004320493798938569,0.06060606060606061
'101011100111110000',0.04743333333333333,0.0013670731102939917,0.09090909090909091,,,,0.14943333333333333,0.0023612614331233127,0.09090909090909091
'010100011000001111',0.04766666666666667,0.0024390344173235634,0.09090909090909091,,,,0.1558,0.0040422765862815555,0.09090909090909091
'100111100110011100',0.0037333333333333333,0.0004109609335312649,0.24242424242424243,,,,0.010933333333333331,0.00038586123009300757,0.24242424242424243
'100110100110011100',0.0036333333333333335,0.0005185449728701349,0.2727272727272727,,,,0.010066666666666666,0.0005557777333511026,0.2727272727272727
'011000011000100111',0.010233333333333332,0.0011085526098877259,0.21212121212121213,,,,0.034999999999999996,0.0017378147196982776,0.21212121212121213
'011000011001100111',0.0022333333333333333,0.00016996731711975941,0.2727272727272727,,,,0.006599999999999999,0.0007874007874011813,0.2727272727272727
'011000011001100011',0.0037666666666666664,0.0007845734863959878,0.24242424242424243,,,,0.010666666666666666,0.0012472191289246474,0.24242424242424243
'100111100110011000',0.0022666666666666664,0.0004642796092394706,0.2727272727272727,,,,0.006433333333333333,0.0006649979114420003,0.2727272727272727
'011001011001100011',0.0031333333333333335,0.00032998316455372216,0.2727272727272727,,,,0.0102,0.0007874007874011809,0.2727272727272727
'100011100110111100',0.008966666666666666,0.00016996731711975925,0.2727272727272727,0.011433333333333332,0.0018354533197248268,0.2727272727272727,,,
'011000011001000001',0.009766666666666667,0.0015084944665313019,0.24242424242424243,0.008499999999999999,0.0002943920288775953,0.24242424242424243,,,
'011101011000001111',0.05023333333333333,0.0010370899457402699,0.09090909090909091,0.26940000000000003,0.003770941526992966,0.09090909090909091,,,
'011100011001000011',0.009166666666666665,0.001084230397819373,0.2727272727272727,0.011333333333333332,0.0005249338582674538,0.2727272727272727,,,
'100011100111110000',0.0337,0.0015769168230019817,0.12121212121212122,0.13206666666666667,0.002577250904010364,0.12121212121212122,,,
'100010100111110000',0.052300000000000006,0.0010614455552060448,0.09090909090909091,0.26563333333333333,0.002131248981752776,0.09090909090909091,,,
'011100011000100111',0.020133333333333333,0.0014522013940527962,0.21212121212121213,0.0173,0.002196967607104543,0.21212121212121213,,,
'100011100111011000',0.019566666666666666,0.0007408703590297635,0.21212121212121213,0.01693333333333333,0.0018803073034893945,0.21212121212121213,,,
'011100011000001111',0.03216666666666666,0.0013888444437333096,0.12121212121212122,0.1348,0.0017907168024751065,0.12121212121212122,,,
'100011100110011000',0.004,0.0004320493798938573,0.2727272727272727,0.0047666666666666664,0.0005734883511361749,0.2727272727272727,,,
'100011100110011100',0.0067666666666666665,0.00020548046676563273,0.24242424242424243,0.0097,0.0006377042156569662,0.24242424242424243,,,
'100111100110111110',0.010566666666666667,0.0006599663291074444,0.24242424242424243,0.0087,0.0006683312551921144,0.24242424242424243,,,
'011100011001100011',0.006733333333333334,0.0003681787005729086,0.24242424242424243,0.0084,0.0007788880963698612,0.24242424242424243,,,
'011100011001100111',0.0036000000000000003,0.0004242640687119284,0.2727272727272727,0.004966666666666667,0.0002054804667656324,0.2727272727272727,,,
'100010100110011100',0.006033333333333332,4.714045207910329e-5,0.2727272727272727,0.008,0.0002943920288775945,0.2727272727272727,,,
'011101011001100011',0.006733333333333333,0.00040276819911981907,0.2727272727272727,0.0071666666666666675,0.0005557777333511022,0.2727272727272727,,,
'011000011000001111',0.05123333333333333,0.0015173075568988062,0.12121212121212122,,,,,,
'100111100110111100',0.0046,0.00029439202887759496,0.2727272727272727,,,,,,
'100111100111110000',0.05356666666666667,0.0027133415233291636,0.12121212121212122,,,,,,
'100110100111110000',0.09353333333333334,0.004763985259796209,0.09090909090909091,,,,,,
'011001011000001111',0.09256666666666667,0.0013474255287605204,0.09090909090909091,,,,,,
'011000011001000011',0.005066666666666666,0.0011440668201153676,0.2727272727272727,,,,,,
