"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
"CD44s",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
"CDH1",-0.809706983491075,-0.809706983491075,1,-0.909365446683254,0.809706983491075,-0.222570138634802,-0.809706983491075,-0.809706983491075,-0.809706983491075,0.809706983491075,0.809706983491075,0.799278372626536,0.789852774433396,0.809706983491075,-0.776417660378339,-0.798279502737567,-0.815118710742586,-0.809706983491075
"EMT",0.814514426454071,0.814514426454071,-0.909365446683254,1,-0.814514426454071,0.220547263170287,0.814514426454071,0.814514426454071,0.814514426454071,-0.814514426454071,-0.814514426454071,-0.802483145336463,-0.783436769550974,-0.814514426454071,0.771604548473353,0.804288052415112,0.905754041615883,0.814514426454071
"ESRP1",-1,-1,0.809706983491075,-0.814514426454071,1,-0.0859813150689811,-1,-1,-1,1,1,0.801479925164019,0.649688609394691,1,-0.586120210535608,-0.829752652131662,-0.814115039517104,-1
"EX-TGFB",0.0859813150689811,0.0859813150689811,-0.222570138634802,0.220547263170287,-0.0859813150689811,1,0.0859813150689811,0.0859813150689811,0.0859813150689811,-0.0859813150689811,-0.0859813150689811,-0.181040743302923,-0.332862004139394,-0.0859813150689811,0.396425105022091,0.152750126120439,0.22095524688947,0.0859813150689811
"GRHL2",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
"HA",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
"HAS2",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
"MIR-1199",-1,-1,0.809706983491075,-0.814514426454071,1,-0.0859813150689811,-1,-1,-1,1,1,0.801479925164019,0.649688609394691,1,-0.586120210535608,-0.829752652131662,-0.814115039517104,-1
"MIR-190",-1,-1,0.809706983491075,-0.814514426454071,1,-0.0859813150689811,-1,-1,-1,1,1,0.801479925164019,0.649688609394691,1,-0.586120210535608,-0.829752652131662,-0.814115039517104,-1
"MIR-200",-0.801479925164019,-0.801479925164019,0.799278372626536,-0.802483145336463,0.801479925164019,-0.181040743302923,-0.801479925164019,-0.801479925164019,-0.801479925164019,0.801479925164019,0.801479925164019,1,0.721074193383678,0.801479925164019,-0.784638709736884,-0.971727355138625,-0.804088393003815,-0.801479925164019
"MIR-34",-0.649688609394691,-0.649688609394691,0.789852774433396,-0.783436769550974,0.649688609394691,-0.332862004139394,-0.649688609394691,-0.649688609394691,-0.649688609394691,0.649688609394691,0.649688609394691,0.721074193383678,1,0.649688609394691,-0.936434567472048,-0.692803149178567,-0.783837155393256,-0.649688609394691
"MIR-340",-1,-1,0.809706983491075,-0.814514426454071,1,-0.0859813150689811,-1,-1,-1,1,1,0.801479925164019,0.649688609394691,1,-0.586120210535608,-0.829752652131662,-0.814115039517104,-1
"SNAIL1",0.586120210535608,0.586120210535608,-0.776417660378339,0.771604548473353,-0.586120210535608,0.396425105022091,0.586120210535608,0.586120210535608,0.586120210535608,-0.586120210535608,-0.586120210535608,-0.784638709736884,-0.936434567472048,-0.586120210535608,1,0.756367127230256,0.772005451639184,0.586120210535608
"TGFB",0.829752652131662,0.829752652131662,-0.798279502737567,0.804288052415112,-0.829752652131662,0.152750126120439,0.829752652131662,0.829752652131662,0.829752652131662,-0.829752652131662,-0.829752652131662,-0.971727355138625,-0.692803149178567,-0.829752652131662,0.756367127230256,1,0.80589475724309,0.829752652131662
"VIM",0.814115039517104,0.814115039517104,-0.815118710742586,0.905754041615883,-0.814115039517104,0.22095524688947,0.814115039517104,0.814115039517104,0.814115039517104,-0.814115039517104,-0.814115039517104,-0.804088393003815,-0.783837155393256,-0.814115039517104,0.772005451639184,0.80589475724309,1,0.814115039517104
"ZEB1",1,1,-0.809706983491075,0.814514426454071,-1,0.0859813150689811,1,1,1,-1,-1,-0.801479925164019,-0.649688609394691,-1,0.586120210535608,0.829752652131662,0.814115039517104,1
