"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"CD44s",-1,1,-0.715541026401761,0.716540472815169,-1,0.0440960852117399,-1,1,1,-1,-1,-0.351388400262045,-0.532267962418336,-1,0.351388400262045,0.535856059761208,0.72114800851764,1
"CDH1",0.715541026401761,-0.715541026401761,1,-0.854767554405629,0.715541026401761,-0.200344838405709,0.715541026401761,-0.715541026401761,-0.715541026401761,0.715541026401761,0.715541026401761,0.635843433634363,0.674493212692058,0.715541026401761,-0.635843433634363,-0.660455951102015,-0.707929299756853,-0.715541026401761
"EMT",-0.716540472815169,0.716540472815169,-0.854767554405629,1,-0.716540472815169,0.20056275095755,-0.716540472815169,0.716540472815169,0.716540472815169,-0.716540472815169,-0.716540472815169,-0.634861596224184,-0.673906767705925,-0.716540472815169,0.634861596224184,0.660660198967869,0.853159601236372,0.716540472815169
"ESRP1",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"EX-TGFB",-0.0440960852117399,0.0440960852117399,-0.200344838405709,0.20056275095755,-0.0440960852117399,1,-0.0440960852117399,0.0440960852117399,0.0440960852117399,-0.0440960852117399,-0.0440960852117399,-0.423061786580098,-0.242178321589124,-0.0440960852117399,0.423061786580098,0.238595372994581,0.194353999771744,0.0440960852117399
"GRHL2",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"HA",-1,1,-0.715541026401761,0.716540472815169,-1,0.0440960852117399,-1,1,1,-1,-1,-0.351388400262045,-0.532267962418336,-1,0.351388400262045,0.535856059761208,0.72114800851764,1
"HAS2",-1,1,-0.715541026401761,0.716540472815169,-1,0.0440960852117399,-1,1,1,-1,-1,-0.351388400262045,-0.532267962418336,-1,0.351388400262045,0.535856059761208,0.72114800851764,1
"MIR-1199",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"MIR-190",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"MIR-200",0.351388400262045,-0.351388400262045,0.635843433634363,-0.634861596224184,0.351388400262045,-0.423061786580098,0.351388400262045,-0.351388400262045,-0.351388400262045,0.351388400262045,0.351388400262045,1,0.819110562128299,0.351388400262045,-1,-0.815521894451243,-0.630255786708698,-0.351388400262045
"MIR-34",0.532267962418336,-0.532267962418336,0.674493212692058,-0.673906767705925,0.532267962418336,-0.242178321589124,0.532267962418336,-0.532267962418336,-0.532267962418336,0.532267962418336,0.532267962418336,0.819110562128299,1,0.532267962418336,-0.819110562128299,-0.634621885429205,-0.676512298496105,-0.532267962418336
"MIR-340",1,-1,0.715541026401761,-0.716540472815169,1,-0.0440960852117399,1,-1,-1,1,1,0.351388400262045,0.532267962418336,1,-0.351388400262045,-0.535856059761208,-0.721148008517639,-1
"SNAIL1",-0.351388400262045,0.351388400262045,-0.635843433634363,0.634861596224184,-0.351388400262045,0.423061786580098,-0.351388400262045,0.351388400262045,0.351388400262045,-0.351388400262045,-0.351388400262045,-1,-0.819110562128299,-0.351388400262045,1,0.815521894451243,0.630255786708698,0.351388400262045
"TGFB",-0.535856059761208,0.535856059761208,-0.660455951102015,0.660660198967869,-0.535856059761208,0.238595372994581,-0.535856059761208,0.535856059761208,0.535856059761208,-0.535856059761208,-0.535856059761208,-0.815521894451243,-0.634621885429205,-0.535856059761208,0.815521894451243,1,0.661662309719759,0.535856059761208
"VIM",-0.721148008517639,0.72114800851764,-0.707929299756853,0.853159601236372,-0.721148008517639,0.194353999771744,-0.721148008517639,0.72114800851764,0.72114800851764,-0.721148008517639,-0.721148008517639,-0.630255786708698,-0.676512298496105,-0.721148008517639,0.630255786708698,0.661662309719759,1,0.72114800851764
"ZEB1",-1,1,-0.715541026401761,0.716540472815169,-1,0.0440960852117399,-1,1,1,-1,-1,-0.351388400262045,-0.532267962418336,-1,0.351388400262045,0.535856059761208,0.72114800851764,1
