"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"CD44s",-1,1,-0.648814368095913,0.866050816681944,-1,0.038548928370523,-1,1,1,-1,-0.255988411222101,-1,-0.828417035245889,-0.748136244250773,-1,0.620191374498232,0.849639087335297,0.255988411222101,0.866050816681944,1
"CDH1",0.648814368095913,-0.648814368095913,1,-0.752734081671872,0.648814368095913,-0.317251554531162,0.648814368095913,-0.648814368095913,-0.648814368095913,0.648814368095913,0.60717020016122,0.648814368095913,0.757533571446683,0.837825212214065,0.648814368095913,-0.909302541964512,-0.73630983327616,-0.60717020016122,-0.752734081671872,-0.648814368095913
"EMT",-0.866050816681944,0.866050816681944,-0.752734081671872,1,-0.866050816681944,0.138063290513658,-0.866050816681944,0.866050816681944,0.866050816681944,-0.866050816681944,-0.359908886069542,-0.866050816681944,-0.855454171883084,-0.849659246553414,-0.866050816681944,0.754148325287048,0.855451978108589,0.359908886069542,1,0.866050816681944
"ESRP1",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"EX-TGFB",-0.038548928370523,0.038548928370523,-0.317251554531162,0.138063290513658,-0.038548928370523,1,-0.038548928370523,0.038548928370523,0.038548928370523,-0.038548928370523,-0.0982065454674453,-0.038548928370523,-0.137652028957706,-0.217937970189907,-0.038548928370523,0.345879645902562,0.116429283051444,0.0982065454674453,0.138063290513658,0.038548928370523
"GRHL2",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"HA",-1,1,-0.648814368095913,0.866050816681944,-1,0.038548928370523,-1,1,1,-1,-0.255988411222101,-1,-0.828417035245889,-0.748136244250773,-1,0.620191374498232,0.849639087335297,0.255988411222101,0.866050816681944,1
"HAS2",-1,1,-0.648814368095913,0.866050816681944,-1,0.038548928370523,-1,1,1,-1,-0.255988411222101,-1,-0.828417035245889,-0.748136244250773,-1,0.620191374498232,0.849639087335297,0.255988411222101,0.866050816681944,1
"MIR-1199",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"MIR-129",0.255988411222101,-0.255988411222101,0.60717020016122,-0.359908886069542,0.255988411222101,-0.0982065454674453,0.255988411222101,-0.255988411222101,-0.255988411222101,0.255988411222101,1,0.255988411222101,0.36470173959419,0.444988606328057,0.255988411222101,-0.572929810998245,-0.343478889905414,-1,-0.359908886069542,-0.255988411222101
"MIR-190",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"MIR-200",0.828417035245889,-0.828417035245889,0.757533571446683,-0.855454171883084,0.828417035245889,-0.137652028957706,0.828417035245889,-0.828417035245889,-0.828417035245889,0.828417035245889,0.36470173959419,0.828417035245889,1,0.842428108141279,0.828417035245889,-0.791771575720238,-0.978776728327751,-0.36470173959419,-0.855454171883084,-0.828417035245889
"MIR-34",0.748136244250773,-0.748136244250773,0.837825212214065,-0.849659246553414,0.748136244250773,-0.217937970189907,0.748136244250773,-0.748136244250773,-0.748136244250773,0.748136244250773,0.444988606328057,0.748136244250773,0.842428108141279,1,0.748136244250773,-0.872059249407884,-0.821205503500901,-0.444988606328057,-0.849659246553414,-0.748136244250773
"MIR-340",1,-1,0.648814368095913,-0.866050816681944,1,-0.038548928370523,1,-1,-1,1,0.255988411222101,1,0.828417035245889,0.748136244250773,1,-0.620191374498232,-0.849639087335297,-0.255988411222101,-0.866050816681944,-1
"SNAIL1",-0.620191374498232,0.620191374498232,-0.909302541964512,0.754148325287048,-0.620191374498232,0.345879645902562,-0.620191374498232,0.620191374498232,0.620191374498232,-0.620191374498232,-0.572929810998245,-0.620191374498232,-0.791771575720238,-0.872059249407884,-0.620191374498232,1,0.770548735711283,0.572929810998245,0.754148325287048,0.620191374498232
"TGFB",-0.849639087335297,0.849639087335297,-0.73630983327616,0.855451978108589,-0.849639087335297,0.116429283051444,-0.849639087335297,0.849639087335297,0.849639087335297,-0.849639087335297,-0.343478889905414,-0.849639087335297,-0.978776728327751,-0.821205503500901,-0.849639087335297,0.770548735711283,1,0.343478889905414,0.855451978108589,0.849639087335297
"TWIST1",-0.255988411222101,0.255988411222101,-0.60717020016122,0.359908886069542,-0.255988411222101,0.0982065454674453,-0.255988411222101,0.255988411222101,0.255988411222101,-0.255988411222101,-1,-0.255988411222101,-0.36470173959419,-0.444988606328057,-0.255988411222101,0.572929810998245,0.343478889905414,1,0.359908886069542,0.255988411222101
"VIM",-0.866050816681944,0.866050816681944,-0.752734081671872,1,-0.866050816681944,0.138063290513658,-0.866050816681944,0.866050816681944,0.866050816681944,-0.866050816681944,-0.359908886069542,-0.866050816681944,-0.855454171883084,-0.849659246553414,-0.866050816681944,0.754148325287048,0.855451978108589,0.359908886069542,1,0.866050816681944
"ZEB1",-1,1,-0.648814368095913,0.866050816681944,-1,0.038548928370523,-1,1,1,-1,-0.255988411222101,-1,-0.828417035245889,-0.748136244250773,-1,0.620191374498232,0.849639087335297,0.255988411222101,0.866050816681944,1
