states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'10101110011111100000',0.14243333333333333,0.001960158723731879,0.075,0.13026666666666667,0.0016357125528513737,0.075,0.1258,0.002765260686927481,0.075
'10101010011111100000',0.19326666666666667,0.0016579773487261202,0.05,0.36769999999999997,0.00638800960132861,0.05,0.14576666666666668,0.0016819301082057227,0.05
'01010001100000011111',0.14400000000000002,0.000588784057755194,0.075,0.13496666666666668,0.0005436502143433287,0.075,0.12319999999999999,0.0005354126134736317,0.075
'01010101100000011111',0.1963,0.000489897948556627,0.05,0.36706666666666665,0.00748613533288188,0.05,0.14756666666666668,0.0012970050972229156,0.05
'10101010010111100100',0.07246666666666667,0.00028674417556808987,0.175,,,,0.10010000000000001,0.0005099019513592803,0.175
'01110001101000011011',0.007333333333333333,0.00026246692913372703,0.25,,,,0.0023,0.000408248290463863,0.25
'01010101101000011011',0.0699,0.0034029399054347135,0.175,,,,0.10216666666666667,0.0009741092797468285,0.175
'10011110010110110110',0.010666666666666666,0.0008576453553512409,0.225,,,,0.012433333333333333,0.0005185449728701349,0.225
'01110001101000001011',0.011233333333333333,0.001883849486792639,0.275,,,,0.0056,0.0006531972647421811,0.275
'01010001101000011011',0.013433333333333334,0.0007845734863959883,0.2,,,,0.016733333333333333,0.0002357022603955144,0.2
'10011110010100111100',0.0013,0.0005354126134736337,0.275,,,,0.004266666666666667,0.0004496912521077345,0.275
'10101110010111110100',0.006866666666666667,0.0007542472332656509,0.275,,,,0.0104,0.00021602468994692898,0.275
'01010001100011000111',0.0036666666666666666,0.00030912061651652367,0.3,,,,0.0038666666666666663,0.0001699673171197596,0.3
'01010001101000001011',0.007233333333333334,0.0010873004286866726,0.275,,,,0.009133333333333334,0.0005557777333511026,0.275
'01100001101001001011',0.003933333333333333,0.0007408703590297623,0.25,,,,0.0171,0.0003741657386773947,0.25
'10101110011100111000',0.0034666666666666665,0.00041899350299921784,0.3,,,,0.0047666666666666664,0.00041899350299921784,0.3
'01100001101001001001',0.012066666666666668,0.0013888444437333105,0.225,,,,0.014799999999999999,0.0017720045146669345,0.225
'10001110010111100100',0.006266666666666667,0.0008730533902472529,0.25,,,,0.0021333333333333334,0.0001699673171197595,0.25
'10001110010111110100',0.013433333333333334,0.0003299831645537223,0.275,,,,0.006066666666666667,4.714045207910329e-5,0.275
'10011110010100111110',0.0031,0.0002943920288775949,0.25,,,,0.004666666666666666,0.0004027681991198189,0.25
'01100001101011000001',0.0032666666666666664,0.00018856180831641257,0.25,,,,0.003866666666666667,0.0004784233364802441,0.25
'01100001101011001001',0.0015666666666666667,0.00032998316455372216,0.275,,,,0.0016666666666666668,0.00016996731711975947,0.275
'10011110010110110100',0.0034666666666666665,0.0006128258770283411,0.25,,,,0.016633333333333333,0.00041096093353126546,0.25
'10101110011100111010',0.0010666666666666667,0.00020548046676563254,0.325,,,,0.0044666666666666665,0.0007363574011458175,0.325
'10011110010100110110',0.0017000000000000001,0.00014142135623730948,0.275,,,,0.0016666666666666668,9.428090415820628e-5,0.275
'10101110010111100100',0.012933333333333333,0.0014383632673594278,0.2,,,,0.016399999999999998,0.0007118052168020873,0.2
'01100101101011000001',0.0025,8.164965809277265e-5,0.275,,,,0.004133333333333333,9.428090415820618e-5,0.275
'10011010010100111100',0.0008333333333333334,0.00016996731711975952,0.3,,,,0.0036333333333333335,0.0010530379332620876,0.3
'01100101101011000011',0.0007333333333333332,0.00030912061651652346,0.3,,,,0.0041333333333333335,0.00033993463423951894,0.3
'01010001100011000101',0.0012333333333333335,0.00026246692913372703,0.325,,,,0.0044666666666666665,0.000612825877028341,0.325
'10011110010100110100',0.0003333333333333333,0.00020548046676563254,0.3,,,,0.002033333333333333,0.0005557777333511022,0.3
