"Nature","Strength","Type","Node"
"P",1.53548051525082,"DA","GRHL2,GRHL2"
"P",1.42389288023152,"DA","GRHL2,MIR340"
"P",1.42389288023152,"DA","GRHL2,MIR1199"
"P",1.46758714774744,"DA","GRHL2,CD24"
"P",1.36909254038445,"DA","GRHL2,ESRP1"
"P",1.21674141664021,"DA","GRHL2,MIR200"
"P",0.836961413517918,"DA","GRHL2,MIR129"
"P",0.791025216061395,"DA","GRHL2,MIR34"
"P",1.04773792143646,"DA","GRHL2,MIR190"
"P",0.957726991235962,"TS","GRHL2,TGFB"
"P",0.623049725527242,"TS","GRHL2,SNAIL1"
"P",0.868808068491609,"TS","GRHL2,TWIST1"
"P",1.51977315804905,"TS","GRHL2,ZEB1"
"P",1.36909254038445,"TS","GRHL2,HAS2"
"P",1.36758714774744,"TS","GRHL2,HA"
"P",1.36758714774744,"TS","GRHL2,CD44s"
"P",1.31230524521223,"DA","MIR340,MIR340"
"P",1.31230524521223,"DA","MIR340,MIR1199"
"P",1.25750490536516,"DA","MIR340,CD24"
"P",1.25750490536516,"DA","MIR340,ESRP1"
"P",1.09667114024074,"DA","MIR340,MIR200"
"P",0.820012276992714,"DA","MIR340,MIR129"
"P",0.678059462235792,"DA","MIR340,MIR34"
"P",0.936150286417167,"DA","MIR340,MIR190"
"P",0.841433857233189,"TS","MIR340,TGFB"
"P",0.602140428742676,"TS","MIR340,SNAIL1"
"P",0.851858931966405,"TS","MIR340,TWIST1"
"P",1.40613902537308,"TS","MIR340,ZEB1"
"P",1.25750490536516,"TS","MIR340,HAS2"
"P",1.25750490536516,"TS","MIR340,HA"
"P",1.25750490536516,"TS","MIR340,CD44s"
"P",1.31230524521223,"DA","MIR1199,MIR1199"
"P",1.25750490536516,"DA","MIR1199,CD24"
"P",1.25750490536516,"DA","MIR1199,ESRP1"
"P",1.09667114024074,"DA","MIR1199,MIR200"
"P",0.820012276992714,"DA","MIR1199,MIR129"
"P",0.678059462235792,"DA","MIR1199,MIR34"
"P",0.936150286417167,"DA","MIR1199,MIR190"
"P",0.841433857233189,"TS","MIR1199,TGFB"
"P",0.602140428742676,"TS","MIR1199,SNAIL1"
"P",0.851858931966405,"TS","MIR1199,TWIST1"
"P",1.40613902537308,"TS","MIR1199,ZEB1"
"P",1.25750490536516,"TS","MIR1199,HAS2"
"P",1.25750490536516,"TS","MIR1199,HA"
"P",1.25750490536516,"TS","MIR1199,CD44s"
"P",1.20270456551809,"DA","CD24,CD24"
"P",1.19669065600129,"DA","CD24,ESRP1"
"P",1.05570911492429,"DA","CD24,MIR200"
"P",0.784989922298228,"DA","CD24,MIR129"
"P",0.660235983229793,"DA","CD24,MIR34"
"P",0.915598907971052,"DA","CD24,MIR190"
"P",0.82361037822719,"TS","CD24,TGFB"
"P",0.5866777246085,"TS","CD24,SNAIL1"
"P",0.820012276992714,"TS","CD24,TWIST1"
"P",1.35922213529266,"TS","CD24,ZEB1"
"P",1.19669065600129,"TS","CD24,HAS2"
"P",1.20270456551809,"TS","CD24,HA"
"P",1.20270456551809,"TS","CD24,CD44s"
"P",1.20270456551809,"DA","ESRP1,ESRP1"
"P",1.05525912759585,"DA","ESRP1,MIR200"
"P",0.798368441376276,"DA","ESRP1,MIR129"
"P",0.651505194585634,"DA","ESRP1,MIR34"
"P",0.881349946570098,"DA","ESRP1,MIR190"
"P",0.789356562547199,"TS","ESRP1,TGFB"
"P",0.584827278316942,"TS","ESRP1,SNAIL1"
"P",0.830215096349967,"TS","ESRP1,TWIST1"
"P",1.35922213529266,"TS","ESRP1,ZEB1"
"P",1.20270456551809,"TS","ESRP1,HAS2"
"P",1.19669065600129,"TS","ESRP1,HA"
"P",1.29669065600129,"TS","ESRP1,CD44s"
"P",1.06974420659765,"DA","MIR200,MIR200"
"P",0.624734361742824,"DA","MIR200,MIR129"
"P",0.481980984967672,"DA","MIR200,MIR34"
"P",0.788972655835828,"DA","MIR200,MIR190"
"P",0.898865902098141,"TS","MIR200,TGFB"
"P",0.514837333397538,"TS","MIR200,SNAIL1"
"P",0.648664143079442,"TS","MIR200,TWIST1"
"P",1.16713417915319,"TS","MIR200,ZEB1"
"P",1.05525912759585,"TS","MIR200,HAS2"
"P",1.05570911492429,"TS","MIR200,HA"
"P",1.05570911492429,"TS","MIR200,CD44s"
"P",0.754592984275186,"DA","MIR129,MIR129"
"P",0.423702693352733,"DA","MIR129,MIR34"
"P",0.698564168471708,"DA","MIR129,MIR190"
"P",0.564831282307441,"TS","MIR129,TGFB"
"P",0.345725028384547,"TS","MIR129,SNAIL1"
"P",0.738084679422469,"TS","MIR129,TWIST1"
"P",0.87064983255849,"TS","MIR129,ZEB1"
"P",0.798368441376276,"TS","MIR129,HAS2"
"P",0.784989922298228,"TS","MIR129,HA"
"P",0.784989922298228,"TS","MIR129,CD44s"
"P",0.143608494459044,"DA","MIR34,MIR34"
"P",0.361377157524973,"DA","MIR34,MIR190"
"P",0.360975252604543,"TS","MIR34,TGFB"
"P",0.17813771305344,"TS","MIR34,SNAIL1"
"P",0.43891673708541,"TS","MIR34,TWIST1"
"P",0.715620503054304,"TS","MIR34,ZEB1"
"P",0.651505194585634,"TS","MIR34,HAS2"
"P",0.660235983229793,"TS","MIR34,HA"
"P",0.660235983229793,"TS","MIR34,CD44s"
"P",0.559995327622108,"DA","MIR190,MIR190"
"P",0.669875031074957,"TS","MIR190,TGFB"
"P",0.406743265475316,"TS","MIR190,SNAIL1"
"P",0.730410823445399,"TS","MIR190,TWIST1"
"P",1.0008906555036,"TS","MIR190,ZEB1"
"P",0.881349946570098,"TS","MIR190,HAS2"
"P",0.915598907971052,"TS","MIR190,HA"
"P",0.915598907971052,"TS","MIR190,CD44s"
"P",0.578342010750042,"DA","TGFB,TGFB"
"P",0.403364789498334,"DA","TGFB,SNAIL1"
"P",0.594557965880278,"DA","TGFB,TWIST1"
"P",0.903433146733219,"DA","TGFB,ZEB1"
"P",0.789356562547199,"DA","TGFB,HAS2"
"P",0.82361037822719,"DA","TGFB,HA"
"P",0.82361037822719,"DA","TGFB,CD44s"
"P",0.00760602583770566,"DA","SNAIL1,SNAIL1"
"P",0.355619360757266,"DA","SNAIL1,TWIST1"
"P",0.630448529889515,"DA","SNAIL1,ZEB1"
"P",0.584827278316942,"DA","SNAIL1,HAS2"
"P",0.5866777246085,"DA","SNAIL1,HA"
"P",0.5866777246085,"DA","SNAIL1,CD44s"
"P",0.52162223222278,"DA","TWIST1,TWIST1"
"P",0.897580939030306,"DA","TWIST1,ZEB1"
"P",0.830215096349967,"DA","TWIST1,HAS2"
"P",0.820012276992714,"DA","TWIST1,HA"
"P",0.820012276992714,"DA","TWIST1,CD44s"
"P",1.28846560172024,"DA","ZEB1,ZEB1"
"P",1.35922213529266,"DA","ZEB1,HAS2"
"P",1.35922213529266,"DA","ZEB1,HA"
"P",1.35922213529266,"DA","ZEB1,CD44s"
"P",1.20270456551809,"DA","HAS2,HAS2"
"P",1.29669065600129,"DA","HAS2,HA"
"P",1.19669065600129,"DA","HAS2,CD44s"
"P",1.20270456551809,"DA","HA,HA"
"P",1.20270456551809,"DA","HA,CD44s"
"P",1.20270456551809,"DA","CD44s,CD44s"
