"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.634291057265765,0.576363684362441,0.353390087090294,0.580894861356284,0.339029432558054,-0.694491211230353,-0.576363684362441,-0.576363684362441,-0.694491211230353,-0.353390087090294,-0.694491211230353,0.694491211230353,0.649133687217546,-0.694491211230353,0,-0.694491211230353,0.537781657984251,-0.566548064487136,0.649133687217546,-0.649133687217546
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TWIST1",0.597013304709778,0.388207700620399,0.30800894292913,0.422262752371645,0.210222713020472,-0.567833564682884,-0.388207700620399,-0.388207700620399,-0.567833564682884,-0.441270598983138,-0.567833564682884,0.567833564682884,0.537022753872074,-0.567833564682884,0,-0.567833564682884,0.490423940564016,-0.524087118034082,0.537022753872074,-0.537022753872074
"TGFB",0.323337119943632,0.291650842437813,0.244638368319916,0.315776074689118,0.159939068079869,-0.3044291320771,-0.291650842437813,-0.291650842437813,-0.3044291320771,-0.244638368319916,-0.3044291320771,0.3044291320771,0.285894953077805,-0.3044291320771,0,-0.3044291320771,0.287177664419041,-0.30874764272376,0.285894953077805,-0.285894953077805
"SNAIL1",0.337850908042326,0.304345780878306,0.252148852498337,0.332533365840873,0.0679416426346858,-0.323337119943632,-0.304345780878306,-0.304345780878306,-0.323337119943632,-0.252148852498337,-0.323337119943632,0.323337119943632,0.3044291320771,-0.323337119943632,0,-0.323337119943632,0.302199557312271,-0.321157988300808,0.3044291320771,-0.3044291320771
"MIR340",-0.694491211230353,-0.54221592403667,-0.331154164361153,-0.536915803764661,-0.32222136101483,0.649133687217546,0.54221592403667,0.54221592403667,0.649133687217546,0.331154164361153,0.649133687217546,-0.649133687217546,-0.595948502032361,0.649133687217546,0,0.649133687217546,-0.499746393500624,0.534251802587903,-0.595948502032361,0.595948502032361
"MIR34",-0.323337119943632,-0.291650842437813,-0.244638368319916,-0.315776074689118,-0.159939068079869,0.3044291320771,0.291650842437813,0.291650842437813,0.3044291320771,0.244638368319916,0.3044291320771,-0.3044291320771,-0.285894953077805,0.3044291320771,0,0.3044291320771,-0.287177664419041,0.30874764272376,-0.285894953077805,0.285894953077805
"MIR200",-0.3044291320771,-0.27585335480934,-0.233327586078901,-0.39527918027918,-0.15457234178291,0.285894953077805,0.27585335480934,0.27585335480934,0.285894953077805,0.233327586078901,0.285894953077805,-0.285894953077805,-0.258478779507785,0.285894953077805,0,0.285894953077805,-0.270346909613603,0.29434111901491,-0.258478779507785,0.258478779507785
"MIR190",-0.3044291320771,-0.27585335480934,-0.233327586078901,-0.39527918027918,-0.15457234178291,0.285894953077805,0.27585335480934,0.27585335480934,0.285894953077805,0.233327586078901,0.285894953077805,-0.285894953077805,-0.258478779507785,0.285894953077805,0,0.285894953077805,-0.270346909613603,0.29434111901491,-0.258478779507785,0.258478779507785
"MIR129",-0.567833564682884,-0.363698117756813,-0.391237190091803,-0.389906220015113,-0.199796088839201,0.537022753872074,0.363698117756813,0.363698117756813,0.537022753872074,0.424525092833659,0.537022753872074,-0.537022753872074,-0.495887180291541,0.537022753872074,0,0.537022753872074,-0.463166369016364,0.501275066384154,-0.495887180291541,0.495887180291541
