"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
"CD44s",-1,1,-0.723260974296379,0.863568154059062,-1,0.0777622333255711,-1,1,1,-1,-0.354533638931062,-1,-0.87434717079101,-0.795797630719451,-1,0.690387720707375,0.886772625105927,0.354533638931062,0.888187160047023,1
"CDH1",0.723260974296379,-0.723260974296379,1,-0.837678453924138,0.723260974296379,-0.304405855625673,0.723260974296379,-0.723260974296379,-0.723260974296379,0.723260974296379,0.631260389221589,0.723260974296379,0.784785588811106,0.863328255162663,0.723260974296379,-0.914630269376299,-0.772356709436954,-0.631260389221589,-0.800200128487382,-0.723260974296379
"EMT",-0.863568154059062,0.863568154059062,-0.837678453924138,1,-0.863568154059062,0.179351407121623,-0.863568154059062,0.863568154059062,0.863568154059062,-0.863568154059062,-0.468921390282515,-0.863568154059062,-0.88541419010201,-0.901817568008775,-0.863568154059062,0.826864097212474,0.881799801144775,0.468921390282515,0.962534958748652,0.863568154059062
"ESRP1",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
"EX-TGFB",-0.0777622333255711,0.0777622333255711,-0.304405855625673,0.179351407121623,-0.0777622333255711,1,-0.0777622333255711,0.0777622333255711,0.0777622333255711,-0.0777622333255711,-0.0967856608425123,-0.0777622333255711,-0.153314366054938,-0.231863400315718,-0.0777622333255711,0.33727376025737,0.140887607396877,0.0967856608425124,0.162322542920154,0.0777622333255711
"GRHL2",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
"HA",-1,1,-0.723260974296379,0.863568154059062,-1,0.0777622333255711,-1,1,1,-1,-0.354533638931062,-1,-0.87434717079101,-0.795797630719451,-1,0.690387720707375,0.886772625105927,0.354533638931062,0.888187160047023,1
"HAS2",-1,1,-0.723260974296379,0.863568154059062,-1,0.0777622333255711,-1,1,1,-1,-0.354533638931062,-1,-0.87434717079101,-0.795797630719451,-1,0.690387720707375,0.886772625105927,0.354533638931062,0.888187160047023,1
"MIR-1199",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
