states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'10101110010100111100',1,0.0052,0.0003559026084010436,0.225,0.006833333333333334,0.00018856180831641273,0.225,0.006599999999999999,0.0009416297927883688,0.225
'10101110010110110100',1,0.015600000000000001,0.0015297058540778357,0.2,0.010466666666666666,0.0011145502331533664,0.2,0.01796666666666667,0.0008576453553512409,0.2
'10101110010100110100',1,0.0029,0.0004898979485566357,0.25,0.0018333333333333333,0.0006944222218666552,0.25,0.0028333333333333335,0.00038586123009300757,0.25
'01010001101001001011',1,0.015133333333333332,0.0006128258770283418,0.2,0.0119,0.0010198039027185567,0.2,0.016666666666666666,0.0004027681991198192,0.2
'01010001101011001011',1,0.0020333333333333336,0.0004714045207910318,0.25,0.002,0.0003265986323710903,0.25,0.0031999999999999997,0.0002160246899469287,0.25
'01010001101011000011',1,0.005066666666666666,0.00023570226039551604,0.225,0.006833333333333334,0.0002624669291337269,0.225,0.0068,0.0007118052168020873,0.225
'01010101101011000011',1,0.0045,0.00024494897427831773,0.25,0.002733333333333333,0.00012472191289246467,0.25,0.005033333333333333,0.000524933858267454,0.25
'10101010010100111100',1,0.0043,0.0008831760866327846,0.25,0.0028666666666666667,0.000579271573232759,0.25,0.0058,0.0006164414002968974,0.25
'10101110011111100000',1,0.13160000000000002,0.005061620293937508,0.075,,,,0.11706666666666667,9.42809041582025e-5,0.075
'01100101101000011011',1,0.027533333333333337,0.0026911377189252537,0.175,,,,0.10999999999999999,0.0040323690307311885,0.175
'01010001100000011111',1,0.1386666666666667,0.0006944222218666645,0.075,,,,0.11516666666666668,0.0021545816814923075,0.075
'10011010010111100100',1,0.028133333333333333,0.002684937408746968,0.175,,,,0.1069,0.0017107503227141807,0.175
'10101010011111100000',1,0.17120000000000002,0.0023846732830026564,0.05,,,,0.1286,0.0017682382946499781,0.05
'01010101100000011111',1,0.17520000000000002,0.002491318258807304,0.05,,,,0.12773333333333334,0.00033993463423951964,0.05
'01010001101000001011',0,0.0146,0.0008602325267042625,0.225,,,,0.018266666666666667,0.0008178562764256863,0.225
'01010001100011000111',1,0.003766666666666667,0.00024944382578492955,0.25,,,,0.003533333333333334,0.0004027681991198192,0.25
'01010001101000011011',0,0.0074333333333333335,0.0012036980056845195,0.2,,,,0.010433333333333334,0.0004988876515698588,0.2
'10101110010100111110',1,0.0023666666666666667,0.00023570226039551585,0.25,,,,0.006933333333333333,0.0013767917618708922,0.25
'01110001101000001011',0,0.0075,0.0002943920288775953,0.275,,,,0.0021,0.0007788880963698615,0.275
'10101110011100111010',1,0.0010333333333333334,0.00041899350299921784,0.275,,,,0.004833333333333333,0.0002494438257849297,0.275
'10101110011100111000',1,0.004033333333333333,0.0007133644853010899,0.25,,,,0.005233333333333334,0.00016996731711975955,0.25
'10101110010111100100',0,0.007800000000000001,0.00037416573867739446,0.2,,,,0.0099,0.0006480740698407866,0.2
'10101110010100110110',1,0.0008666666666666666,0.00016996731711975952,0.275,,,,0.0034999999999999996,0.0004242640687119286,0.275
'10101110010111110100',0,0.015600000000000001,0.0011430952132988165,0.225,,,,0.018366666666666667,0.0015520595635763745,0.225
'10001110010111110100',0,0.007700000000000001,0.0007483314773547885,0.275,,,,0.0021333333333333334,0.0001699673171197595,0.275
'01110001101000011011',0,0.0143,0.0005099019513592791,0.2,,,,0.006833333333333334,0.0002494438257849297,0.2
'10001110010111100100',0,0.0155,0.001471960144387975,0.2,,,,0.006033333333333332,0.00046427960923947045,0.2
'01010001101011001001',1,0.0005,0.0001414213562373095,0.275,,,,0.0031,0.0003265986323710904,0.275
'01010001101001001001',1,0.004933333333333334,0.0004027681991198189,0.225,,,,0.0165,0.0008041558721209874,0.225
'01010101101011000001',1,0.0013,0.0,0.275,,,,0.0053,0.0007874007874011813,0.275
'01010001101011000001',1,0.0019666666666666665,0.00028674417556808754,0.25,,,,0.007266666666666667,0.0008498365855987971,0.25
'01010001100011000101',1,0.0012666666666666666,4.714045207910318e-5,0.275,,,,0.003966666666666667,0.000339934634239519,0.275
'10101110010110110110',1,0.004433333333333333,0.0005436502143433362,0.225,,,,0.015666666666666666,0.0006342099196813476,0.225
'10101010010100111110',1,0.0015333333333333334,0.00041096093353126513,0.275,,,,0.0056,0.0007118052168020874,0.275
'01000001101001001001',1,0.007833333333333333,0.000776029781788188,0.225,0.008966666666666666,0.00112644968324772,0.225,,,
'01000101101011000001',1,0.002766666666666667,0.00044969125210773465,0.275,0.0036333333333333335,0.0006798692684790379,0.275,,,
'10111110010110110110',1,0.008433333333333333,0.0006847546194724712,0.225,0.009266666666666668,0.0003858612300930073,0.225,,,
'10101110010101111100',1,0.005533333333333334,0.00012472191289246472,0.25,0.010666666666666666,0.0009568466729604884,0.25,,,
'01000001101011000001',1,0.0039000000000000003,0.00014142135623730967,0.25,0.0063,0.0005354126134736336,0.25,,,
'01000001101010000001',1,0.0027333333333333337,0.00024944382578492955,0.275,0.007533333333333333,0.0005249338582674542,0.275,,,
'10111010010100111110',1,0.0027333333333333337,0.0004921607686744467,0.275,0.0034666666666666665,0.000590668171555645,0.275,,,
'01010001101010000011',1,0.0059,0.00032659863237109054,0.25,0.010933333333333335,0.0006342099196813482,0.25,,,
'10111110010101111110',1,0.0028000000000000004,0.0002828427124746191,0.275,0.006666666666666667,0.0009285592184789411,0.275,,,
'10111110010100111110',1,0.0031999999999999997,0.0007788880963698615,0.25,0.006733333333333333,0.0004784233364802443,0.25,,,
