"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"CD44s",-1,1,-0.699936578361866,0.857084537144563,-1,0.0563596830644309,-1,-1,-1,-1,-0.316889128117761,-1,-0.865705867269763,-0.788731109256435,-1,0.671874442864956,0.883146183150218,0.316889128117761,0.885149415522402,1
"CDH1",0.699936578361866,-0.699936578361866,1,-0.82441212289517,0.699936578361866,-0.302698914340473,0.699936578361866,0.699936578361866,0.699936578361866,0.699936578361866,0.616954086677114,0.699936578361866,0.777710015067363,0.854679211244828,0.699936578361866,-0.914611374832583,-0.760272565868997,-0.616954086677114,-0.785527566772356,-0.699936578361866
"EMT",-0.857084537144563,0.857084537144563,-0.82441212289517,1,-0.857084537144563,0.162786426248693,-0.857084537144563,-0.857084537144563,-0.857084537144563,-0.857084537144563,-0.441366311863671,-0.857084537144563,-0.878732923563089,-0.895970639190281,-0.857084537144563,0.814790869355179,0.874123663564267,0.441366311863671,0.961114935949298,0.857084537144563
"ESRP1",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"EX-TGFB",-0.0563596830644309,0.0563596830644309,-0.302698914340473,0.162786426248693,-0.0563596830644309,1,-0.0563596830644309,-0.0563596830644309,-0.0563596830644309,-0.0563596830644309,-0.0936303916583432,-0.0563596830644309,-0.136920696529352,-0.213912387671069,-0.0563596830644309,0.3307615910351,0.119477088553097,0.0936303916583431,0.143533872170277,0.0563596830644309
"GRHL2",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"HA",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"HAS2",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"MIR-1199",1,-1,0.699936578361866,-0.857084537144563,1,-0.0563596830644309,1,1,1,1,0.316889128117761,1,0.865705867269763,0.788731109256435,1,-0.671874442864956,-0.883146183150218,-0.316889128117761,-0.885149415522402,-1
"MIR-129",0.316889128117761,-0.316889128117761,0.616954086677114,-0.441366311863671,0.316889128117761,-0.0936303916583432,0.316889128117761,0.316889128117761,0.316889128117761,0.316889128117761,1,0.316889128117761,0.394664992204623,0.471631670853049,0.316889128117761,-0.588491228202789,-0.377227825065596,-1,-0.402482645378587,-0.316889128117761
