states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'10101010011111100000',1,0.1791,0.003073543015262134,0.02564102564102564,0.2789,0.005800574684172828,0.02564102564102564,0.13436666666666666,0.00196015872373189,0.02564102564102564
'10101110011111100000',1,0.12380000000000001,0.0030011109054259725,0.05128205128205128,0.11773333333333334,0.0037721199462489073,0.05128205128205128,0.1033,0.0025729360660537216,0.05128205128205128
'01010101100000011111',1,0.16976666666666665,0.002166923061752667,0.02564102564102564,0.28103333333333336,0.000736357401145805,0.02564102564102564,0.12913333333333335,0.0024143091949642413,0.02564102564102564
'01010001100000011111',1,0.12373333333333332,0.002735365098523822,0.05128205128205128,0.11410000000000002,0.005314759323494023,0.05128205128205128,0.10516666666666667,0.0003299831645537204,0.05128205128205128
'10011110010100111110',1,0.010133333333333333,0.0003399346342395191,0.20512820512820512,0.013233333333333333,0.0003681787005729086,0.20512820512820512,0.009733333333333335,0.0004642796092394708,0.20512820512820512
'10011110010110110110',1,0.02416666666666667,0.0011556623882239805,0.1794871794871795,0.019600000000000003,0.0012832251036613436,0.1794871794871795,0.027633333333333333,0.00044969125210773475,0.1794871794871795
'01100001101011000001',1,0.010066666666666666,0.00041096093353126546,0.20512820512820512,0.013966666666666667,0.0007542472332656509,0.20512820512820512,0.010966666666666666,0.00030912061651652367,0.20512820512820512
'10011110010100110110',1,0.003766666666666667,0.0008993825042154693,0.23076923076923078,0.004033333333333333,0.00020548046676563254,0.23076923076923078,0.005366666666666668,0.001236482466066094,0.23076923076923078
'01100001101001001001',1,0.024166666666666666,0.0004921607686744465,0.1794871794871795,0.019633333333333332,0.0011614167593456235,0.1794871794871795,0.026466666666666666,0.001014341603646863,0.1794871794871795
'10011010010100111110',1,0.007100000000000001,0.001498888477061141,0.23076923076923078,0.006166666666666667,0.0008498365855987974,0.23076923076923078,0.009233333333333335,0.0011085526098877265,0.23076923076923078
'01100101101011000001',1,0.0064,0.0009626352718795767,0.23076923076923078,0.006733333333333333,0.0003299831645537223,0.23076923076923078,0.009566666666666666,0.0011115554667022044,0.23076923076923078
'01100001101011001001',1,0.003833333333333333,0.00036817870057290875,0.23076923076923078,0.0036999999999999997,0.0006683312551921141,0.23076923076923078,0.0058,0.00021602468994692884,0.23076923076923078
'01010101101000011011',1,0.07150000000000001,0.0028331372481167696,0.15384615384615385,,,,0.10163333333333334,0.002456736769691772,0.15384615384615385
'10101010010111100100',1,0.0702,0.0012027745701779094,0.15384615384615385,,,,0.1028,0.004152910625894403,0.15384615384615385
'10011110010110110100',1,0.010933333333333331,0.0008178562764256865,0.20512820512820512,,,,0.06656666666666666,0.0018624953392932001,0.20512820512820512
'10011110010100111100',1,0.0035666666666666663,0.0007408703590297623,0.23076923076923078,,,,0.0118,0.00014142135623730948,0.23076923076923078
'01100001101001001011',1,0.0113,0.0004320493798938577,0.20512820512820512,,,,0.06466666666666666,0.0017441967269268201,0.20512820512820512
'10101110011100111000',1,0.0083,0.0009273618495495702,0.2564102564102564,,,,0.008566666666666667,0.00018856180831641235,0.2564102564102564
'10011010010100111100',1,0.0025666666666666667,0.00012472191289246486,0.2564102564102564,,,,0.011033333333333334,0.000776029781788188,0.2564102564102564
'01010001100011000111',1,0.008766666666666667,0.0004921607686744466,0.2564102564102564,,,,0.0089,0.00014142135623730948,0.2564102564102564
'01010001100011000101',1,0.0015666666666666667,0.00020548046676563254,0.28205128205128205,,,,0.007266666666666667,0.0005249338582674542,0.28205128205128205
'10011110010100110100',1,0.0013333333333333333,0.00023570226039551585,0.2564102564102564,,,,0.005699999999999999,0.0006976149845485451,0.2564102564102564
'01100001101011000011',1,0.0033333333333333335,0.0003681787005729088,0.23076923076923078,,,,0.011666666666666665,0.0009568466729604879,0.23076923076923078
'10101110011100111010',1,0.0020666666666666667,0.00038586123009300746,0.28205128205128205,,,,0.007666666666666666,0.00041899350299921746,0.28205128205128205
'01100101101011000011',1,0.001966666666666667,0.0007133644853010899,0.2564102564102564,,,,0.009833333333333333,0.00023570226039551604,0.2564102564102564
'01100001101011001011',1,0.0017333333333333333,0.00020548046676563257,0.2564102564102564,,,,0.005166666666666667,0.0007845734863959878,0.2564102564102564
'10001110010110110100',1,0.03596666666666667,0.0007586537784494031,0.20512820512820512,0.031766666666666665,0.0015434449203720298,0.20512820512820512,,,
'10001010010100111100',1,0.005966666666666666,0.0005436502143433364,0.2564102564102564,0.007033333333333333,0.0003299831645537223,0.2564102564102564,,,
'01110001101001001011',1,0.0367,0.0022226110770892874,0.20512820512820512,0.0329,0.0021213203435596446,0.20512820512820512,,,
'01110001101011000011',1,0.0086,0.0005099019513592784,0.23076923076923078,0.017566666666666668,0.0016027753706895087,0.23076923076923078,,,
'01110001101011001011',1,0.0034000000000000002,0.0007483314773547884,0.2564102564102564,0.0040999999999999995,0.0002943920288775949,0.2564102564102564,,,
'10001110010100110100',1,0.0036000000000000003,0.0005099019513592786,0.2564102564102564,0.004,0.00029439202887759496,0.2564102564102564,,,
'10001110010100111100',1,0.0083,0.0006683312551921137,0.23076923076923078,0.018233333333333334,0.0011025223605694156,0.23076923076923078,,,
'01110101101011000011',1,0.005933333333333333,0.0003091206165165236,0.2564102564102564,0.005566666666666667,0.0007133644853010899,0.2564102564102564,,,
'01000001100011000101',1,0.0034333333333333334,0.0009741092797468305,0.28205128205128205,,,,,,
'10111110011100111010',1,0.0029333333333333334,9.428090415820638e-5,0.28205128205128205,,,,,,
