"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,0.0121071206806605,-0.0337154696437418,-0.40750486937232,1,-0.0337154696437418,-1,0.0337154696437418,0.436318495948697
"GRHL2",1,1,0.0121071206806605,-0.0337154696437418,-0.40750486937232,1,-0.0337154696437418,-1,0.0337154696437418,0.436318495948697
"Iext",0.0121071206806605,0.0121071206806605,1,-0.563386721953386,0.122162943744918,0.0121071206806605,-0.563386721953386,-0.0121071206806605,0.563386721953386,0.160780128045858
"KEAP1",-0.0337154696437418,-0.0337154696437418,-0.563386721953386,1,-0.558778649123181,-0.0337154696437418,1,0.0337154696437418,-1,-0.597400675478224
"NRF2",-0.40750486937232,-0.40750486937232,0.122162943744918,-0.558778649123181,1,-0.40750486937232,-0.558778649123181,0.40750486937232,0.558778649123181,0.156178520992425
"OVOL2",1,1,0.0121071206806605,-0.0337154696437418,-0.40750486937232,1,-0.0337154696437418,-1,0.0337154696437418,0.436318495948697
"SNAIL",-0.0337154696437418,-0.0337154696437418,-0.563386721953386,1,-0.558778649123181,-0.0337154696437418,1,0.0337154696437418,-1,-0.597400675478224
"ZEB",-1,-1,-0.0121071206806605,0.0337154696437418,0.40750486937232,-1,0.0337154696437418,1,-0.0337154696437418,-0.436318495948697
"miR200",0.0337154696437418,0.0337154696437418,0.563386721953386,-1,0.558778649123181,0.0337154696437418,-1,-0.0337154696437418,1,0.597400675478224
"miR34",0.436318495948697,0.436318495948697,0.160780128045858,-0.597400675478224,0.156178520992425,0.436318495948697,-0.597400675478224,-0.436318495948697,0.597400675478224,1
