"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.5023250768222,0.270460237126349,-0.285622500006504,-0.273769318348357,-0.560333924859872,-0.296600408791408,0.288493425754671,0,-0.585658410155533,0
"SNAIL",0.315198520122912,0.0493800042416289,-0.188029357076963,-0.198331314119027,-0.296593447546962,-0.209841616869623,0.203015375734871,0,-0.306823923782762,0
"OVOL2",-0.15277685017622,-0.0908774083428661,-0.00393471406386484,-0.00237190512895209,0.149429983129945,-0.000365100072622102,0.00672649299831445,0,0.149865952057654,0
"NRF2",-0.306823923782762,-0.144753321255093,0.181220172595569,0.18771579226354,0.285377465165335,0.203015375734871,-0.198331314119027,0,0.294341740927946,0
"miR34",-0.306823923782762,-0.144753321255093,0.181220172595569,0.18771579226354,0.285377465165335,0.203015375734871,-0.198331314119027,0,0.294341740927946,0
"miR200",-0.585110014444646,-0.219424321672505,0.279467503013907,0.364091661514203,0.532324028725931,0.289072906825531,-0.375119418453438,0,0.564897794694518,0
"KEAP1",0.294341740927946,0.137837691932824,-0.17758312722624,-0.280374020111642,-0.273791012402412,-0.198331314119027,0.18771579226354,0,-0.282318619540663,0
"Iext",0.306823923782762,0.144753321255093,-0.181220172595569,-0.18771579226354,-0.285377465165335,-0.203015375734871,0.198331314119027,0,-0.294341740927946,0
"GRHL2",-0.585658410155533,-0.255573505734764,0.276978998089848,0.263216554529261,0.543489638299777,0.288493425754671,-0.273769318348357,0,0.565444424675977,0
"Ecad",-0.430076815254123,-0.0499519739692883,0.209472175013282,0.0715289222903436,0.30403401150912,0.186059111130192,-0.177633390509349,0,0.417871186305243,0
