"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0135067050842798,-0.642221526860003,-0.752878918712028,1,-0.642221526860003,-1,0.642221526860003,0.642221526860003
"GRHL2",1,1,-0.0135067050842798,-0.642221526860003,-0.752878918712028,1,-0.642221526860003,-1,0.642221526860003,0.642221526860003
"Iext",-0.0135067050842798,-0.0135067050842798,1,0.371285352678229,-0.233619041381856,-0.0135067050842798,0.371285352678229,0.0135067050842798,-0.371285352678228,-0.371285352678228
"KEAP1",-0.642221526860003,-0.642221526860003,0.371285352678229,1,0.395095811018808,-0.642221526860003,1,0.642221526860003,-1,-1
"NRF2",-0.752878918712028,-0.752878918712028,-0.233619041381856,0.395095811018808,1,-0.752878918712028,0.395095811018808,0.752878918712028,-0.395095811018808,-0.395095811018808
"OVOL2",1,1,-0.0135067050842798,-0.642221526860003,-0.752878918712028,1,-0.642221526860003,-1,0.642221526860003,0.642221526860003
"SNAIL",-0.642221526860003,-0.642221526860003,0.371285352678229,1,0.395095811018808,-0.642221526860003,1,0.642221526860003,-1,-1
"ZEB",-1,-1,0.0135067050842798,0.642221526860003,0.752878918712028,-1,0.642221526860003,1,-0.642221526860003,-0.642221526860003
"miR200",0.642221526860003,0.642221526860003,-0.371285352678228,-1,-0.395095811018808,0.642221526860003,-1,-0.642221526860003,1,1
"miR34",0.642221526860003,0.642221526860003,-0.371285352678228,-1,-0.395095811018808,0.642221526860003,-1,-0.642221526860003,1,1
