states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'0101001100',1,0.026076666666666668,0.0003878430381252473,0.2857142857142857,,,,0.03163666666666667,0.00048664383508087677,0.2857142857142857
'0001001100',1,0.03251333333333333,0.0004943233309844436,0.23809523809523808,,,,0.046316666666666666,0.0006418895716727462,0.23809523809523808
'0100100111',1,0.03661333333333333,0.00036572606627851406,0.3333333333333333,0.036509999999999994,0.0006388009601328625,0.3333333333333333,0.025666666666666667,0.00031857320805254286,0.3333333333333333
'1101011000',1,0.028636666666666668,0.00015173075568988026,0.3333333333333333,,,,0.03870666666666667,0.0006663999466453245,0.3333333333333333
'1010110011',1,0.0256,0.0007037044834303674,0.2857142857142857,,,,0.03215333333333333,0.000359753001686188,0.2857142857142857
'0000100111',1,0.04915666666666666,0.0005308065142361702,0.2857142857142857,0.04813,0.00014236104336041687,0.2857142857142857,0.03861333333333334,0.0003971845358967985,0.2857142857142857
'0111001100',1,0.04073333333333333,0.00047618857142476206,0.23809523809523808,0.04215,0.00030539591789456946,0.23809523809523808,0.03038333333333333,0.000656522826885875,0.23809523809523808
'1100110011',1,0.05214,0.0012811193022769843,0.19047619047619047,0.052910000000000006,0.0008499411744350309,0.19047619047619047,0.04623333333333333,0.0003655437350334725,0.19047619047619047
'1011011000',1,0.036573333333333326,0.0005218130784954406,0.3333333333333333,0.037136666666666665,0.00037025516726831573,0.3333333333333333,0.02527333333333333,0.00047048438396567026,0.3333333333333333
'0010100111',1,0.028803333333333334,0.00030868898407440524,0.3333333333333333,,,,0.038310000000000004,0.0007397296803562755,0.3333333333333333
'1111011000',1,0.04992333333333334,0.00016336734339790366,0.2857142857142857,0.04859,0.0006981881312845897,0.2857142857142857,0.03883333333333333,0.00036371539545211644,0.2857142857142857
'1110110011',1,0.032446666666666665,0.0005636981067517925,0.23809523809523808,,,,0.04563999999999999,0.0007094129028053181,0.23809523809523808
'0110100111',1,0.022096666666666667,0.00014429907214608974,0.38095238095238093,,,,0.026036666666666666,0.00045057987329908897,0.38095238095238093
'0011001100',1,0.05223,0.0006362913378843581,0.19047619047619047,0.05366666666666667,0.0010474201109816855,0.19047619047619047,0.045619999999999994,0.0004210304818735401,0.19047619047619047
'1000110011',1,0.04062333333333334,0.00022514193054357798,0.23809523809523808,0.042256666666666665,0.000484033974932431,0.23809523809523808,0.03106333333333333,0.0002493101593508685,0.23809523809523808
'1001011000',1,0.022066666666666665,0.00039203174474637654,0.38095238095238093,,,,0.025860000000000005,0.0001306394529484365,0.38095238095238093
'0000100110',1,0.05593666666666666,0.00023299976156401686,0.3333333333333333,0.08443333333333332,0.0006909092238171064,0.3333333333333333,,,
'1000010011',1,0.04906666666666667,0.00019189117286165603,0.2857142857142857,0.07467333333333333,0.0011437462811111393,0.2857142857142857,,,
'0111101100',1,0.04981,0.0008730406634286837,0.2857142857142857,0.07377666666666666,0.0005836856079165335,0.2857142857142857,,,
'1100010011',1,0.06291000000000001,0.0003608323710533752,0.23809523809523808,0.09406999999999999,0.0002649528259898317,0.23809523809523808,,,
'0100100110',1,0.043949999999999996,0.00045585085280165925,0.38095238095238093,0.06620666666666668,0.0004343833432452155,0.38095238095238093,,,
'0011101100',1,0.06221666666666667,0.0005897645481225745,0.23809523809523808,0.09413333333333333,0.0011572764963002087,0.23809523809523808,,,
'1111011001',1,0.05551333333333334,0.00018006171781426018,0.3333333333333333,0.08500999999999999,0.0005900847396772759,0.3333333333333333,,,
'1011011001',1,0.04436333333333333,0.0003917765803221125,0.38095238095238093,0.06634666666666666,0.00047119234100547554,0.38095238095238093,,,
'1101010001',0,,,,,,,0.008806666666666666,3.7712361663282636e-5,0.2857142857142857
'0100100110',0,,,,,,,0.011186666666666666,0.000527720464724355,0.38095238095238093
'1110011011',0,,,,,,,0.008853333333333333,0.0002472964932132186,0.38095238095238093
'1100011011',0,,,,,,,0.008773333333333333,0.0002425329301810836,0.42857142857142855
'1011010001',0,,,,,,,0.006319999999999999,0.0002475210428764931,0.38095238095238093
'1001010001',0,,,,,,,0.00637,0.00012027745701779144,0.3333333333333333
'0011101100',0,,,,,,,0.016096666666666665,0.0004540435612973218,0.23809523809523808
'1101011001',0,,,,,,,0.01565,0.00015253414918196684,0.38095238095238093
'0111100110',0,,,,,,,0.0035299999999999997,7.25718035235908e-5,0.5238095238095238
'1111011001',0,,,,,,,0.015733333333333332,0.0003838691906829139,0.3333333333333333
