"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0128047827773168,-0.198280654025602,-0.892559132922015,1,0.198280654025602,-1,-0.198280654025602,0.432976179193369
"GRHL2",1,1,-0.0128047827773168,-0.198280654025602,-0.892559132922015,1,0.198280654025602,-1,-0.198280654025602,0.432976179193369
"Iext",-0.0128047827773168,-0.0128047827773168,1,-0.788914896281255,0.120244317314284,-0.0128047827773168,0.788914896281255,0.0128047827773168,-0.788914896281255,-0.157657146436705
"KEAP1",-0.198280654025602,-0.198280654025602,-0.788914896281255,1,0.0908436781445877,-0.198280654025602,-1,0.198280654025602,1,0.368740431103937
"NRF2",-0.892559132922015,-0.892559132922015,0.120244317314284,0.0908436781445877,1,-0.892559132922015,-0.0908436781445877,0.892559132922015,0.0908436781445877,-0.540412406293745
"OVOL2",1,1,-0.0128047827773168,-0.198280654025602,-0.892559132922015,1,0.198280654025602,-1,-0.198280654025602,0.432976179193369
"SNAIL",0.198280654025602,0.198280654025602,0.788914896281255,-1,-0.0908436781445877,0.198280654025602,1,-0.198280654025602,-1,-0.368740431103937
"ZEB",-1,-1,0.0128047827773168,0.198280654025602,0.892559132922015,-1,-0.198280654025602,1,0.198280654025602,-0.432976179193369
"miR200",-0.198280654025602,-0.198280654025602,-0.788914896281255,1,0.0908436781445877,-0.198280654025602,-1,0.198280654025602,1,0.368740431103937
"miR34",0.432976179193369,0.432976179193369,-0.157657146436705,0.368740431103937,-0.540412406293745,0.432976179193369,-0.368740431103937,-0.432976179193369,0.368740431103937,1
