states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'0100101',0.14790333333333333,0.0002782484900627955,0.1875,0.14328333333333335,0.0008684980649885703,0.1875,0.16977333333333333,0.00022528993664954237,0.1875
'1010010',0.18931666666666666,0.0007476333028668167,0.1875,0.19023333333333334,0.0008784202992999556,0.1875,0.18226333333333333,0.0007149048110685012,0.1875
'0101101',0.18917333333333333,0.0005268986830712498,0.1875,0.1902,0.0011316359838746638,0.1875,0.18137,0.000863017960415656,0.1875
'0000111',0.06641666666666667,0.0006294088937690315,0.375,0.06580333333333334,0.0008020529215013706,0.375,0.06941333333333334,0.001129906584142639,0.375
'1011010',0.14819000000000002,0.001098847881495283,0.1875,0.14376666666666668,0.0010179172636101404,0.1875,0.16966666666666666,0.000842588603979158,0.1875
'1111000',0.06616666666666667,0.0006966746411026841,0.375,0.06602666666666666,0.0008166734693594208,0.375,0.06930666666666667,0.00033905096306537086,0.375
'0001110',0.058536666666666674,0.0005764450441185934,0.3125,0.05917666666666666,0.000580248988701307,0.3125,0.05204,0.0006709694478886485,0.3125
'1110001',0.057926666666666675,0.00043091633629846037,0.3125,0.05866333333333334,0.0007757290477709056,0.3125,0.052579999999999995,0.0002616613587572048,0.3125
'0001111',0.03843,0.0005383926695885333,0.375,0.04145,0.0004920027100196352,0.375,0.026863333333333336,0.0005122716293356709,0.375
'1110000',0.03794,0.0002405549140355829,0.375,0.041396666666666665,0.0005187377843273892,0.375,0.026723333333333335,0.0001391242450313947,0.375
