,states,coherence
0,'1011010',0.5714285714285714
1,'0001100',0.48857142857142855
2,'1110011',0.5028571428571429
3,'0100101',0.5714285714285714
4,'0001110',0.4757142857142857
5,'1110001',0.47
6,'0000101',0.21428571428571427
7,'1010011',0.4942857142857143
8,'0101100',0.4942857142857143
9,'0000111',0.12571428571428572
10,'1111000',0.11
11,'1111010',0.21714285714285714
12,'1111011',0.31142857142857144
13,'0000110',0.2857142857142857
14,'1111001',0.2857142857142857
15,'0000100',0.32285714285714284
16,'0101101',0.4185714285714286
17,'1010010',0.4085714285714286
