,states,coherence
0,'001011001011',0.5308333333333334
1,'111100110100',0.5691666666666667
2,'001101011000',0.5966666666666667
3,'110100110100',0.5541666666666667
4,'111011100011',0.555
5,'110010100111',0.585
6,'111010100111',0.5525
7,'000100011100',0.5625
8,'000101011000',0.5541666666666667
9,'000011001011',0.5675
10,'110011100011',0.6091666666666666
11,'001100011100',0.6016666666666667
12,'110100100101',0.6091666666666666
13,'001011011010',0.625
14,'110001100011',0.5908333333333333
15,'001110011100',0.585
16,'000011001010',0.6083333333333333
17,'000110001101',0.3125
18,'111001110010',0.31833333333333336
19,'111001110011',0.3491666666666667
20,'111100110101',0.61
21,'001111011000',0.5483333333333333
22,'000110001100',0.35
23,'110000100111',0.5316666666666666
24,'000100001101',0.2825
25,'001110001101',0.31333333333333335
26,'111011110010',0.2875
27,'110001110010',0.30583333333333335
