"Nature","Strength","Type","Node"
"P",1.30169899762529,"DA","GRHL2,GRHL2"
"P",0.94445592460748,"DA","GRHL2,miR200"
"P",1.2797472706457,"DA","GRHL2,Ecad"
"P",1.22572886276463,"DA","GRHL2,miR145"
"P",0.879373619402044,"DA","GRHL2,NRF2"
"P",0.974092361444393,"DA","GRHL2,miR34"
"P",0.538404573701765,"DA","GRHL2,OVOL2"
"N",0.626386583944965,"NF","GRHL2,OCT4"
"P",0.603504879504548,"TS","GRHL2,KEAP1"
"P",0.709825301762773,"TS","GRHL2,SNAIL"
"P",1.37100638434876,"TS","GRHL2,ZEB"
"P",0.594757652239318,"DA","miR200,miR200"
"P",0.963209704653629,"DA","miR200,Ecad"
"P",0.80702853370894,"DA","miR200,miR145"
"P",0.847931794560124,"DA","miR200,NRF2"
"P",0.83199440798379,"DA","miR200,miR34"
"P",0.35324147366837,"DA","miR200,OVOL2"
"N",0.761254450058775,"NF","miR200,OCT4"
"P",0.588009912976277,"TS","miR200,KEAP1"
"P",0.53053344210453,"TS","miR200,SNAIL"
"P",0.992022006008038,"TS","miR200,ZEB"
"P",1.25779554366611,"DA","Ecad,Ecad"
"P",1.20360780635591,"DA","Ecad,miR145"
"P",0.966540654878586,"DA","Ecad,NRF2"
"P",0.931787720129708,"DA","Ecad,miR34"
"P",0.531413511076198,"DA","Ecad,OVOL2"
"N",0.606421353280376,"NF","Ecad,OCT4"
"P",0.623215185869779,"TS","Ecad,KEAP1"
"P",0.704317513878904,"TS","Ecad,SNAIL"
"P",1.34661172930873,"TS","Ecad,ZEB"
"P",1.15805726924809,"DA","miR145,miR145"
"P",0.754618928699825,"DA","miR145,NRF2"
"P",0.902071316288304,"DA","miR145,miR34"
"P",0.497627799556189,"DA","miR145,OVOL2"
"P",0.774475882027106,"TS","miR145,OCT4"
"P",0.466009152733033,"TS","miR145,KEAP1"
"P",0.674097480720017,"TS","miR145,SNAIL"
"P",1.28961638153886,"TS","miR145,ZEB"
"P",0.556329365500866,"DA","NRF2,NRF2"
"P",0.616161316210201,"DA","NRF2,miR34"
"P",0.317874914386067,"DA","NRF2,OVOL2"
"N",0.462668927934693,"NF","NRF2,OCT4"
"P",0.564374920044055,"TS","NRF2,KEAP1"
"P",0.476761483280328,"TS","NRF2,SNAIL"
"P",0.934537913609324,"TS","NRF2,ZEB"
"P",0.675993266919536,"DA","miR34,miR34"
"P",0.410876335895013,"DA","miR34,OVOL2"
"N",0.345923366834075,"NF","miR34,OCT4"
"P",0.527420051015752,"TS","miR34,KEAP1"
"P",0.538474328717924,"TS","miR34,SNAIL"
"P",1.02769591462604,"TS","miR34,ZEB"
"P",0.046975101499936,"DA","OVOL2,OVOL2"
"N",0.192987613697139,"NF","OVOL2,OCT4"
"P",0.212033577331585,"TS","OVOL2,KEAP1"
"P",0.361551424737455,"TS","OVOL2,SNAIL"
"P",0.561778870710672,"TS","OVOL2,ZEB"
"P",0.266136504713264,"DA","OCT4,OCT4"
"N",0.446270939795432,"NF","OCT4,KEAP1"
"N",0.385269035400398,"NF","OCT4,SNAIL"
"N",0.671571085029212,"NF","OCT4,ZEB"
"P",0.390757253320064,"DA","KEAP1,KEAP1"
"P",0.383971935350366,"DA","KEAP1,SNAIL"
"P",0.643750674792361,"DA","KEAP1,ZEB"
"P",0.18078082991009,"DA","SNAIL,SNAIL"
"P",0.748306766416971,"DA","SNAIL,ZEB"
"P",1.2345717239939,"DA","ZEB,ZEB"
