"Nature","Strength","Type","Node"
"P",0.484104712093606,"DA","miR200,miR200"
"P",0.820711096024322,"DA","miR200,GRHL2"
"P",0.694308070773323,"DA","miR200,miR145"
"N",0.366602295394341,"NF","miR200,NRF2"
"P",0.719544237369027,"DA","miR200,miR34"
"N",0.307988592451868,"NF","miR200,OVOL2"
"N",0.715406201300708,"NF","miR200,OCT4"
"P",0.518302518215328,"TS","miR200,KEAP1"
"N",0.769513920958527,"NF","miR200,Ecad"
"P",0.346460735702238,"TS","miR200,SNAIL"
"P",0.848453376844171,"TS","miR200,ZEB"
"P",1.16559286635179,"DA","GRHL2,GRHL2"
"P",1.09766225157657,"DA","GRHL2,miR145"
"N",0.592983672626177,"NF","GRHL2,NRF2"
"P",0.850849652400891,"DA","GRHL2,miR34"
"P",0.463707967352342,"DA","GRHL2,OVOL2"
"N",0.578708280568771,"NF","GRHL2,OCT4"
"P",0.526464117308267,"TS","GRHL2,KEAP1"
"N",0.882269530635261,"NF","GRHL2,Ecad"
"P",0.49284153073515,"TS","GRHL2,SNAIL"
"P",1.20914613789442,"TS","GRHL2,ZEB"
"P",1.03925059041778,"DA","miR145,miR145"
"N",0.603425377447521,"NF","miR145,NRF2"
"P",0.789095541014037,"DA","miR145,miR34"
"P",0.428657176981832,"DA","miR145,OVOL2"
"P",0.727473433771264,"TS","miR145,OCT4"
"P",0.39658554313909,"TS","miR145,KEAP1"
"N",0.808144533798957,"NF","miR145,Ecad"
"P",0.476538030656655,"TS","miR145,SNAIL"
"P",1.1378953023548,"TS","miR145,ZEB"
"P",0.1871277603181,"TS","NRF2,NRF2"
"N",0.389407692735498,"NF","NRF2,miR34"
"N",0.297410319905677,"NF","NRF2,OVOL2"
"N",0.429339493929214,"NF","NRF2,OCT4"
"P",0.205363840221727,"TS","NRF2,KEAP1"
"N",0.332522340040285,"NF","NRF2,Ecad"
"N",0.216647901608947,"NF","NRF2,SNAIL"
"N",0.621602950167586,"NF","NRF2,ZEB"
"P",0.591687625152896,"DA","miR34,miR34"
"P",0.355542071662105,"DA","miR34,OVOL2"
"N",0.322569780937057,"NF","miR34,OCT4"
"P",0.470735618570372,"TS","miR34,KEAP1"
"N",0.59789411838893,"NF","miR34,Ecad"
"P",0.425955496813961,"TS","miR34,SNAIL"
"P",0.882168191105502,"TS","miR34,ZEB"
"P",0.0117630516290995,"DA","OVOL2,OVOL2"
"N",0.170769634000503,"NF","OVOL2,OCT4"
"N",0.204329618641102,"NF","OVOL2,KEAP1"
"N",0.357094571479127,"NF","OVOL2,Ecad"
"P",0.281044644498578,"TS","OVOL2,SNAIL"
"P",0.477599060113141,"TS","OVOL2,ZEB"
"P",0.266087202519036,"DA","OCT4,OCT4"
"N",0.43037363140335,"NF","OCT4,KEAP1"
"P",0.294428675366891,"DA","OCT4,Ecad"
"N",0.353719776402702,"NF","OCT4,SNAIL"
"N",0.609178498247631,"NF","OCT4,ZEB"
"P",0.355438001447938,"DA","KEAP1,KEAP1"
"N",0.477192098183336,"NF","KEAP1,Ecad"
"P",0.300981410231086,"DA","KEAP1,SNAIL"
"P",0.551868100431523,"DA","KEAP1,ZEB"
"P",0.598946194918734,"TS","Ecad,Ecad"
"N",0.438941643535579,"NF","Ecad,SNAIL"
"N",0.918487781539351,"NF","Ecad,ZEB"
"P",0.0373697115825926,"DA","SNAIL,SNAIL"
"P",0.51247700140737,"DA","SNAIL,ZEB"
"P",1.04526329071151,"DA","ZEB,ZEB"
