"Nature","Strength","Type","Node"
"P",1.25188649673815,"DA","GRHL2,GRHL2"
"P",0.851952455416546,"DA","GRHL2,miR200"
"P",1.18425592027908,"DA","GRHL2,miR145"
"P",1.12818571837788,"DA","GRHL2,Ecad"
"N",0.847553904173518,"NF","GRHL2,NRF2"
"P",0.910257505885792,"DA","GRHL2,miR34"
"N",0.566995441447937,"NF","GRHL2,KEAP1"
"P",0.520876654064217,"DA","GRHL2,OVOL2"
"P",0.608801323933449,"TS","GRHL2,OCT4"
"P",0.507462706776785,"TS","GRHL2,SNAIL"
"P",1.30912640692296,"TS","GRHL2,ZEB"
"P",0.476250309148898,"DA","miR200,miR200"
"P",0.724278696145599,"DA","miR200,miR145"
"P",0.772778419183705,"DA","miR200,Ecad"
"N",0.781435274461998,"NF","miR200,NRF2"
"P",0.718037858277243,"DA","miR200,miR34"
"N",0.520525714234259,"NF","miR200,KEAP1"
"P",0.315340035263381,"DA","miR200,OVOL2"
"N",0.696903907801475,"NF","miR200,OCT4"
"P",0.272852942231834,"TS","miR200,SNAIL"
"P",0.886068285410645,"TS","miR200,ZEB"
"P",1.12431135274252,"DA","miR145,miR145"
"P",1.0625199705177,"DA","miR145,Ecad"
"N",0.729292725466616,"NF","miR145,NRF2"
"P",0.851708400044419,"DA","miR145,miR34"
"N",0.43708831214274,"NF","miR145,KEAP1"
"P",0.484183029158446,"DA","miR145,OVOL2"
"P",0.77924888979153,"TS","miR145,OCT4"
"P",0.505970782151182,"TS","miR145,SNAIL"
"P",1.23775499387694,"TS","miR145,ZEB"
"P",1.00448494001762,"DA","Ecad,Ecad"
"N",0.844695284919972,"NF","Ecad,NRF2"
"P",0.696615689853822,"DA","Ecad,miR34"
"N",0.492491198717993,"NF","Ecad,KEAP1"
"P",0.457789270108908,"DA","Ecad,OVOL2"
"P",0.498850684525118,"TS","Ecad,OCT4"
"P",0.364531151874697,"TS","Ecad,SNAIL"
"P",1.17704973741883,"TS","Ecad,ZEB"
"P",0.536398720761578,"TS","NRF2,NRF2"
"N",0.58067901528312,"NF","NRF2,miR34"
"P",0.344894066092859,"TS","NRF2,KEAP1"
"N",0.308623773054303,"NF","NRF2,OVOL2"
"P",0.440217767408209,"TS","NRF2,OCT4"
"N",0.386202811412071,"NF","NRF2,SNAIL"
"N",0.893110378627701,"NF","NRF2,ZEB"
"P",0.624959309804662,"DA","miR34,miR34"
"N",0.493332346565202,"NF","miR34,KEAP1"
"P",0.396140263041207,"DA","miR34,OVOL2"
"P",0.336951898477678,"TS","miR34,OCT4"
"P",0.430595823912946,"TS","miR34,SNAIL"
"P",0.952201108402432,"TS","miR34,ZEB"
"P",0.368178161751126,"TS","KEAP1,KEAP1"
"P",0.204292187927935,"DA","KEAP1,OVOL2"
"P",0.428385410556433,"TS","KEAP1,OCT4"
"N",0.295467007773926,"NF","KEAP1,SNAIL"
"N",0.599893113503773,"NF","KEAP1,ZEB"
"P",0.0429138035436944,"DA","OVOL2,OVOL2"
"P",0.190624817169999,"TS","OVOL2,OCT4"
"P",0.32112143464162,"TS","OVOL2,SNAIL"
"P",0.539961842565549,"TS","OVOL2,ZEB"
"P",0.293835325869194,"DA","OCT4,OCT4"
"P",0.371990825745334,"DA","OCT4,SNAIL"
"P",0.647784962116554,"DA","OCT4,ZEB"
"P",0.00704349444740042,"DA","SNAIL,SNAIL"
"P",0.529578993360877,"DA","SNAIL,ZEB"
"P",1.16038372571067,"DA","ZEB,ZEB"
