"Nature","Strength","Type","Node"
"P",0.476905310160168,"DA","miR200,miR200"
"P",0.810215751658963,"DA","miR200,GRHL2"
"N",0.906226453714669,"NF","miR200,OCT4"
"P",0.733462571559233,"DA","miR200,Ecad"
"N",0.362327916218409,"NF","miR200,NRF2"
"P",0.712311667846472,"DA","miR200,miR34"
"N",0.305106013273603,"NF","miR200,OVOL2"
"P",0.514446154608105,"TS","miR200,KEAP1"
"P",0.342986738638979,"TS","miR200,SNAIL"
"P",0.83582571193294,"TS","miR200,ZEB"
"N",0.926093777914074,"NF","miR200,miR145"
"P",1.15153046452279,"DA","GRHL2,GRHL2"
"N",1.12930226134147,"NF","GRHL2,OCT4"
"P",1.02325477477928,"DA","GRHL2,Ecad"
"N",0.587194948016885,"NF","GRHL2,NRF2"
"P",0.841879026203014,"DA","GRHL2,miR34"
"P",0.456363649541314,"DA","GRHL2,OVOL2"
"P",0.521547895074717,"TS","GRHL2,KEAP1"
"P",0.487395708681987,"TS","GRHL2,SNAIL"
"P",1.19183756625023,"TS","GRHL2,ZEB"
"N",1.12399237869131,"NF","GRHL2,miR145"
"P",0.62990839877719,"TS","OCT4,OCT4"
"N",1.0133808184597,"NF","OCT4,Ecad"
"P",0.438316426563869,"TS","OCT4,NRF2"
"N",0.820667327139935,"NF","OCT4,miR34"
"N",0.454963862167162,"NF","OCT4,OVOL2"
"N",0.617724040989639,"NF","OCT4,KEAP1"
"N",0.475672545582855,"NF","OCT4,SNAIL"
"N",1.18419287726681,"NF","OCT4,ZEB"
"P",0.518815546000907,"DA","OCT4,miR145"
"P",0.89497908503577,"DA","Ecad,Ecad"
"N",0.634263637726645,"NF","Ecad,NRF2"
"P",0.626060282601401,"DA","Ecad,miR34"
"P",0.394044207010144,"DA","Ecad,OVOL2"
"P",0.448556762911509,"TS","Ecad,KEAP1"
"P",0.336036995969741,"TS","Ecad,SNAIL"
"P",1.05663171852741,"TS","Ecad,ZEB"
"N",0.997632338636595,"NF","Ecad,miR145"
"P",0.184509920994323,"TS","NRF2,NRF2"
"N",0.385695345792583,"NF","NRF2,miR34"
"N",0.294701936975423,"NF","NRF2,OVOL2"
"P",0.204832608260182,"TS","NRF2,KEAP1"
"N",0.214276102798022,"NF","NRF2,SNAIL"
"N",0.613650552612605,"NF","NRF2,ZEB"
"P",0.42859754101165,"DA","NRF2,miR145"
"P",0.586880770590842,"DA","miR34,miR34"
"P",0.351425974904351,"DA","miR34,OVOL2"
"P",0.467704113679569,"TS","miR34,KEAP1"
"P",0.421848326897825,"TS","miR34,SNAIL"
"P",0.870824710297357,"TS","miR34,ZEB"
"N",0.810890079551741,"NF","miR34,miR145"
"P",0.00839599956961962,"DA","OVOL2,OVOL2"
"N",0.203822584348004,"NF","OVOL2,KEAP1"
"P",0.27826743867593,"TS","OVOL2,SNAIL"
"P",0.469247636490679,"TS","OVOL2,ZEB"
"N",0.447204594871307,"NF","OVOL2,miR145"
"P",0.35419241675926,"DA","KEAP1,KEAP1"
"P",0.299216984371815,"DA","KEAP1,SNAIL"
"P",0.545251002135299,"DA","KEAP1,ZEB"
"N",0.62178559323257,"NF","KEAP1,miR145"
"P",0.0357109134838334,"DA","SNAIL,SNAIL"
"P",0.505499295268811,"DA","SNAIL,ZEB"
"N",0.470540348185772,"NF","SNAIL,miR145"
"P",1.02439483013476,"DA","ZEB,ZEB"
"N",1.17850391208497,"NF","ZEB,miR145"
"P",0.62990839877719,"TS","miR145,miR145"
