"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","OCT4"
"GRHL2",0.707053375972779,0.697115451289491,0.697115451289491,0.641222505200437,0.52904070071883,0.366104731801156,-0.207645732120946,-0.274966375863322,-0.496483511176347,-0.74037067611533,-0.657400713055148
"miR200",0.702000808348897,0.692056814819431,0.692056814819431,0.628807507737701,0.525795103162058,0.365746441964365,-0.190550650678644,-0.171071521224412,-0.593738053291282,-0.734602779126327,-0.653451545354327
"miR145",0.616971169976684,0.602550890595006,0.602550890595006,0.55882271249059,0.358484786900331,0.316204627592696,-0.17454644677873,-0.279440620597839,-0.332126839466038,-0.637767480892139,-0.676660987913299
"Ecad",0.569560112219364,0.556801753196047,0.556801753196047,0.410690228405899,0.369526892808316,0.294308978959691,-0.0469540212327886,-0.328991821578825,-0.346249800556154,-0.587659760953118,-0.534648547593514
"OVOL2",0.406444905159802,0.398226012662613,0.398226012662613,0.376026342591688,0.331168473591111,0.12469410635955,-0.17036238485264,-0.106699760860715,-0.314143697740934,-0.420751265187865,-0.380115507590208
"NRF2",0.373181798230611,0.365916024623204,0.365916024623204,0.343412903372525,0.307992027762329,0.22818324160288,-0.134264841877307,-0.0915264580062305,-0.289651095272257,-0.390388563823598,-0.346432037923804
"miR34",0.373181798230611,0.365916024623204,0.365916024623204,0.343412903372525,0.307992027762329,0.22818324160288,-0.134264841877307,-0.0915264580062305,-0.289651095272257,-0.390388563823598,-0.346432037923804
"OCT4",-0.131322733247748,0.00885880795484903,0.00885880795484903,0.0121387657746917,0.14706205099388,0.00478857829505554,-0.0289112458616431,0.120444511508528,-0.146333612765441,-0.00987554000192292,0.132922160318648
"KEAP1",-0.346432037923804,-0.339703461675947,-0.339703461675947,-0.320738856108314,-0.289651095272257,-0.215765418374246,0.125486989075146,-0.0203120580876047,0.270084852933738,0.365916024623204,0.312996455101718
"SNAIL",-0.398521064081557,-0.390388563823598,-0.390388563823598,-0.364815531649617,-0.323888574767757,-0.241214900435071,0.0404595321427938,0.101265175345898,0.307992027762329,0.411499561370614,0.373181798230611
"ZEB",-0.75157071430455,-0.74037067611533,-0.74037067611533,-0.678295947336935,-0.55756281782443,-0.388075268788325,0.22161805249786,0.293225600082812,0.52904070071883,0.678463965076196,0.707053375972779
