"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0385504111152068,-0.0818067400638694,-0.374188369241395,-0.374392208331616,1,-0.0818067400638694,-1,0.374392208331616,0.0818067400638694,0.472917424722432
"GRHL2",1,1,-0.0385504111152068,-0.0818067400638694,-0.374188369241395,-0.374392208331616,1,-0.0818067400638694,-1,0.374392208331616,0.0818067400638694,0.472917424722432
"Iext",-0.0385504111152068,-0.0385504111152068,1,0.566636623270977,-0.110643901539517,0.008110367929875,-0.0385504111152068,0.566636623270977,0.0385504111152068,-0.008110367929875,-0.566636623270977,-0.175528160456641
"KEAP1",-0.0818067400638694,-0.0818067400638694,0.566636623270977,1,-0.544007330407628,0.0141181889855681,-0.0818067400638694,1,0.0818067400638694,-0.0141181889855681,-1,-0.60889164146386
"NRF2",-0.374188369241395,-0.374188369241395,-0.110643901539517,-0.544007330407628,1,0.145888986378146,-0.374188369241395,-0.544007330407628,0.374188369241395,-0.145888986378146,0.544007330407628,0.152899176030769
"OCT4",-0.374392208331616,-0.374392208331616,0.008110367929875,0.0141181889855681,0.145888986378146,1,-0.374392208331616,0.0141181889855681,0.374392208331616,-1,-0.0141181889855681,-0.157303485692247
"OVOL2",1,1,-0.0385504111152068,-0.0818067400638694,-0.374188369241395,-0.374392208331616,1,-0.0818067400638694,-1,0.374392208331616,0.0818067400638694,0.472917424722432
"SNAIL",-0.0818067400638694,-0.0818067400638694,0.566636623270977,1,-0.544007330407628,0.0141181889855681,-0.0818067400638694,1,0.0818067400638694,-0.0141181889855681,-1,-0.60889164146386
"ZEB",-1,-1,0.0385504111152068,0.0818067400638694,0.374188369241395,0.374392208331616,-1,0.0818067400638694,1,-0.374392208331616,-0.0818067400638694,-0.472917424722432
"miR145",0.374392208331616,0.374392208331616,-0.008110367929875,-0.0141181889855681,-0.145888986378146,-1,0.374392208331616,-0.0141181889855681,-0.374392208331616,1,0.0141181889855681,0.157303485692247
"miR200",0.0818067400638694,0.0818067400638694,-0.566636623270977,-1,0.544007330407628,-0.0141181889855681,0.0818067400638694,-1,-0.0818067400638694,0.0141181889855681,1,0.60889164146386
"miR34",0.472917424722432,0.472917424722432,-0.175528160456641,-0.60889164146386,0.152899176030769,-0.157303485692247,0.472917424722432,-0.60889164146386,-0.472917424722432,0.157303485692247,0.60889164146386,1
