,states,coherence
0,'111001110010',0.475
1,'110010100111',0.6916666666666667
2,'001101011000',0.6966666666666667
3,'111100110100',0.5566666666666666
4,'000011001011',0.5491666666666667
5,'000110001101',0.48583333333333334
6,'001100011100',0.5933333333333334
7,'110011100011',0.5958333333333333
8,'000111001001',0.4475
9,'111000110110',0.43666666666666665
10,'001110001101',0.4775
11,'110001110010',0.4708333333333333
12,'111010100111',0.6575
13,'110000110110',0.45416666666666666
14,'001011001011',0.5083333333333333
15,'111011100011',0.5416666666666666
16,'000100011100',0.5616666666666666
17,'000101011000',0.6533333333333333
18,'001111001001',0.4658333333333333
19,'110100110100',0.51
20,'000111001000',0.48333333333333334
21,'000110001100',0.5333333333333333
22,'001110011100',0.5741666666666667
23,'000101001001',0.4425
24,'110000100111',0.6816666666666666
25,'111001110011',0.5016666666666667
26,'110001100011',0.5808333333333333
27,'001111011000',0.6741666666666667
28,'111010110110',0.435
29,'111100110101',0.5333333333333333
30,'000011001010',0.5191666666666667
31,'111000110111',0.4841666666666667
32,'000100001101',0.45416666666666666
33,'111011110010',0.45166666666666666
