,states,coherence
0,'111100110101',0.7208333333333333
1,'111100110100',0.6833333333333333
2,'000011001010',0.7391666666666666
3,'000011001011',0.685
4,'001110011100',0.5866666666666667
5,'110001100011',0.5791666666666667
6,'001100011100',0.6008333333333333
7,'110011100011',0.5833333333333334
8,'110010100111',0.5733333333333334
9,'111101110000',0.35
10,'001101011000',0.5941666666666666
11,'001111011000',0.5416666666666666
12,'110100110100',0.6566666666666666
13,'001011001011',0.6625
14,'110000100111',0.5366666666666666
15,'111011100011',0.5508333333333333
16,'000010001110',0.32083333333333336
17,'000101011000',0.5525
18,'111101110001',0.3358333333333333
19,'000100011100',0.5508333333333333
20,'111010100111',0.5441666666666667
21,'001010001111',0.31416666666666665
22,'110101110000',0.3016666666666667
23,'000010001111',0.34833333333333333
24,'111001110011',0.3983333333333333
25,'110100100101',0.6291666666666667
26,'001011011010',0.6141666666666666
27,'000110001100',0.4125
28,'000100001101',0.37666666666666665
29,'111001110010',0.375
30,'111011110010',0.385
31,'000110001101',0.37
32,'001110001101',0.3641666666666667
33,'110001110010',0.38333333333333336
