,states,coherence
0,'110100110100',0.6541666666666667
1,'111100110100',0.6858333333333333
2,'000011001011',0.7
3,'110011100011',0.5591666666666667
4,'001011001011',0.6375
5,'111101110000',0.4583333333333333
6,'110101110000',0.44916666666666666
7,'000010001111',0.47333333333333333
8,'001010001111',0.46
9,'111011100011',0.53
10,'000100011100',0.5208333333333334
11,'001100011100',0.5633333333333334
12,'110100100101',0.8041666666666667
13,'001011011010',0.795
14,'000011001010',0.7158333333333333
15,'110001100011',0.5758333333333333
16,'111100110101',0.74
17,'001110011100',0.59
18,'000010001110',0.5116666666666667
19,'111101110001',0.4891666666666667
