"Nature","Strength","Type","Node"
"P",1.17166169898836,"DA","miR200,miR200"
"P",0.999921648868326,"DA","miR200,Ecadherin"
"N",0.443495510902602,"NF","miR200,NRF2"
"P",0.921218160109522,"TS","miR200,KEAP1"
"N",0.323676800081008,"NF","miR200,SNAIL"
"P",1.39082881743549,"TS","miR200,ZEB"
"P",0.903541731611804,"DA","Ecadherin,Ecadherin"
"N",0.601957571743949,"NF","Ecadherin,NRF2"
"P",0.579457737748408,"TS","Ecadherin,KEAP1"
"N",0.431063020320887,"NF","Ecadherin,SNAIL"
"P",1.24314771574316,"TS","Ecadherin,ZEB"
"P",0.138391668008036,"TS","NRF2,NRF2"
"P",0.309065020977405,"TS","NRF2,KEAP1"
"P",0.0780146604332011,"DA","NRF2,SNAIL"
"N",0.620509401941976,"NF","NRF2,ZEB"
"P",0.505730396013638,"DA","KEAP1,KEAP1"
"P",0.289983870623933,"DA","KEAP1,SNAIL"
"P",0.938310138063865,"DA","KEAP1,ZEB"
"P",0.207894063114776,"TS","SNAIL,SNAIL"
"N",0.492265502225123,"NF","SNAIL,ZEB"
"P",1.41626511148493,"DA","ZEB,ZEB"
