"","AKT","AXIN2","CD44","CDC42","CHD1L","Csl","Csn","DELTA","DSH","Destcompl","EGF","EGFR","EGR1","ERK","Ecadherin","FGF","FGFR","FOXC2","FUS","Frizzled","GLI","GSK3","Goosecoid","HEY1","HGF","HIF1","Hypoxia","IGF1","IGF1R","IKK","ILK","JAK","Jagged","KLF4","LIF","LIFR","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PDGF","PDGFR","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,0.226548523171304,0.65978830874608,0.042791822259575,0.042791822259575,0.998916422480184,0.999458361424472,1,0.568244693076341,0.236300308718209,0.113472180270911,0.113472180270911,0.66416158087457,0.665269347826856,-0.829371433056964,0.385827687104094,0.385827687104094,0.856973473754336,0.569309731708783,0.569847296492649,0.569309731708783,-0.898684726466734,0.530354858463053,0.998374790742081,0.36442747955749,-0.0103126381865945,-0.0103126381865945,0.0454305069353895,0.0454305069353895,1,0.57040215481839,-0.0709120223248631,0.57040215481839,-0.0709120223248631,-0.0709120223248631,-0.0709120223248631,-0.0709120223248631,-0.0103126381865945,0.666864762860556,0.999458361424472,0.999458361424472,0.998916422480184,0.042791822259575,0.515090347309835,0.515090347309835,1,-0.57040215481839,1,1,-0.856973473754336,0.57040215481839,0.57040215481839,0.569855861567442,0.856973473754336,0.676000481490342,0.6674238278821,0.791956267739256,-0.0709120223248631,-0.568772338107459,0.660880478500751,0.856973473754336,0.856973473754336,0.856973473754336,-0.997832844960367,0.570393259143479,0.530354858463053,-0.0103126381865945,0.36442747955749,-0.829371433056964,0.661417818294502,0.665792608124788,-0.816906849402642
"AXIN2",0.226548523171304,1,-0.110465419985807,-0.0330412671158332,-0.0330412671158332,0.22546499144387,0.226001222486563,0.226548523171304,-0.00700556333741452,0.990248626567122,-0.00393659480530001,-0.00393659480530001,0.0650238730597932,0.0671741961964814,-0.0601694312247308,0.0356975160820773,0.0356975160820773,0.158265873453721,-0.00807270126624313,-0.00861036765741654,-0.00807270126624313,-0.327877850170387,-0.00919705242739458,0.224917697596266,0.0603054292363509,0.0265570024399968,0.0265570024399968,-0.012952429696117,-0.012952429696117,0.226548523171304,-0.00699738742528743,-0.0103299191302359,-0.00699738742528743,-0.0103299191302359,-0.0103299191302359,-0.0103299191302359,-0.0103299191302359,0.0265570024399968,0.0677367142624511,0.226001222486563,0.226001222486563,0.22546499144387,-0.0330412671158332,0.0299004595278818,0.0299004595278818,0.226548523171304,0.00699738742528743,0.226548523171304,0.226548523171304,-0.158265873453721,-0.00699738742528743,-0.00699738742528743,-0.00753504134668979,0.158265873453721,-0.0475331459068322,0.0671824525095693,0.0824295698754431,-0.0103299191302359,0.00861851901657524,-0.109389453134019,0.158265873453721,0.157182367166142,0.158265873453721,-0.22546499144387,-0.00915618291067274,-0.00919705242739458,0.0265570024399968,0.0603054292363509,-0.0601694312247308,-0.108843944679572,0.0666448821397993,-0.156060862190501
"CD44",0.65978830874608,-0.110465419985807,1,0.115383548803316,0.115383548803316,0.658704785286096,0.65924590886142,0.65978830874608,0.892197111585869,-0.100714120956838,0.113363790402367,0.113363790402367,0.528709052351177,0.526555004102694,-0.829356467124402,0.212410925640056,0.212410925640056,0.730214275781326,0.897611912578659,0.898153685992526,0.897611912578659,-0.560646947547826,0.865122616573251,0.658162392238522,0.190049942483132,-0.126232249650936,-0.126232249650936,0.0584650889254871,0.0584650889254871,0.65978830874608,0.896529167962398,-0.06010030216507,0.896529167962398,-0.06010030216507,-0.06010030216507,-0.06010030216507,-0.06010030216507,-0.126232249650936,0.524914152329168,0.65924590886142,0.65924590886142,0.658704785286096,0.115383548803316,0.346104863274268,0.346104863274268,0.65978830874608,-0.896529167962398,0.65978830874608,0.65978830874608,-0.730214275781326,0.896529167962398,0.896529167962398,0.897070406729483,0.730214275781326,0.78443768005439,0.525464823000126,0.451753279316133,-0.06010030216507,-0.898153876132331,0.998917124537413,0.730214275781326,0.73129777380165,0.730214275781326,-0.657621261826112,0.89869538595602,0.865122616573251,-0.126232249650936,0.190049942483132,-0.829356467124402,0.998374948117742,0.52817030685115,-0.698798037574202
"CDC42",0.042791822259575,-0.0330412671158332,0.115383548803316,1,1,0.0417083215341042,0.0422500987675873,0.042791822259575,0.0855888545768283,-0.0341247220521666,0.021682643932922,0.021682643932922,0.0622958396518816,0.0655471385448705,-0.124592574124366,0.00162929084683731,0.00162929084683731,0.17930987750779,0.0899225884765983,0.0882974688688393,0.0888391378326988,-0.0151619870665656,0.0704217581831808,0.0422500987675873,-0.00759710669615239,0.0801725850578844,0.0801725850578844,-0.0254645182276554,-0.0254645182276554,0.042791822259575,0.0910059850683451,0.0173376275625082,0.0910059850683451,0.0173376275625082,0.0173376275625082,0.0173376275625082,0.0173376275625082,0.0801725850578844,0.068254481098101,0.0422500987675873,0.0422500987675873,0.0417083215341042,1,0.0270807416636149,0.0270807416636149,0.042791822259575,-0.0910059850683451,0.042791822259575,0.042791822259575,-0.17930987750779,0.0910059850683451,0.0910059850683451,0.0904642754055284,0.17930987750779,0.0904725267599021,0.0666300145244082,0.0113707480028795,0.0173376275625082,-0.0893808287360594,0.116466830456766,0.17930987750779,0.17930987750779,0.17930987750779,-0.0417083215341042,0.0877556871887994,0.0704217581831808,0.0801725850578844,-0.00759710669615239,-0.124592574124366,0.115925174368073,0.0639212069333785,-0.158720977765295
"CHD1L",0.042791822259575,-0.0330412671158332,0.115383548803316,1,1,0.0417083215341042,0.0422500987675873,0.042791822259575,0.0855888545768283,-0.0341247220521666,0.021682643932922,0.021682643932922,0.0622958396518816,0.0655471385448705,-0.124592574124366,0.00162929084683731,0.00162929084683731,0.17930987750779,0.0899225884765983,0.0882974688688393,0.0888391378326988,-0.0151619870665656,0.0704217581831808,0.0422500987675873,-0.00759710669615239,0.0801725850578844,0.0801725850578844,-0.0254645182276554,-0.0254645182276554,0.042791822259575,0.0910059850683451,0.0173376275625082,0.0910059850683451,0.0173376275625082,0.0173376275625082,0.0173376275625082,0.0173376275625082,0.0801725850578844,0.068254481098101,0.0422500987675873,0.0422500987675873,0.0417083215341042,1,0.0270807416636149,0.0270807416636149,0.042791822259575,-0.0910059850683451,0.042791822259575,0.042791822259575,-0.17930987750779,0.0910059850683451,0.0910059850683451,0.0904642754055284,0.17930987750779,0.0904725267599021,0.0666300145244082,0.0113707480028795,0.0173376275625082,-0.0893808287360594,0.116466830456766,0.17930987750779,0.17930987750779,0.17930987750779,-0.0417083215341042,0.0877556871887994,0.0704217581831808,0.0801725850578844,-0.00759710669615239,-0.124592574124366,0.115925174368073,0.0639212069333785,-0.158720977765295
"Csl",0.998916422480184,0.22546499144387,0.658704785286096,0.0417083215341042,0.0417083215341042,1,0.999458361424472,0.998916422480184,0.567161179632438,0.235216776990775,0.112388484904419,0.112388484904419,0.663078077764427,0.664185847260363,-0.828287919613061,0.386911218831528,0.386911218831528,0.855889921675448,0.568226204274088,0.568763764765215,0.568226204274088,-0.897601126525612,0.529271356465759,0.999458361424472,0.36442747955749,-0.0113961401838884,-0.0113961401838884,0.044346983475406,0.044346983475406,0.998916422480184,0.569318635015103,-0.0698285088809601,0.569318635015103,-0.0698285088809601,-0.0698285088809601,-0.0698285088809601,-0.0698285088809601,-0.0113961401838884,0.665781258319602,0.999458361424472,0.999458361424472,1,0.0417083215341042,0.515090347309835,0.515090347309835,0.998916422480184,-0.569318635015103,0.998916422480184,0.998916422480184,-0.855889921675448,0.569318635015103,0.569318635015103,0.568772338107459,0.855889921675448,0.674916774830179,0.666340326679696,0.793039831902361,-0.0698285088809601,-0.567688814647475,0.659796962036155,0.855889921675448,0.855889921675448,0.855889921675448,-0.997832844960367,0.569309731708783,0.529271356465759,-0.0113961401838884,0.36442747955749,-0.828287919613061,0.660334298491215,0.664709106127494,-0.815823332938045
"Csn",0.999458361424472,0.226001222486563,0.65924590886142,0.0422500987675873,0.0422500987675873,0.999458361424472,1,0.999458361424472,0.567701995389232,0.235752946499236,0.112919346671593,0.112919346671593,0.663616815732163,0.66472340308075,-0.828827087647666,0.386362906250526,0.386362906250526,0.856431576313293,0.56876819425179,0.56930604699147,0.56876819425179,-0.898144596611209,0.529810644731602,0.998916436154992,0.364978495721033,-0.0108534402803422,-0.0108534402803422,0.0448919836777749,0.0448919836777749,0.999458361424472,0.569860027305194,-0.0703724628306377,0.569860027305194,-0.0703724628306377,-0.0703724628306377,-0.0703724628306377,-0.0703724628306377,-0.0108534402803422,0.666320273418842,1,1,0.999458361424472,0.0422500987675873,0.514552637953147,0.514552637953147,0.999458361424472,-0.569860027305194,0.999458361424472,0.999458361424472,-0.856431576313293,0.569860027305194,0.569860027305194,0.569314029160816,0.856431576313293,0.67546493293793,0.666878456164862,0.792498918878293,-0.0703724628306377,-0.568230512537917,0.660337488249423,0.856431576313293,0.856431576313293,0.856431576313293,-0.998374790742081,0.569851714849376,0.529810644731602,-0.0108534402803422,0.364978495721033,-0.828827087647666,0.660875116468127,0.665247539774675,-0.816362874617468
"DELTA",1,0.226548523171304,0.65978830874608,0.042791822259575,0.042791822259575,0.998916422480184,0.999458361424472,1,0.568244693076341,0.236300308718209,0.113472180270911,0.113472180270911,0.66416158087457,0.665269347826856,-0.829371433056964,0.385827687104094,0.385827687104094,0.856973473754336,0.569309731708783,0.569847296492649,0.569309731708783,-0.898684726466734,0.530354858463053,0.998374790742081,0.36442747955749,-0.0103126381865945,-0.0103126381865945,0.0454305069353895,0.0454305069353895,1,0.57040215481839,-0.0709120223248631,0.57040215481839,-0.0709120223248631,-0.0709120223248631,-0.0709120223248631,-0.0709120223248631,-0.0103126381865945,0.666864762860556,0.999458361424472,0.999458361424472,0.998916422480184,0.042791822259575,0.515090347309835,0.515090347309835,1,-0.57040215481839,1,1,-0.856973473754336,0.57040215481839,0.57040215481839,0.569855861567442,0.856973473754336,0.676000481490342,0.6674238278821,0.791956267739256,-0.0709120223248631,-0.568772338107459,0.660880478500751,0.856973473754336,0.856973473754336,0.856973473754336,-0.997832844960367,0.570393259143479,0.530354858463053,-0.0103126381865945,0.36442747955749,-0.829371433056964,0.661417818294502,0.665792608124788,-0.816906849402642
"DSH",0.568244693076341,-0.00700556333741452,0.892197111585869,0.0855888545768283,0.0855888545768283,0.567161179632438,0.567701995389232,0.568244693076341,1,0.00274564555063883,0.0705284884331355,0.0705284884331355,0.43824052671451,0.43608318928987,-0.728054207683628,0.155514584796808,0.155514584796808,0.708011868928369,0.990251177527263,0.994044596339259,0.991334640889006,-0.664141451089962,0.952334013518645,0.56661848878235,0.162448729234275,-0.188526122397335,-0.188526122397335,0.0254296017725367,0.0254296017725367,0.568244693076341,0.989166029630124,2.37701514393406e-05,0.989166029630124,2.37701514393406e-05,2.37701514393406e-05,2.37701514393406e-05,2.37701514393406e-05,-0.188526122397335,0.434446422680287,0.567701995389232,0.567701995389232,0.567161179632438,0.0855888545768283,0.27731914768421,0.27731914768421,0.568244693076341,-0.989166029630124,0.568244693076341,0.568244693076341,-0.708011868928369,0.989166029630124,0.989166029630124,0.989708456439869,0.708011868928369,0.680974261840349,0.434994725901588,0.360210954222465,2.37701514393406e-05,-0.990791915827136,0.893280086092744,0.708011868928369,0.708011868928369,0.708011868928369,-0.566077666188535,0.99241810425075,0.952334013518645,-0.188526122397335,0.162448729234275,-0.728054207683628,0.893821925320924,0.437700998741731,-0.671172345672636
"Destcompl",0.236300308718209,0.990248626567122,-0.100714120956838,-0.0341247220521666,-0.0341247220521666,0.235216776990775,0.235752946499236,0.236300308718209,0.00274564555063883,1,-0.0017692956670406,-0.0017692956670406,0.0693577023434116,0.0715080153059318,-0.0699206401127842,0.0356975160820773,0.0356975160820773,0.168017430041939,0.00167863353362334,0.00114100577546133,0.00167863353362334,-0.337629837500505,0.000554053445530343,0.234669421608939,0.0624728225422385,0.0265570024399968,0.0265570024399968,-0.0107854743563461,-0.0107854743563461,0.236300308718209,0.00275387869480361,-0.0135803220929203,0.00275387869480361,-0.0135803220929203,-0.0135803220929203,-0.0135803220929203,-0.0135803220929203,0.0265570024399968,0.0720705492690705,0.235752946499236,0.235752946499236,0.235216776990775,-0.0341247220521666,0.0331511219712546,0.0331511219712546,0.236300308718209,-0.00275387869480361,0.236300308718209,0.236300308718209,-0.168017430041939,0.00275387869480361,0.00275387869480361,0.00221625768227922,0.168017430041939,-0.0377801981459258,0.071516274162555,0.0878471617318784,-0.0135803220929203,-0.00113278001239378,-0.099638217060873,0.168017430041939,0.166933923754359,0.168017430041939,-0.235216776990775,0.000595151889193728,0.000554053445530343,0.0265570024399968,0.0624728225422385,-0.0699206401127842,-0.0990926785594805,0.0709787069722104,-0.165812098263646
