states,flag,Avg0,SD0,frust0
'110010101100001000111000100001010111100100000100011010000100000010001001',1,0.0005666666666666666,0.00018856180831641268,0.15492957746478872
'001000001011001000111100100110001100000000000000011010001001000110011101',1,0.0005333333333333333,9.42809041582063e-5,0.176056338028169
'101101111011110111111011111001111011111111100101101111111101111011110110',1,0.0005333333333333334,0.0001247219128924647,0.07746478873239436
'010010000100001000000100111110000100010000011010010000000010000100001001',1,0.0003666666666666666,0.00016996731711975947,0.11267605633802817
'110000101111001000111000111001010011110100000100001011000100000011101000',1,0.00036666666666666667,0.00012472191289246472,0.2535211267605634
'010010000100001000000100111000000100010000000010010000000010000100001001',1,0.0003333333333333333,0.00012472191289246472,0.08450704225352113
'010111010111110111000111011110100000011011111011100101111010111101100010',1,0.00036666666666666667,0.00012472191289246472,0.19718309859154928
'101111110000110111000011111111111011111111100111100101111111111001110110',1,0.0003666666666666666,9.428090415820635e-5,0.11267605633802817
'101101110000110001000011100111111011101111100111100101111111111001110110',1,0.0004,0.0003559026084010437,0.1619718309859155
'001101011000110001111111000110101000001011111001101111111001111111110110',1,0.0003,8.164965809277261e-5,0.18309859154929578
'110010101111001000111000000001010111100100000100011010000100000010001001',1,0.0005,0.00024494897427831784,0.1619718309859155
'010100001100001000111110100000000100000000111000011010000000110110001001',1,0.0003,0.00016329931618554522,0.176056338028169
'010101011100110111111111011110100000011011111001101111111000111111100010',1,0.0002666666666666666,0.00012472191289246472,0.21830985915492956
'010010001111001000111100111000000100010000000000011010000000000110001001',1,0.0006666666666666666,0.00020548046676563254,0.14084507042253522
'001001011011111110111101000110101100001011011001111110011001000110011111',1,0.00016666666666666666,4.714045207910317e-5,0.2112676056338028
'101111110011110111000011100111111011101111100111100101111111111001110110',1,0.00046666666666666666,4.714045207910316e-5,0.1267605633802817
'010000001111001110111100000110000100000000000000011010001000000110001001',1,0.0006666666666666666,9.428090415820637e-5,0.13380281690140844
'001001010011111110000101000110101100001011011011110100011011000100011111',1,0.00039999999999999996,0.0001414213562373095,0.2112676056338028
'101001110011111110000001000111111111101111011111110100011111000000011111',1,0.00023333333333333336,0.00012472191289246472,0.19718309859154928
'001000001000001000111100000000001100000000011000011010000001000110011101',1,0.0005333333333333333,0.00026246692913372703,0.1619718309859155
'101011110000111110000001000001111111101111011111110100011111000000011111',1,0.0002,8.16496580927726e-5,0.2323943661971831
'101101111000110001111011111111111011111111100101101111111101111011110110',1,0.0005666666666666666,0.0001699673171197595,0.09154929577464789
'010010001111001110111100111000000100010000011000011010000000000110001001',1,0.0002666666666666667,0.00012472191289246472,0.16901408450704225
'010100001100000001111110111110000000010000100000001011000000111111100000',1,0.00013333333333333334,4.7140452079103176e-5,0.21830985915492956
'010010001111001000111100011110000100010000011000011010000000000110001001',1,0.0005,8.164965809277258e-5,0.1619718309859155
'010000000111001110000100111110000100010000000010010000001010000100001001',1,0.0005333333333333333,9.42809041582063e-5,0.1267605633802817
'101111111011110001111011011111111011111111111101101111111101111011110110',1,0.0005666666666666667,0.00016996731711975952,0.06338028169014084
'101111111000110111111011000111111011101111111101101111111101111011110110',1,0.0005333333333333334,0.000339934634239519,0.09154929577464789
'101001110011110111000001111111111011111111000111100101111111001001110110',1,0.0003,0.00016329931618554522,0.1619718309859155
'101011110000111110000001100111111111101111011111110100011111000000011111',1,0.00023333333333333336,0.0001885618083164127,0.2112676056338028
'010100000100000111000110011000000000010000100010000001100010111101100000',1,0.0002,8.16496580927726e-5,0.19718309859154928
'110000100111001110000000100001010111100100000110010000000110000000001001',1,0.0005,0.0,0.14788732394366197
'001111011000110001111111111110101000011011111001101111111001111111110110',1,0.0003,0.00016329931618554522,0.14084507042253522
'101111111011110001111011011001111011111111100101101111110101111011110110',1,0.0003333333333333333,0.00018856180831641265,0.09859154929577464
'010000001111001110111100011110000100010000000000011010001000000110001001',1,0.00023333333333333333,0.00012472191289246472,0.1619718309859155
'001111011000110001111111011000101000011011111001101111110001111111110110',1,0.0002666666666666667,9.428090415820634e-5,0.15492957746478872
'010110001100001000111110000000000100000000100000011010000000110110001001',1,0.0002666666666666667,9.428090415820634e-5,0.14788732394366197
'010010000100001110000100111110000100010000011010010000001010000100001001',1,0.0003,8.164965809277261e-5,0.13380281690140844
'010000001100001000111100011000000100010000011000011010000000000110001001',1,0.00039999999999999996,8.164965809277262e-5,0.1267605633802817
'010000000100001110000100100110000100000000011010010000001010000100001001',1,0.00036666666666666667,0.00012472191289246472,0.09859154929577464
'101101111011110001111001111111111011111111111101101111111101111011110110',1,0.0002,8.16496580927726e-5,0.1056338028169014
'001011011000111110111101000110101100001011011001111110011001000110011111',1,0.00023333333333333336,0.00012472191289246472,0.2323943661971831
'110010101100000000111000011001010011110100000100001011000100000011100000',1,0.00013333333333333334,4.7140452079103176e-5,0.2676056338028169
'010010000100001000000100011000000100010000000010010000000010000100001001',1,0.0005,0.00024494897427831784,0.07746478873239436
'010010000100001110000100000000000100000000011010010000000010000100001001',1,0.0004,0.0001632993161855452,0.07746478873239436
'001010001011001000111100000110001100000000000000011010001001000110011101',1,0.0003333333333333333,9.428090415820634e-5,0.19014084507042253
'110101111111110111111011011111110011111111111101101111111100111011100010',1,0.0004,8.164965809277262e-5,0.13380281690140844
'010010000100001110000110100110000100000000000010010000001010000100001001',1,0.00036666666666666667,0.00012472191289246472,0.14788732394366197
'010000001111001110111100100110000100000000000000011010001000000110001001',1,0.00036666666666666667,4.714045207910318e-5,0.14084507042253522
'010000001100001110111100100110000100000000000000011010001000000110001001',1,0.0002666666666666667,0.00023570226039551582,0.14084507042253522
'110010100111001000000010000001010011100100000110000001000110000001101000',1,0.0002666666666666667,0.0001699673171197595,0.2535211267605634
'101101110011110111000011011001111011111111100111100101111111111001110110',1,0.0003333333333333333,0.00020548046676563254,0.1267605633802817
'001111011000110111111111011110101000011011111001101111111001111111110110',1,0.0007,0.0001632993161855452,0.13380281690140844
'010000000111001000000100011110000100010000000010010000000010000100001001',1,0.00046666666666666666,0.00023570226039551585,0.09859154929577464
'101001110000111110000001100001111111101111011111110100111111000000011111',1,0.0002,8.16496580927726e-5,0.21830985915492956
'110010101100001110111000100001010111100100000100011010000100000010001001',1,0.00046666666666666666,0.0001247219128924647,0.16901408450704225
'110000100111001110000000011001010111110100000110010000000110000000001001',1,0.00023333333333333333,4.714045207910315e-5,0.16901408450704225
'101111110011110111000011100001111011101111111111100101111111111001110110',1,0.00036666666666666667,4.714045207910318e-5,0.1267605633802817
'001010000000001000000100100000001100000000011010010000000011000100011101',1,0.0004666666666666667,0.00024944382578492944,0.14788732394366197
'010010000111001000000100011110000100010000000010010000000010000100001001',1,0.0004333333333333333,4.714045207910316e-5,0.1056338028169014
'101101111011110001111011111001111011111111100101101111110101111011110110',1,0.0006,8.16496580927726e-5,0.09859154929577464
'101101111000110001111011000111111011101111111101101111111101111011110110',1,0.00039999999999999996,0.0001414213562373095,0.11267605633802817
'101101110000110111000011111001111011111111111111100101111111111001110110',1,0.0003333333333333333,0.0001699673171197595,0.11971830985915492
'001000000000001000000100100000001100000000011010010000000011000100011101',1,0.0003,0.00016329931618554522,0.14084507042253522
'110010100111001110000000100001010111100100000110010000000110000000001001',1,0.0007333333333333333,0.0001699673171197595,0.15492957746478872
'101111110011110001000011000001111011101111100111100101110111111001110110',1,0.0003333333333333333,0.0001699673171197595,0.16901408450704225
'010000001111001000111100011000000100010000000000011010000000000110001001',1,0.0003333333333333333,0.00020548046676563254,0.1267605633802817
'001101010011110001000111011110101000011011111011100101111011111101110110',1,0.0005,8.164965809277258e-5,0.16901408450704225
'001111011000110001111111011110101000011011111001101111111001111111110110',1,0.0005,8.164965809277258e-5,0.14788732394366197
'001111011011110111111111111110101000011011111001101111111001111111110110',1,0.0004666666666666666,0.0001247219128924647,0.11267605633802817
'001111010011110111000111000110101100001011100011110100111011111100010111',1,0.0003,0.0,0.2535211267605634
'101101111000110111111011100111111011101111111101101111111101111011110110',1,0.00039999999999999996,8.164965809277262e-5,0.09154929577464789
'010000001111001000111100000000000100000000000000011010000000000110001001',1,0.0002666666666666666,0.00012472191289246472,0.09859154929577464
'010010000100001000000100011110000100010000000010010000000010000100001001',1,0.0005666666666666666,0.0001699673171197595,0.09154929577464789
'010010001111001000111100000000000100000000011000011010000000000110001001',1,0.0003333333333333333,0.00012472191289246472,0.11971830985915492
'110010100100001000000000100001010111100100000110010000000110000000001001',1,0.00039999999999999996,8.164965809277262e-5,0.1267605633802817
'110010100100001110000000111001010111110100000110010000000110000000001001',1,0.0004,0.0,0.16901408450704225
'110101110111110111000011011111110011111111111111100101111110111001100010',1,0.0005333333333333333,0.0001699673171197595,0.14788732394366197
'110101110100110111000011111001110011111111111111100101110110111001100010',1,0.00023333333333333333,0.00012472191289246472,0.19014084507042253
'110010101100001000111000000001010111100100000100011010000100000010001001',1,0.0006,0.0001414213562373095,0.14788732394366197
'001010000000001000000100000000001100000000000010010000000011000100011101',1,0.0007,0.00021602468994692868,0.14084507042253522
'110111111111110111111011111111110011111111111101101111111100111011100010',1,0.0004333333333333333,9.428090415820635e-5,0.13380281690140844
'010000000100001110000100000000000100000000000010010000000010000100001001',1,0.0007,8.164965809277264e-5,0.056338028169014086
'110100100111000001000010111001010011110100100110000001100110111001100000',1,0.0003,0.0001414213562373095,0.2323943661971831
'001111011000110111111111011110101000011011100001101111111001111111110110',1,0.00039999999999999996,8.164965809277262e-5,0.14788732394366197
'010010000111001000000100000000000100000000000010010000000010000100001001',1,0.0005333333333333333,9.42809041582063e-5,0.06338028169014084
'010000001100001110111100100110000100000000011000011010001000000110001001',1,0.00039999999999999996,8.164965809277262e-5,0.14084507042253522
'010010000111001000000100011000000100010000000010010000000010000100001001',1,0.0003,8.164965809277261e-5,0.09154929577464789
'001101011011110111111111111110101000011011111001101111111001111111110110',1,0.0004666666666666667,0.00024944382578492944,0.11971830985915492
'101111111000110111111001111001111011111111100101101111111101111011110110',1,0.0002666666666666667,0.00012472191289246472,0.1267605633802817
'101111110000110111000011000001111011101111100111100101111111111001110110',1,0.00039999999999999996,0.0001414213562373095,0.1619718309859155
'101101111000110111111001111001111011111111111101101111111101111011110110',1,0.0002666666666666667,0.00012472191289246472,0.11971830985915492
'001101011011110001111111000110101000001011111001101111111001111111110110',1,0.0003,0.00016329931618554522,0.16901408450704225
'110000100111001000000000100001010111100100000110010000000110000000001001',1,0.00019999999999999998,8.16496580927726e-5,0.13380281690140844
'010000001100001000111100000110000100000000011000011010000000000110001001',1,0.00039999999999999996,8.164965809277262e-5,0.11267605633802817
'010010000100001000000100100110000100000000000010010000000010000100001001',1,0.0006,0.0002160246899469287,0.07042253521126761
'010010001100001110111100000110000100000000000000011010001000000110001001',1,0.0005,8.164965809277258e-5,0.14084507042253522
'101101111000110111111011111001111011111111100101101111111101111011110110',1,0.00046666666666666666,0.0001699673171197595,0.09154929577464789
'010000000100001000000110000000000100000000000010010000000010000100001001',1,0.0002666666666666666,0.00023570226039551582,0.08450704225352113
'110111110111110111000011111001110011111111111111100101110110111001100010',1,0.0006333333333333334,0.00032998316455372216,0.18309859154929578
'110000101111001000111000011001010011110100000100001011000100000011101000',1,0.0002666666666666666,4.714045207910315e-5,0.24647887323943662
'001111010000110001000111100110101100001011111011110100111011111100010111',1,0.0003,0.0001414213562373095,0.2605633802816901
'110101111111110111111011111111110011111111111101101111111100111011100010',1,0.0006,0.0001414213562373095,0.14084507042253522
'001010001000001000111100100110001100000000000000011010001001000110011101',1,0.0006666666666666666,0.00020548046676563254,0.18309859154929578
'110000101100001000111000111111010011110100000100001011000100000011101000',1,0.00036666666666666667,4.714045207910318e-5,0.2535211267605634
'010010000111001110000110100000000100000000000010010000000010000100001001',1,0.0003,8.164965809277261e-5,0.1267605633802817
'001101010011110111000111100110101100001011111011110100111011111100010111',1,0.0003333333333333333,0.00018856180831641265,0.23943661971830985
'010000000111001110000110000000000100000000000010010000000010000100001001',1,0.0003333333333333333,4.714045207910319e-5,0.11267605633802817
'001101010000110001000111111110101000011011111011100101111011111101110110',1,0.00039999999999999996,0.00021602468994692868,0.176056338028169
'010000000111001000000100111110000100010000011010010000000010000100001001',1,0.0004333333333333333,0.0001885618083164127,0.11971830985915492
'101101111011110001111011100111111011101111111101101111111101111011110110',1,0.00046666666666666666,0.0001699673171197595,0.09154929577464789
'101101111011110111111011100111111011101111100101101111111101111011110110',1,0.0005,0.00016329931618554522,0.09154929577464789
'010010001111001000111100011000000100010000000000011010000000000110001001',1,0.00036666666666666667,0.00018856180831641268,0.13380281690140844
'110010100111001000000000000001010111100100000110010000000110000000001001',1,0.0005,0.0002943920288775949,0.13380281690140844
'010010000100001110000100100000000100000000011010010000000010000100001001',1,0.0007000000000000001,0.0004320493798938573,0.08450704225352113
'101101110011110001000011111001111011111111100111100101110111111001110110',1,0.0003333333333333333,9.428090415820634e-5,0.14084507042253522
'001101010000110111000111011110101000011011111011100101111011111101110110',1,0.0005666666666666667,0.00018856180831641268,0.16901408450704225
'110100101111001000111010100001010011100100100100001011000100110011101000',1,0.0002666666666666667,0.0001699673171197595,0.2676056338028169
'010010000100001110000100100000000100000000000010010000000010000100001001',1,0.0007666666666666667,0.000339934634239519,0.07042253521126761
'101011110011111110000001100111111111101111000111110100011111000000011111',1,0.0003,8.164965809277261e-5,0.2112676056338028
'110000100111001000000000000001010111100100011110010000000110000000001001',1,0.0005666666666666666,4.714045207910314e-5,0.14084507042253522
'101111111011110001111001011111111011111111100101101111111101111011110110',1,0.0003,8.164965809277261e-5,0.11971830985915492
'101101111000110111111011100001111011101111100101101111111101111011110110',1,0.0004333333333333333,0.0001247219128924647,0.11971830985915492
'001101011000110001111111011000101000011011111001101111110001111111110110',1,0.0006666666666666666,0.0001699673171197595,0.1619718309859155
'101111111000110111111011011001111011111111100101101111111101111011110110',1,0.00039999999999999996,0.0001414213562373095,0.09154929577464789
'101111111000110111111001111001111011111111111101101111111101111011110110',1,0.0003333333333333333,4.714045207910319e-5,0.11267605633802817
'010010001100001000111100011000000100010000011000011010000000000110001001',1,0.0002666666666666666,4.714045207910315e-5,0.13380281690140844
