states,Avg0,SD0,frust0
'010010000000001000000100011110000000010000000010010000000010000100001001',,,0.1056338028169014
'101111111000110111111011100111111111101111111101101111111101111011110110',0.00046666666666666666,4.714045207910316e-5,0.09154929577464789
'101101111011110111111011011111111111111111111101101111110101111011100110',0.0006,0.0001414213562373095,0.11267605633802817
'010010000100001110100100000000000000000000000010010000000010000100000001',,,0.11267605633802817
'010010000100000000100110100000000000000011000000010010001000000101110000',,,0.2605633802816901
'101000110011111000001000100001010111101100011101111000111101000010011111',,,0.23943661971830985
'101111111011110111111011111111111111111111100101101111111101111011110110',0.0005666666666666666,0.00023570226039551582,0.06338028169014084
'001111001000000001111101011000111111110011111000001111100101111111100100',,,0.22535211267605634
'010000000100001000000100011000010111110000000010010000000110000100001001',0.0004,0.0,0.09154929577464789
'001011001011000110111101011110000000010000000000011010100001000110000101',,,0.23943661971830985
'010000000100001000100100100110000000000000000010010000001000000100011001',,,0.1267605633802817
'110110110111110111001000111111101000011111111101111111111010111000010011',,,0.28169014084507044
'010000000100001110000110000000000000000000000010010000000010000101101000',0.00016666666666666666,9.428090415820633e-5,0.1267605633802817
'010010000111001000000100011000000000010000000010010000000010000000001001',,,0.11267605633802817
'100001110000110001000011100111111111101111000111100101111111111001110110',,,0.19014084507042253
'111111111100110001111011011111111111111111111101101111110101111011100110',0.0003333333333333333,0.00012472191289246472,0.09859154929577464
'010010000100001110000100000000000000000000011010010000000010000100001001',0.0006333333333333333,0.00018856180831641265,0.08450704225352113
'110101110111111110000111100111111111101111000111100101011110111001111010',,,0.2535211267605634
'100010110011111110000000111001010111111100011111110000011110000000011011',0.0002,0.0001414213562373095,0.18309859154929578
'010010000111001000000100011000010111110000000010010000000110000100001001',0.0005333333333333333,9.42809041582063e-5,0.11267605633802817
'010010000111001000000100000110010111100000000010010000010110000100001001',0.0005,0.00014142135623730948,0.11267605633802817
'111111111111110111111011111001101000011111111101101111111001111011110110',0.0003333333333333333,0.00020548046676563254,0.07042253521126761
'111111111100110111111011111001101000011111100101101111101001111011110110',0.0002666666666666666,4.714045207910315e-5,0.09859154929577464
'010010000000001110000110000110000000000000011010010000000010000101101000',,,0.16901408450704225
'100010110000111001000010111001111111111110011111100101011110101001111010',,,0.2323943661971831
'111101111100110111111011011111111111111111100101101111110101111011100110',0.0002666666666666666,0.00012472191289246472,0.1056338028169014
'010000000100001000000101011110010111110000000010010000000110000100001001',,,0.1267605633802817
'110000110111111110000000111001010111111100011111110000011110000000011011',,,0.18309859154929578
'101111111011110001111011100001101000001111100101101111101001111011110110',0.0007333333333333333,4.714045207910318e-5,0.13380281690140844
'110000110000111000000000111111010111111100011111110000011110000000011011',,,0.20422535211267606
'100010110011111000000000111001010111111100011111110000011110000000011011',0.0002666666666666666,0.00012472191289246472,0.19718309859154928
'000000000011001000000110000110010111100000000010010000010110000101101000',0.00013333333333333334,4.714045207910317e-5,0.176056338028169
'010000000100001000000100000110000000000000000010010000000010000100001001',0.0006333333333333334,9.428090415820633e-5,0.06338028169014084
