"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"CLDN7",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"FOXC2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"GRHL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"GSC",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"KLF8",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"NP63",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"OVOL2",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"SNAI1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"SNAI2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"TCF3",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"TGFbeta",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"TWIST1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"TWIST2",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"VIM",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"ZEB1",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"ZEB2",-0.405493919146758,-0.405493919146758,0.405493919146758,-0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,-0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,0.405493919146758,1,-0.405493919146758,-0.405493919146758,-1,-0.405493919146758,-1,0.405493919146758,-0.358875116958768,-0.405493919146758,-0.053533516649571
"miR101",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"miR141",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"miR200a",0.405493919146758,0.405493919146758,-0.405493919146758,0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-1,0.405493919146758,0.405493919146758,1,0.405493919146758,1,-0.405493919146758,0.358875116958768,0.405493919146758,0.053533516649571
"miR200b",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"miR200c",0.405493919146758,0.405493919146758,-0.405493919146758,0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-0.405493919146758,-1,0.405493919146758,0.405493919146758,1,0.405493919146758,1,-0.405493919146758,0.358875116958768,0.405493919146758,0.053533516649571
"miR205",-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0.405493919146758,-1,-1,-0.405493919146758,-1,-0.405493919146758,1,-0.365078914469292,-1,-0.0013049528347637
"miR30c",0.365078914469292,0.365078914469292,-0.365078914469292,0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.365078914469292,-0.358875116958768,0.365078914469292,0.365078914469292,0.358875116958768,0.365078914469292,0.358875116958768,-0.365078914469292,1,0.365078914469292,-0.00169838245857726
"miR34a",1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.405493919146758,1,1,0.405493919146758,1,0.405493919146758,-1,0.365078914469292,1,0.0013049528347637
"miR9",0.0013049528347637,0.0013049528347637,-0.0013049528347637,0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.0013049528347637,-0.053533516649571,0.0013049528347637,0.0013049528347637,0.053533516649571,0.0013049528347637,0.053533516649571,-0.0013049528347637,-0.00169838245857726,0.0013049528347637,1
