states,Avg0,SD0,frust0
'00101100111111111000000000',0.08456666666666668,0.0007586537784494012,0.05
'11000001000000000111110110',0.04816666666666667,0.0001247219128924652,0.08
'00111110111111111000001100',0.0265,0.0002943920288775947,0.11
'00111110111111111000001101',0.025933333333333336,0.0016131404843417135,0.11
'11010011000000000111111010',0.03613333333333333,0.0023612614331233106,0.08
'10001000000100111100000110',0.029833333333333333,0.0012283683848458853,0.29
'11010011000000000111111110',0.08510000000000001,0.0027471197037382037,0.05
'01110111111011000011111101',0.013366666666666667,0.0005436502143433361,0.3
'00101100111111111000000100',0.03883333333333334,0.0010338708279513888,0.08
'00111110111111111000001001',0.04833333333333333,0.0022528993664954417,0.08
'00111110111111111000001000',0.04933333333333334,0.001007747763855398,0.08
'11000001000000000111110010',0.025433333333333336,4.7140452079102885e-5,0.11
'00101100111111111000000001',0.08726666666666667,0.0047765631531003095,0.05
'01110111111011000011111001',0.030299999999999997,0.0017568911937472576,0.29
'11000001000000000111110111',0.049133333333333334,0.00217919455049082,0.08
'00101100111111111000000101',0.03793333333333333,0.00030912061651652384,0.08
'10001000000100111100000011',0.0085,0.0013140268896284684,0.32
'10001000000100110100010111',0.017266666666666666,0.0013474255287605162,0.35
'11010011000000000111111011',0.038166666666666675,0.0014839886193034695,0.08
'11000001000000000111110011',0.026333333333333334,0.00040276819911981923,0.11
'11010011000000000111111111',0.0852,0.0027820855486487116,0.05
'01110111111011001011101100',0.005,0.0011045361017187263,0.38
'01110111111011000011111000',0.018566666666666665,0.0011953614051360738,0.31
'01110111111011001011101000',0.018733333333333334,0.0007586537784494031,0.35
'01110111111011000011111100',0.0078000000000000005,0.0002943920288775953,0.32
'10001000000100111100000111',0.02026666666666667,0.0004496912521077336,0.31
'10001000000100111100000010',0.013800000000000002,0.0010198039027185576,0.3
'10001000000100110100010110',0.0102,0.0005099019513592784,0.35
'10001000000100110100010011',0.004266666666666666,0.0004027681991198189,0.38
'01110111111011001011101001',0.009733333333333335,0.00023570226039551604,0.35
