"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-0.576991146504263,-1,-1,-1,-1,-0.576991146504263,-1,-1,-1,-0.576991146504263,-0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,0.00309038000214979,1,1,-0.00227756747415574
"FOXC2",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"GSC",-0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,1,1,-0.576991146504263,-1,-1,-1,-1,-0.426086219068063,-0.576991146504263,-0.576991146504263,-0.01140759316661
"KLF8",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"SNAI1",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"SNAI2",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"TCF3",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"TGFbeta",-0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,1,1,-0.576991146504263,-1,-1,-1,-1,-0.426086219068063,-0.576991146504263,-0.576991146504263,-0.01140759316661
"TWIST1",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"TWIST2",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
