"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0376026878900389,-0.192631152363826,0.192631152363826,1,-0.192631152363826,-1,0.192631152363826,0.192631152363826
"GRHL2",1,1,-0.0376026878900389,-0.192631152363826,0.192631152363826,1,-0.192631152363826,-1,0.192631152363826,0.192631152363826
"Iext",-0.0376026878900389,-0.0376026878900389,1,0.525300079315577,-0.525300079315577,-0.0376026878900389,0.525300079315577,0.0376026878900389,-0.525300079315577,-0.525300079315577
"KEAP1",-0.192631152363826,-0.192631152363826,0.525300079315577,1,-1,-0.192631152363826,1,0.192631152363826,-1,-1
"NRF2",0.192631152363826,0.192631152363826,-0.525300079315577,-1,1,0.192631152363826,-1,-0.192631152363826,1,1
"OVOL2",1,1,-0.0376026878900389,-0.192631152363826,0.192631152363826,1,-0.192631152363826,-1,0.192631152363826,0.192631152363826
"SNAIL",-0.192631152363826,-0.192631152363826,0.525300079315577,1,-1,-0.192631152363826,1,0.192631152363826,-1,-1
"ZEB",-1,-1,0.0376026878900389,0.192631152363826,-0.192631152363826,-1,0.192631152363826,1,-0.192631152363826,-0.192631152363826
"miR200",0.192631152363826,0.192631152363826,-0.525300079315577,-1,1,0.192631152363826,-1,-0.192631152363826,1,1
"miR34",0.192631152363826,0.192631152363826,-0.525300079315577,-1,1,0.192631152363826,-1,-0.192631152363826,1,1
