Source,Target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
ZEB,GRHL2,-0.1098515027985465,-0.4961469090862145,-0.8530340911140708,-0.2795404129111201,-0.8509271188068959,-0.5999004547957414,-0.6989800401290833,-0.0121411225219569,-0.7397774592243729,-0.0935028580428396,-0.9421885838025704,-0.3846094348958957,-0.8149568676248884,-0.573961219937458,-0.8707215086298847,-0.0239911757141997,-0.4481179877903356,-0.976630473086066,-0.9337581312522064,-0.2260436948706159,-0.3087300010727105,-0.0799979106837014,-0.1898057693542085,-0.1107623964844137,-0.7013171765376471,-0.6679797870581414,-0.6861213414301088,-0.8753375818190932,-0.6826327806343317,-0.4861896486213883,-0.1456196368154438,-0.2964876157587859,-0.6884465836119551,-0.7424958038012144,-0.4617285327987235,-0.407748914550639,-0.1079841763921418,-0.2374614325574955,-0.1663666838145594,-0.0016297190918965,-0.0619222454298611,-0.7748432758357608,-0.0013967279407498,-0.6514328687046604,-0.2259515034415189,-0.0507938397058915,-0.9965113961191564,-0.2858218282110241,-0.4131688363905348,-0.5197138855255163,-0.6297754959438302,-0.840918551241163,-0.5016870547544585,-0.5268503674898326,-0.569698840086126,-0.107233920998373,-0.3098651637308425,-0.579901861739863,-0.9415529796029656,-0.9109524635994416,-0.6283039456404751,-0.4424537012181027,-0.1632674823527609,-0.3428294464305876,-0.1246124273640383,-0.5227274007055962,-0.9404035673251104,-0.0210423625805373,-0.9340202141111252,-0.6274670850180333,-0.0747158288760749,-0.496823482960788,-0.8407785985474343,-0.8367303551636811,-0.079726798340145,-0.5852931832558776,-0.3940204774032843,-0.3224060087962461,-0.6882963778966735,-0.4755797196760656,-0.0902946495545857,-0.9743947904645462,-0.7154250146284156,-0.0800181184802368,-0.6043941626263476,-0.6496205942939768,-0.6641927004705677,-0.919449599589323,-0.7564573308675873,-0.2152202680712938,-0.0809826203060692,-0.8944369408318544,-0.0693431233013837,-0.2926232332524168,-0.2469578934678324,-0.464660201243197,-0.8139842397948602,-0.0945012864020298,-0.2566559152268091,-0.2650437585678975
miR145,OCT4,-0.2819332146815192,-0.3602810868610975,-0.6390302028960388,-0.5042135036764626,-0.5486010203611733,-0.4018594461389622,-0.5123899387461248,-0.5456357107084671,-0.9689570100415984,-0.5064452969116686,-0.8563340959598218,-0.604269087433541,-0.615632719636263,-0.1586141677907269,-0.5276713480159254,-0.0513100209981169,-0.363308428994967,-0.0182187565391851,-0.9730382584653648,-0.6234182776070305,-0.4878613134448806,-0.3265382935821339,-0.9200582514701774,-0.0155263857835807,-0.5451593859426476,-0.1541478295877494,-0.7973700085873836,-0.9186574860478898,-0.0562558236457886,-0.4973536951253425,-0.3136303455610509,-0.2723215936319083,-0.1155955913856796,-0.0758904340565558,-0.362380046805336,-0.6564774437091325,-0.2675967567589372,-0.1429585977353742,-0.6580631323617543,-0.8090887475613489,-0.9295839922585108,-0.0443762793138209,-0.717233836055142,-0.6150285572813305,-0.1410821595268236,-0.5401438731495218,-0.3017721223452638,-0.8658451174483126,-0.1160330786640821,-0.3023606795909663,-0.6414392438768202,-0.5831014189907502,-0.8005736694855212,-0.2359596228713196,-0.4305952260975456,-0.4946499810851963,-0.1708931590858948,-0.4900296337397043,-0.7807650303770106,-0.7508983277397274,-0.6855585505388335,-0.2515408328326594,-0.3524661356029155,-0.5414242327968792,-0.5785340821064904,-0.0775295923997587,-0.1105111024840459,-0.9451628455747924,-0.779824748250368,-0.3377073323109385,-0.7659304836165886,-0.4998454639755265,-0.6962432353190313,-0.6506323098935964,-0.0953647558207497,-0.8647174121276748,-0.1025043226563007,-0.6041228618624481,-0.216713455740185,-0.4917837347196927,-0.6696416305261965,-0.2307333623415244,-0.2553663103335779,-0.8848021015411678,-0.7142260646040475,-0.0600972327256739,-0.7456270126576456,-0.4930340442517957,-0.2143943284403939,-0.1457511461696359,-0.0623964065138831,-0.5430223980892872,-0.2742768247578542,-0.8853375875551823,-0.3242975291409231,-0.988611791256762,-0.6570931465159136,-0.6158657015939115,-0.9722861483943204,-0.0206122766499734
OVOL2,OVOL2,-0.3699433668024847,-0.0115454052284393,-0.4097455001909857,-0.386228848688158,-0.951591100450542,-0.3489237413356494,-0.5824754840508359,-0.7900160335533095,-0.6915020070944187,-0.0789307942269463,-0.9067161323331584,-0.5372231276190598,-0.1192082556551104,-0.9288719165990376,-0.8713707296784639,-0.8331912673205895,-0.1407390207064576,-0.4208451640699024,-0.1706078956377144,-0.7762452701429992,-0.3559845087573599,-0.4730342944988863,-0.105403055367202,-0.5830448762558333,-0.5188659643075124,-0.3051376293365986,-0.1204324592617471,-0.5838228123581555,-0.1527717417409595,-0.4415922554697895,-0.9797237230781746,-0.9477627930688244,-0.6709161121371641,-0.585294161136162,-0.1238243596970547,-0.8705752398218416,-0.960918743223056,-0.1082587856273891,-0.2613589639779918,-0.1450468690477513,-0.9128199300770636,-0.370439923113824,-0.3703780799821765,-0.1701508236661055,-0.0109740437497372,-0.7328204456019773,-0.3486570801979705,-0.1973912268940694,-0.5971465780677785,-0.466272373734653,-0.1099335459472177,-0.4010693433828036,-0.4047873713886514,-0.1302750746349308,-0.5604682201478481,-0.1004946634091903,-0.810467949600485,-0.0590403137461652,-0.8818297440490623,-0.0862755355325,-0.1171452114469131,-0.0034667022761594,-0.650892319787308,-0.9999031986660256,-0.9509182035873792,-0.6884929239094129,-0.1516661147276901,-0.3169278278886516,-0.5718031269801134,-0.9961800454034156,-0.4209825730161944,-0.4597423573181449,-0.8896606122438913,-0.923524726945782,-0.7698135291442705,-0.4573025745228583,-0.5729901934145685,-0.3468001513676519,-0.8666632798463731,-0.4118061171979272,-0.8363963920883799,-0.9333097756307024,-0.4190816209273715,-0.081952927463623,-0.5511753860667818,-0.3072936052720223,-0.1923197399488156,-0.659529768778484,-0.2010304601675541,-0.703249497890742,-0.6436582918638531,-0.1021854564995652,-0.0819849409182362,-0.4533743847764155,-0.4432693242102226,-0.2702066179989644,-0.3896532012676841,-0.6518779489844557,-0.6835694902985125,-0.346839643504387
ZEB,OVOL2,-0.6305670477659553,-0.9733473796592742,-0.0016900269164015,-0.2084543701608949,-0.0960250029280407,-0.7228102837419421,-0.0513677967542804,-0.6453378592678096,-0.6903601078862827,-0.9065603865284766,-0.6672453468961479,-0.7090409455964857,-0.4144250864744474,-0.590731359391609,-0.0604819431678103,-0.0871767050830436,-0.7006454836039735,-0.2600362999811711,-0.304455391661097,-0.0695871025151311,-0.2813685451884191,-0.0549070141105594,-0.7082760338854457,-0.9971707992569374,-0.1284244806318437,-0.990415851960124,-0.701240448157697,-0.2706165684874446,-0.5834986489183815,-0.998543429172524,-0.4183091431276191,-0.8940966998291422,-0.6577976778705636,-0.4066509196571728,-0.7682385354973373,-0.7514894530145937,-0.5630139342726368,-0.4300759097667459,-0.4639727050346551,-0.3400936094757396,-0.5618027037993327,-0.1821060414214936,-0.8481154421421282,-0.941626776317114,-0.3443262753669507,-0.3488286306306876,-0.670174365080443,-0.6357529705531335,-0.4699964966299563,-0.5521388775385261,-0.4039555369427439,-0.6292952275352108,-0.4095965686360163,-0.9449556010065276,-0.7697487980005555,-0.3804243418759838,-0.3660965484722882,-0.4505605791502252,-0.543727407243249,-0.6838271344750178,-0.4192383216454347,-0.2334353896173135,-0.1167306118964697,-0.1027344497012141,-0.729032634163588,-0.6605904227536916,-0.833707018802859,-0.8800629915774525,-0.808715420876281,-0.9128701357323008,-0.9463946798663688,-0.1941573512462764,-0.511495377226395,-0.0315150381138489,-0.73394251784316,-0.6417745478306776,-0.0974401166234233,-0.0284393990095972,-0.1822831136328537,-0.4314103406747471,-0.9251956532191394,-0.0568649179201967,-0.112798220965725,-0.5099342744397193,-0.5745186667155562,-0.987504635167763,-0.9524258722764248,-0.1236881035788244,-0.8362887641540446,-0.3548796416453654,-0.6473188768572842,-0.4910203597973739,-0.6933283096179461,-0.2535696716622,-0.0400211638896408,-0.2236119822077757,-0.446301069550123,-0.0045170106588328,-0.8868057113005223,-0.611281937864486
GRHL2,ZEB,-0.0048396021047787,-0.53502374540914,-0.0256332995973787,-0.1276372490608284,-0.3036568779400996,-0.9671982831723248,-0.8489758645763075,-0.7858438634970533,-0.5862102196735972,-0.0073926039032072,-0.8578502964273818,-0.4481304708382645,-0.5239214598702737,-0.8327097909351164,-0.7045461817015797,-0.4327962838621915,-0.884195269416481,-0.0130369806162746,-0.4726067780170953,-0.3355013081020668,-0.5253893971672963,-0.949021265227352,-0.1898773133676601,-0.9605979645937184,-0.1739596803380776,-0.886603611842367,-0.5381284113897085,-0.3062873314524001,-0.9090259576093856,-0.8013559478790186,-0.4027588538243261,-0.6363827394507131,-0.2750028306299847,-0.8585072272401255,-0.9667569595095478,-0.0915054942784119,-0.4402399094340734,-0.895026232737558,-0.5820715806913563,-0.7858152235899925,-0.3448819538410954,-0.1778276692619604,-0.0362392779170912,-0.8826555862915568,-0.6487083089691255,-0.4667219936187003,-0.429459790445255,-0.1271471620264692,-0.4427318571892036,-0.925346107122645,-0.3349650674021422,-0.725140037786254,-0.0591100241651281,-0.3560344246875166,-0.7570532400746721,-0.8499021009575534,-0.5914230084817382,-0.1034112656234751,-0.8454928800197621,-0.9922201477957372,-0.8146955812496743,-0.4785945099228565,-0.6250167275488661,-0.7284657873172151,-0.6901613336679273,-0.298659063165267,-0.0947891739358075,-0.3987302485601098,-0.2342748253882272,-0.2508822816796954,-0.8876485009074708,-0.5551961050778991,-0.7554972225006951,-0.5492032033840342,-0.7820310248440099,-0.5191034580081331,-0.5405724975653394,-0.9157022395929136,-0.8287269511837796,-0.9984319586434988,-0.1279304644530576,-0.49477264539981,-0.791074819577374,-0.4660137253026339,-0.5507716667067248,-0.2363887438826541,-0.5652421894957513,-0.8830405892104203,-0.3815327933082828,-0.2193168561245175,-0.1317545038856409,-0.5304573292236443,-0.9476349706377758,-0.7388249226012951,-0.01688079171968,-0.5550294601795331,-0.2700447103596035,-0.4002771856330243,-0.2446436963088607,-0.6204658593776609
OVOL2,ZEB,-0.5275683777795952,-0.0643041377058704,-0.9906065526878244,-0.9398757155628534,-0.2963204725693968,-0.2268009488849793,-0.1149206402708467,-0.4980175590540052,-0.1963809136535883,-0.2621930204421445,-0.3557386438721754,-0.3891335085797596,-0.2320700616441799,-0.4045998294084572,-0.9342570058548664,-0.0982416189532175,-0.8921721337943354,-0.8882354771535803,-0.821770275784337,-0.8130043380770624,-0.109623898991543,-0.4668900736657855,-0.3769887848856943,-0.9721249447200196,-0.2074920539544402,-0.6374038807901898,-0.8831315240093729,-0.566318710508265,-0.5618091732957713,-0.5783394699966022,-0.6748798401485314,-0.8916676220291297,-0.4500308458950517,-0.8194296714730125,-0.4788096313836751,-0.4949017806302473,-0.3143079560112614,-0.9383084741612682,-0.9168062983974457,-0.225562344042443,-0.6310198581746445,-0.3500051758406104,-0.674889439712717,-0.0432507958406667,-0.4345222836610278,-0.2143625757892349,-0.6877079767294125,-0.3755996870911458,-0.9037510037324994,-0.1908348571003166,-0.9519170049975652,-0.34370237252099,-0.2863586097412016,-0.0936199670610131,-0.5009737323782579,-0.2541027023701334,-0.540575025490067,-0.7646380103464117,-0.189182275633202,-0.1669035111707411,-0.6552280753348634,-0.468954263179641,-0.2275313902183922,-0.6377510552629699,-0.7365840034060456,-0.4213622666852796,-0.1175245535290119,-0.589018904753887,-0.2951791686463707,-0.9511433310943592,-0.1754320377492719,-0.4384731500275654,-0.8210787313548156,-0.1399916876203475,-0.6442084213287831,-0.8728510794639752,-0.3144254278707847,-0.7559975826210956,-0.6386001324305253,-0.2588271893492013,-0.9679966842268944,-0.196859022655129,-0.6259624911273192,-0.622959719821649,-0.3458048696672922,-0.8229638508539865,-0.6010683102359298,-0.5215330117003316,-0.5315263210819314,-0.5776278842704206,-0.9343786766846164,-0.1139942386211814,-0.2222150571801029,-0.2784048335059792,-0.0939081538736459,-0.0855804777704549,-0.7309698376853151,-0.2890916156431635,-0.5704669738071668,-0.7016721731664155
SNAIL,ZEB,0.1798496715692161,0.1759395902095621,0.1555949520125792,0.5207649252591988,0.964916471418818,0.8155012009858764,0.4392839207986336,0.8161382953088148,0.9771887698613452,0.9128192939102762,0.4322597112808173,0.5106177875924902,0.0375682958362506,0.6648399350185625,0.4785353708075652,0.8350065393372068,0.353104519387337,0.5492688139982433,0.0195164188254772,0.2148991226110468,0.6789857969546302,0.5204078539644728,0.849030908919389,0.158540809415004,0.1529945000749966,0.9774488120807824,0.9990435689689828,0.6489057710658606,0.8947685000649188,0.9340704488571572,0.9898205079733602,0.1835835035380155,0.2965478690807526,0.9550690365669964,0.1659443098859612,0.0517084283736015,0.3735527190940595,0.9924988948241192,0.2068135240230677,0.2073140967453117,0.9746823584703872,0.3304071649912636,0.1340650808526389,0.5259451723863189,0.5694265019208886,0.6453220276084342,0.0540085129952048,0.1873127396013698,0.8724086443132382,0.03911733174573,0.0129708952475813,0.206641528769979,0.1188312175111505,0.0472875808026798,0.2919637893737963,0.7897685980259883,0.2075713703594999,0.1079105932223847,0.7967384877613433,0.7255194831773559,0.857245415799613,0.2678263353668504,0.1196602352243998,0.7171569840837024,0.3195598910797947,0.1954610842752637,0.1518426682532008,0.8602137723202568,0.90281551886261,0.7976962701220032,0.0331423625616269,0.5639580663049786,0.8523138257401539,0.696490879565137,0.3942575222029432,0.3041085344547238,0.4779674714174167,0.4875281756635354,0.5708249785508832,0.262469063529483,0.5311587221967462,0.6697025099122813,0.9353288418847524,0.7754323731030073,0.5129735231666279,0.7272011237735054,0.9487765212766116,0.1063163402636158,0.1903843681659616,0.5351097339669022,0.7460718734742864,0.734818866218101,0.5895294287025341,0.0389390917999417,0.8522083873918302,0.0790124080790746,0.9902433586591846,0.7171998954524494,0.0722809961354649,0.9126944110679744
ZEB,ZEB,0.9199382556459588,0.8218293010779665,0.758304097409839,0.4448792053502493,0.3253984977725199,0.4615727267519909,0.2526763986264346,0.0218942308884444,0.5109433955608149,0.398570436778785,0.9396202420858332,0.5899220009065502,0.3073882335955775,0.8628287922402309,0.394265576323731,0.8160791173369872,0.6342109489959922,0.2025466387016643,0.6848859575977191,0.2550965406640897,0.3643573389201742,0.5287747905082707,0.2483508160713379,0.3997052552859106,0.5903190939949714,0.4986044934472815,0.4191231012687888,0.980392330513872,0.6365562653806951,0.2508468008214159,0.7633954808658028,0.2062671969982521,0.0874118189405332,0.3378631173438113,0.4260283099679243,0.785336722364778,0.6333750273503678,0.2070742192525732,0.542875663391263,0.3981358612533692,0.9627259871991922,0.8709665391366668,0.9793585021063432,0.6445059746858506,0.6460026169752908,0.0658754320706045,0.6949933799814414,0.536835444501405,0.091781672574521,0.6522448463281376,0.2756814554503273,0.4378665837761624,0.4574993500303135,0.4401280679422479,0.0424084813807661,0.4183563775796326,0.4313601933759445,0.2594654311037687,0.6885762870179839,0.4106174575061947,0.2242430351444417,0.2353347370261915,0.0261231086096047,0.8594878483755317,0.5516124341680504,0.7518926614670411,0.7752242668831588,0.5620674847023286,0.7378807829244403,0.4073606917318866,0.5585485636062382,0.2856060754056968,0.7216818886995515,0.5773289597195912,0.8824060632282689,0.1224593812630241,0.8331884991387832,0.0392148360911961,0.4356180378055101,0.5438823494786291,0.8042536157704825,0.6800562257467284,0.4554554241816568,0.8579998725769933,0.0281609340610347,0.4838351852510203,0.5386600536786585,0.8774177126472578,0.5286925177991981,0.4620239197097966,0.0486293839249769,0.4547773289097823,0.4074734942418467,0.3468236872660346,0.4298224214357937,0.3382557682159397,0.7902778304886509,0.1739664505588478,0.8104799956278652,0.8713889141676128
miR145,ZEB,-0.7828103579936552,-0.983781668470526,-0.0461948170036083,-0.9629530383842098,-0.7488431562633773,-0.8785155664595536,-0.708703667626776,-0.4234809361131897,-0.7416348584938866,-0.0946724581764981,-0.9479732492731544,-0.6270830511519665,-0.5482003278796137,-0.2165947354980122,-0.056619956492786,-0.4289465042384213,-0.8900778011940258,-0.8533753219297893,-0.4247040835521007,-0.1009730478801413,-0.0140508816912867,-0.5634757236219221,-0.6301970137820956,-0.1762289283093823,-0.754459819997447,-0.3837716044030907,-0.5087088008455165,-0.4964889214653349,-0.9374177784467592,-0.1975936886794467,-0.8671247164320044,-0.3084399450377306,-0.0871470357094827,-0.951621791795229,-0.7342982484054958,-0.8952696724498761,-0.5377567702769581,-0.0644858892387614,-0.464285911467672,-0.0836964210822506,-0.305325859984026,-0.9232011075610388,-0.2618280801964374,-0.6513435416619326,-0.9070952574929808,-0.8963081307389857,-0.5214134646718893,-0.9505424213232052,-0.7039193683420251,-0.6037128476680813,-0.8957877882905698,-0.6182725029809655,-0.1283696480513709,-0.9862514419751812,-0.8015199364579317,-0.8007592924247369,-0.490668933214321,-0.921935956243193,-0.9718900087957304,-0.7400244474907614,-0.4547595132863815,-0.0406751187017966,-0.94414453060794,-0.1277835422013666,-0.3913434183388844,-0.9305768781287652,-0.8490593345811945,-0.2836964058503124,-0.4726655306786977,-0.7273834232815117,-0.8200396215967642,-0.2635477540632203,-0.7990419385538863,-0.9791635408847332,-0.0301484077349563,-0.5694619874688072,-0.2542749882819959,-0.8885019619402434,-0.5194832559063571,-0.3372817662053324,-0.7086667808363865,-0.8031584085253898,-0.0919875391075248,-0.6063973329108161,-0.5265819243091006,-0.8283825899865191,-0.0744193219698541,-0.0553729245294007,-0.5450070561700446,-0.372430607141285,-0.5299523126820593,-0.2492973599063646,-0.0897280762794578,-0.3727847592100033,-0.862756034636446,-0.6903490579238745,-0.4517575641424383,-0.8792767676971276,-0.1159034810337054,-0.6721376572623676
miR200,ZEB,-0.0777858855024649,-0.3768618371886505,-0.2735798757080381,-0.2495185974604181,-0.4245288309356376,-0.6220706822431741,-0.6547446673676689,-0.3059120505348338,-0.7104024207789497,-0.5529734129356296,-0.0091534630005933,-0.5637157930324619,-0.5225606656218098,-0.2722104860816865,-0.4087224312898048,-0.5357822853036367,-0.1648086296035256,-0.6498565113561803,-0.6782561376868879,-0.6896674335530384,-0.6354760044135366,-0.7111744232882007,-0.6256572372983533,-0.0534538697370949,-0.1750130850738227,-0.153708834728325,-0.9777601930268762,-0.450964022187702,-0.964545267698378,-0.3685745723312625,-0.6296199634594593,-0.8275262848704477,-0.2398935353633515,-0.8742346473337868,-0.2692140314970142,-0.9406630697094924,-0.7562374202810482,-0.3234257845478268,-0.4616668748921706,-0.4760031419584751,-0.91314140082962,-0.3749925068885087,-0.7304859187388739,-0.9860624989782774,-0.1682148916184087,-0.998462565004686,-0.947781983172659,-0.7070209892837074,-0.4606397763688412,-0.6613026754441234,-0.3609992709360803,-0.8219988308524051,-0.7123054321922111,-0.7585094906859322,-0.6932533227545528,-0.6549310930866659,-0.840109921345124,-0.5906801405322821,-0.937857665987924,-0.7400971840863995,-0.1666115415275577,-0.5720616248364399,-0.940256461270956,-0.4903596106353207,-0.4378982706882481,-0.935491577480559,-0.3862945392645822,-0.8066530547963726,-0.3444988419134063,-0.326004418079221,-0.1618617375671809,-0.5936146972965335,-0.428683856704396,-0.2873693592844415,-0.8918281254891045,-0.3579533209593015,-0.5672879182925639,-0.8479222669637916,-0.0162049899182976,-0.7056884367061076,-0.8701147460397776,-0.3785862956650825,-0.0708851254740969,-0.5301248130427567,-0.4341505065500559,-0.9621754974140496,-0.1222852076279767,-0.6091837246693936,-0.2605201225323343,-0.3825412225576596,-0.5869623089237488,-0.8157145826270209,-0.2865271546988346,-0.6001528692234424,-0.5398622652060898,-0.4165458893271596,-0.8775840282067524,-0.8951349830897615,-0.259234005230015,-0.3345907039454461
