"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.00580357319929487,-1,1,-0.68262186780183,-0.00440273759279613,-1,-1,0.68262186780183,1,1
"GRHL2",1,1,-0.00580357319929487,-1,1,-0.68262186780183,-0.00440273759279613,-1,-1,0.68262186780183,1,1
"Iext",-0.00580357319929487,-0.00580357319929487,1,0.00580357319929487,-0.00580357319929487,-0.00463655836016927,0.0120446604496666,0.00580357319929487,0.00580357319929487,0.00463655836016927,-0.00580357319929487,-0.00580357319929487
"KEAP1",-1,-1,0.00580357319929487,1,-1,0.68262186780183,0.00440273759279613,1,1,-0.68262186780183,-1,-1
"NRF2",1,1,-0.00580357319929487,-1,1,-0.68262186780183,-0.00440273759279613,-1,-1,0.68262186780183,1,1
"OCT4",-0.68262186780183,-0.68262186780183,-0.00463655836016927,0.68262186780183,-0.68262186780183,1,0.00124041739814048,0.68262186780183,0.68262186780183,-1,-0.68262186780183,-0.68262186780183
"OVOL2",-0.00440273759279613,-0.00440273759279613,0.0120446604496666,0.00440273759279613,-0.00440273759279613,0.00124041739814048,1,0.00440273759279613,0.00440273759279613,-0.00124041739814048,-0.00440273759279613,-0.00440273759279613
"SNAIL",-1,-1,0.00580357319929487,1,-1,0.68262186780183,0.00440273759279613,1,1,-0.68262186780183,-1,-1
"ZEB",-1,-1,0.00580357319929487,1,-1,0.68262186780183,0.00440273759279613,1,1,-0.68262186780183,-1,-1
"miR145",0.68262186780183,0.68262186780183,0.00463655836016927,-0.68262186780183,0.68262186780183,-1,-0.00124041739814048,-0.68262186780183,-0.68262186780183,1,0.68262186780183,0.68262186780183
"miR200",1,1,-0.00580357319929487,-1,1,-0.68262186780183,-0.00440273759279613,-1,-1,0.68262186780183,1,1
"miR34",1,1,-0.00580357319929487,-1,1,-0.68262186780183,-0.00440273759279613,-1,-1,0.68262186780183,1,1
