"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"CD44s",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"CDH1",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"EMT",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"ESRP1",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"EXTGFB",-0.0109183919262437,0.0109183919262438,-0.0109183919262437,0.0109183919262438,-0.0109183919262437,1,-0.0109183919262437,0.0109183919262438,0.0109183919262438,-0.0109183919262437,0.00477622675171379,-0.0109183919262437,-0.0109183919262437,-0.0109183919262437,-0.0109183919262437,0.0109183919262438,0.0109183919262438,-0.00477622675171379,0.0109183919262438,0.0109183919262438
"GRHL2",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"HA",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"HAS2",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"MIR1199",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"MIR129",0.0721320326996158,-0.0721320326996159,0.0721320326996158,-0.0721320326996159,0.0721320326996158,0.00477622675171379,0.0721320326996158,-0.0721320326996159,-0.0721320326996159,0.0721320326996158,1,0.0721320326996158,0.0721320326996158,0.0721320326996158,0.0721320326996158,-0.0721320326996159,-0.0721320326996159,-1,-0.0721320326996159,-0.0721320326996159
"MIR190",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"MIR200",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"MIR34",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"MIR340",1,-1,1,-1,1,-0.0109183919262437,1,-1,-1,1,0.0721320326996158,1,1,1,1,-1,-1,-0.0721320326996158,-1,-1
"SNAIL1",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"TGFB",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"TWIST1",-0.0721320326996158,0.0721320326996159,-0.0721320326996158,0.0721320326996159,-0.0721320326996158,-0.00477622675171379,-0.0721320326996158,0.0721320326996159,0.0721320326996159,-0.0721320326996158,-1,-0.0721320326996158,-0.0721320326996158,-0.0721320326996158,-0.0721320326996158,0.0721320326996159,0.0721320326996159,1,0.0721320326996159,0.0721320326996159
"VIM",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
"ZEB1",-1,1,-1,1,-1,0.0109183919262438,-1,1,1,-1,-0.0721320326996159,-1,-1,-1,-1,1,1,0.0721320326996159,1,1
