states,Avg0,SD0,frust0
'10101010011111100000',0.2587,0.004532107677449864,0.025
'10001110010110110100',0.006833333333333333,0.0012710450643291747,0.225
'10011110010110100100',0.009466666666666667,0.0009533566430716728,0.3
'01000001100000011111',0.007066666666666666,0.0015282524515130198,0.1
'01010101100000011111',0.25076666666666664,0.002577250904010355,0.025
'10011110010110110100',0.032,0.0014165686240583863,0.225
'10101110011111100100',0.0063999999999999994,0.0001632993161855453,0.2
'01010001100000001111',0.0083,0.001256980508997653,0.275
'01010001100000011111',0.03286666666666667,0.002460803843372234,0.05
'10011110010111100000',0.0009666666666666666,0.0001885618083164127,0.225
'01010001100001001111',0.005866666666666667,0.00044969125210773475,0.25
'01100001100001011111',0.0034666666666666665,0.0001699673171197596,0.225
'01110001101000011011',0.0008333333333333332,0.00032998316455372216,0.225
'01100001100001011011',0.0028,0.0004320493798938573,0.325
'10011110011110100100',0.0029666666666666665,0.0004109609335312651,0.325
'01000001100000001111',0.0017666666666666664,0.0002494438257849294,0.325
'10011110011110110000',0.0074333333333333335,0.0009741092797468308,0.3
'01010001101001001011',0.0073999999999999995,0.0005099019513592784,0.225
'01100001101001001011',0.031266666666666665,0.0013888444437333114,0.225
'10001110011111100000',0.0013000000000000002,0.00021602468994692865,0.15
'01110001101001001011',0.0071666666666666675,0.0009741092797468309,0.225
'01110001101001001111',0.002533333333333333,0.0005249338582674541,0.325
'01100001101001001111',0.006633333333333334,0.0005312459150169742,0.325
'01010001101001011111',0.0008999999999999999,0.00042426406871192855,0.2
'10101110011110100000',0.006366666666666666,0.00016996731711975955,0.125
'10101110011111100000',0.03263333333333333,0.001517307556898807,0.05
'01000001101000001011',0.0011,0.0002449489742783178,0.3
'01000001100001011111',0.0025,0.00014142135623730967,0.175
'01100001101001011011',0.009133333333333332,0.0009030811456096047,0.3
'10101110010111110100',0.003933333333333334,0.00016996731711975955,0.25
'10101110011111110000',0.008599999999999998,0.0008286535263104036,0.275
'10011110011110110100',0.0015666666666666667,0.0003681787005729087,0.3
'10001110010110110000',0.0022,0.000648074069840786,0.325
'10111110011111100100',0.0029,0.0004320493798938573,0.25
'10011110011110100000',0.003366666666666667,0.00024944382578492955,0.225
'01010001101000011011',0.0065,0.0002943920288775946,0.175
'10111110010110100100',0.0026333333333333334,0.0008993825042154695,0.3
'10011110010110110000',0.007233333333333334,0.0006599663291074443,0.325
'01010001100000011011',0.007033333333333333,0.0006847546194724713,0.2
'10101110011110110000',0.0062,0.00043204937989385725,0.25
'01110001101001011111',0.0004333333333333333,4.714045207910316e-5,0.3
'01100001101000011111',0.0010666666666666665,0.0002867441755680876,0.225
'10101110010110110100',0.006466666666666667,0.0010964589468932353,0.225
'10111110011110110000',0.0013333333333333333,0.0005185449728701348,0.3
'01000001101001011011',0.0029666666666666665,0.0005734883511361752,0.3
'01100001100001001111',0.0075,0.0008831760866327844,0.3
'01010001100001011011',0.0029999999999999996,0.0002943920288775948,0.275
'10111110011111110000',0.0011333333333333332,9.428090415820628e-5,0.325
'01010001100001011111',0.0069,0.0008602325267042628,0.125
'01010001101000001011',0.0042,0.0002943920288775948,0.25
'01010001101000011111',0.0014666666666666667,0.00032998316455372216,0.125
'01010001101001001111',0.0036666666666666666,0.0008339997335464537,0.275
'10111110011111100000',0.007833333333333333,0.0006018490028422593,0.1
'01110001101000001011',0.0021666666666666666,0.0006599663291074443,0.25
'01110001100001001111',0.003766666666666667,4.714045207910309e-5,0.3
'10011110010111100100',0.005466666666666667,0.00033993463423951883,0.225
'10011110011111100000',0.0068000000000000005,0.0008041558721209879,0.15
'01000001100001001111',0.0011666666666666668,9.428090415820628e-5,0.3
'01100001101000001011',0.0061,0.0004320493798938574,0.25
'10011110011111110000',0.004366666666666667,0.0003399346342395191,0.325
'10001110010110100100',0.001233333333333333,4.714045207910319e-5,0.3
'01000001101001011111',0.0004666666666666666,0.0001247219128924647,0.25
'01000001101000011011',0.0039000000000000003,0.00014142135623730967,0.225
'10111110011110100100',0.0011333333333333334,0.00036817870057290875,0.325
'01000001101000001111',0.00036666666666666667,0.00020548046676563254,0.35
'10001110011110110000',0.0030333333333333336,0.0005312459150169744,0.3
'01100001100000001111',0.003533333333333333,0.0003091206165165235,0.325
'10011110010111110100',0.005833333333333334,0.0002624669291337269,0.25
'10011110011111100100',0.0036333333333333335,0.0001699673171197596,0.25
'01110001100000011111',0.0014,0.000282842712474619,0.15
