"Nature","Strength","Type","Node"
"P",0.674619451693942,"DA","SNAI1,SNAI1"
"N",0.714530091486613,"NF","SNAI1,Csl"
"P",0.680726095953733,"DA","SNAI1,TrCP"
"N",0.866580437690428,"NF","SNAI1,PAK1"
"N",0.546378269866776,"NF","SNAI1,EGR1"
"N",0.713622303622304,"NF","SNAI1,NOTCHic"
"N",0.551944387742266,"NF","SNAI1,cfos"
"N",0.860718717866893,"NF","SNAI1,CDC42"
"N",0.707666143380429,"NF","SNAI1,NOTCH"
"P",0.460571680414827,"DA","SNAI1,GSK3"
"N",0.762641492742291,"NF","SNAI1,Jagged"
"P",0.355089639791217,"DA","SNAI1,GLI"
"N",0.760213698497451,"NF","SNAI1,AKT"
"P",0.38070026991055,"DA","SNAI1,PI3K"
"N",0.969476910290375,"NF","SNAI1,ILK"
"P",0.356265728000656,"DA","SNAI1,SRC"
"P",0.373568620287568,"DA","SNAI1,Destcompl"
"N",0.482365879657053,"NF","SNAI1,SNAI2"
"P",0.79261404476294,"DA","SNAI1,HEY1"
"P",0.410687476451323,"DA","SNAI1,FUS"
"P",0.456727541673779,"DA","SNAI1,SMO"
"P",0.366559323459071,"DA","SNAI1,SUFU"
"P",0.508251351197588,"DA","SNAI1,Patched"
"P",0.519808685171411,"DA","SNAI1,TGF"
"P",0.193429711482783,"DA","SNAI1,RAS"
"P",0.376977564210076,"DA","SNAI1,TWIST1"
"P",0.11144503752437,"DA","SNAI1,cateninmemb"
"P",0.052887167263562,"TS","SNAI1,RAF"
"N",0.39607662604348,"NF","SNAI1,IKK"
"P",0.180845996946342,"DA","SNAI1,ERK"
"N",0.370840705191121,"NF","SNAI1,NFB"
"P",0.176418783858815,"DA","SNAI1,MEK"
"P",0.44813156566522,"DA","SNAI1,RKIP"
"P",0.283241071005359,"TS","SNAI1,SOSGRB2"
"N",0.444305663555609,"NF","SNAI1,Csn"
"P",0.51081460866556,"TS","SNAI1,TGFR"
"P",0.52696729231879,"TS","SNAI1,SHH"
"P",0.27125705268488,"TS","SNAI1,CD44"
"P",0.918717813829646,"TS","SNAI1,KLF4"
"N",0.7236429229058,"NF","SNAI1,FOXC2"
"P",0.282424660971132,"TS","SNAI1,cMet"
"P",0.257257576547193,"TS","SNAI1,Ecadherin"
"P",0.297277886673154,"TS","SNAI1,cateninnuc"
"P",0.403843525641172,"TS","SNAI1,AXIN2"
"P",0.398700199349564,"TS","SNAI1,TCFLEF"
"N",0.456598602964344,"NF","SNAI1,Wnt"
"P",0.919073894355126,"TS","SNAI1,SMAD"
"N",0.461732168585716,"NF","SNAI1,Frizzled"
"P",0.312604078108311,"TS","SNAI1,STAT"
"P",0.993101004401511,"TS","SNAI1,ZEB1"
"N",0.429717983276089,"NF","SNAI1,DELTA"
"N",0.444981596503335,"NF","SNAI1,DSH"
"P",1.13944490393895,"TS","SNAI1,ZEB2"
"P",0.470726095953733,"TS","SNAI1,LIV1"
"P",1.05948007219991,"TS","SNAI1,miR200"
"P",0.352442396313364,"TS","Csl,Csl"
"N",0.429487179487179,"NF","Csl,TrCP"
"P",0.629042735042735,"TS","Csl,PAK1"
"P",0.322820512820512,"TS","Csl,EGR1"
"P",0.255243754547659,"TS","Csl,NOTCHic"
"P",0.269523809523809,"TS","Csl,cfos"
"P",0.608695340501792,"TS","Csl,CDC42"
"P",0.257321676625582,"TS","Csl,NOTCH"
"N",0.143865066051021,"NF","Csl,GSK3"
"P",0.306664371163543,"NF","Csl,Jagged"
"N",0.188016962644326,"NF","Csl,GLI"
"P",0.376053468495329,"TS","Csl,AKT"
"N",0.0437359566969762,"NF","Csl,PI3K"
"N",0.613729016786571,"NF","Csl,ILK"
"N",0.180617715617716,"NF","Csl,SRC"
"N",0.211725026791091,"NF","Csl,Destcompl"
"N",0.445481418712553,"NF","Csl,SNAI2"
"P",0.792840424707433,"DA","Csl,HEY1"
"N",0.53513986013986,"NF","Csl,FUS"
"N",0.579524886877828,"NF","Csl,SMO"
"N",0.465909090909091,"NF","Csl,SUFU"
"N",0.617159295479979,"NF","Csl,Patched"
"N",0.762852655232355,"NF","Csl,TGF"
"N",0.0709418390499174,"NF","Csl,RAS"
"N",0.395753449590606,"NF","Csl,TWIST1"
"P",0.0726662407389158,"DA","Csl,cateninmemb"
"N",0.252069290030309,"NF","Csl,RAF"
"N",0.461545689452666,"NF","Csl,IKK"
"P",0.371052281052281,"DA","Csl,ERK"
"N",0.455122655122655,"NF","Csl,NFB"
"P",0.391788067005459,"DA","Csl,MEK"
"P",0.647412072905187,"DA","Csl,RKIP"
"N",0.435449488466176,"NF","Csl,SOSGRB2"
"N",0.335353535353536,"NF","Csl,Csn"
"N",0.744916147295847,"NF","Csl,TGFR"
"N",0.560262743755841,"NF","Csl,SHH"
"N",0.362368108082394,"NF","Csl,CD44"
"P",0.810011293054772,"TS","Csl,KLF4"
"N",0.633562351626868,"NF","Csl,FOXC2"
"N",0.344408924408925,"NF","Csl,cMet"
"P",0.153413684075635,"TS","Csl,Ecadherin"
"P",0.15278845716883,"TS","Csl,cateninnuc"
"N",0.159720662770732,"NF","Csl,AXIN2"
"P",0.149762648844146,"TS","Csl,TCFLEF"
"N",0.110348898413414,"NF","Csl,Wnt"
"N",0.901109969167523,"NF","Csl,SMAD"
"N",0.0427605727605728,"NF","Csl,Frizzled"
"N",0.235082956259427,"NF","Csl,STAT"
"N",1.05527623197302,"NF","Csl,ZEB1"
"P",0.0187359566969762,"NF","Csl,DELTA"
"P",0.076959706959707,"DA","Csl,DSH"
"N",1.01409033453713,"NF","Csl,ZEB2"
"N",0.349487179487179,"NF","Csl,LIV1"
"N",1.03247739509508,"NF","Csl,miR200"
"P",0.4,"DA","TrCP,TrCP"
"N",0.614285714285714,"NF","TrCP,PAK1"
"N",0.32,"NF","TrCP,EGR1"
