"","PAK1","CDC42","TrCP","Jagged","NOTCH","Csl","NOTCHic","SMAD","ILK","AKT","SHH","HEY1","cateninmemb","DSH","LIV1","cfos","ZEB1","ERK","MEK","EGR1","RAF","FOXC2","GSK3","SNAI2","PI3K","DELTA","RAS","TWIST1","cateninnuc","CD44","TCFLEF","SRC","cMet","GLI","RKIP","STAT","Wnt","Frizzled","Destcompl","AXIN2","SNAI1","SOSGRB2","SMO","FUS","NFB","Patched","IKK","SUFU","Csn","Ecadherin","TGFR","TGF","miR200","ZEB2","KLF4"
"DSH",0.386666666666667,0.377971014492754,-0.0666666666666667,0.0139209468142437,-0.126807995925643,-0.139285714285714,-0.117717086834734,0.0755050396236685,0.0721088132085741,-0.0970114942528736,0.107044719908365,0.0857179774313033,0.198095090744369,-0.125,-0.1,0.170980392156863,0.0428574879991642,0.152461873638344,0.157725031533081,0.153333333333333,0.238520782988251,0.0949943650800444,0.356238462713381,-0.0897590387077681,-0.238520782988251,-0.238520782988251,-0.24272246366052,-0.253780022647357,0.10757655381399,0.105095105312951,0.111761771979618,0.109210526315789,0.116353383458647,0.103935082805052,-0.206205461205461,0.125,0.116353383458647,0.109210526315789,-0.277945449384078,0.159771991329248,-0.289330572808834,-0.0860310421286031,-0.124242424242424,-0.0909090909090909,0.111666666666667,-0.111339198435973,0.0866666666666667,-0.1,0.0866666666666667,-0.269338296983135,-0.378923395445135,-0.381362419835378,-0.314920623922148,-0.404385603553182,-0.401811209920862
"GSK3",0.377971014492754,0.378923395445135,-0.0866666666666667,0.0111472241865064,-0.126028775146422,-0.117717086834734,-0.126807995925643,0.0774540651109248,0.0755050396236685,-0.10299440023578,0.104652375410758,0.0909082888499884,0.193674224254537,-0.109210526315789,-0.125,0.152461873638344,0.0477609055325966,0.157725031533081,0.159429576987627,0.170980392156863,0.24272246366052,0.0938779376478275,0.256238462713381,-0.0833742242125136,-0.24272246366052,-0.24272246366052,-0.239571203156318,-0.253908063620468,0.111063395919253,0.111761771979618,0.10757655381399,0.116353383458647,0.105095105312951,0.110538856389958,-0.202947315842053,0.109210526315789,0.103935082805052,0.116353383458647,-0.279600961888481,0.162055096352079,-0.292099122089011,-0.0892868560820915,-0.111339198435973,-0.124242424242424,0.0866666666666667,-0.107044719908365,0.0970114942528736,-0.0909090909090909,0.111666666666667,-0.272927365142503,-0.381362419835378,-0.378798317271276,-0.312693191331293,-0.40245395422183,-0.401047851142236
"Csn",0.393181818181818,0.382734056987788,-0.14,0.0492025581677691,-0.0910728160728161,-0.103535353535354,-0.0814574314574315,0.0708349832612155,0.0664648033126294,-0.0837333333333333,0.0787485415460032,0.0734357696566999,0.177727561176254,-0.0833333333333333,-0.0666666666666667,0.138181818181818,0.0607907361455749,0.118701298701299,0.123909632034632,0.12,0.257613541446528,0.118455318683251,0.361563933420401,-0.071425621091188,-0.257613541446528,-0.257613541446528,-0.262028128778581,-0.24091943275674,0.0693615922586803,0.0651923556294142,0.0729093974300573,0.0660919540229885,0.0745256889627475,0.0636086583950619,-0.208964479591057,0.0833333333333333,0.0745256889627475,0.0660919540229885,-0.29781399303139,0.10414246931067,-0.284037173666877,-0.119541104577424,-0.0968253968253968,-0.0634920634920635,0.0983333333333333,-0.0828469022017409,0.0733333333333333,-0.0857142857142857,0.065,-0.249813728219121,-0.38401610826984,-0.38855071447509,-0.290476213944856,-0.391141439205955,-0.38849242261007
"LIV1",0.3,0.301960784313725,0.0666666666666667,0.0955898517382413,0.0745787545787546,0.0897435897435898,0.078974358974359,0.070194572452637,0.0643881208397337,0.0200292397660819,0.0383101211810889,0.0600729047241086,0.143569697174347,0.12,0.1,0.0182608695652174,0.0928298934157564,0.0233456153279293,0.0326789486612626,0.04,0.121871512832775,0.0734568276427476,0.0243225108225108,-0.0290682221163603,-0.121871512832775,-0.121871512832775,-0.118235149196412,-0.118736683606249,-0.103443112624403,-0.104393304195284,-0.106615526417507,-0.108888888888889,-0.114294294294294,-0.10653972329197,-0.106943940037863,-0.12,-0.116783625730994,-0.108888888888889,-0.153549139099478,-0.138416829321188,-0.17267364177669,-0.197414741474147,-0.0410138248847926,-0.0571428571428571,-0.0416666666666667,-0.0373101211810889,-0.031140350877193,-0.0238095238095238,-0.0166666666666667,-0.22127420291311,-0.311051693404635,-0.311051693404635,-0.254752619398782,-0.370524662350998,-0.370791048659901
"EGR1",0.3,0.301960784313725,0.0666666666666667,0.0955898517382413,0.0745787545787546,0.0897435897435898,0.078974358974359,0.070194572452637,0.0643881208397337,0.0200292397660819,0.0383101211810889,0.0600729047241086,0.143569697174347,0.12,0.1,0.0182608695652174,0.0928298934157564,0.0233456153279293,0.0326789486612626,0.04,0.121871512832775,0.0734568276427476,0.0243225108225108,-0.0290682221163603,-0.121871512832775,-0.121871512832775,-0.118235149196412,-0.118736683606249,-0.103443112624403,-0.104393304195284,-0.106615526417507,-0.108888888888889,-0.114294294294294,-0.10653972329197,-0.106943940037863,-0.12,-0.116783625730994,-0.108888888888889,-0.153549139099478,-0.138416829321188,-0.17267364177669,-0.197414741474147,-0.0410138248847926,-0.0571428571428571,-0.0416666666666667,-0.0373101211810889,-0.031140350877193,-0.0238095238095238,-0.0166666666666667,-0.22127420291311,-0.311051693404635,-0.311051693404635,-0.254752619398782,-0.370524662350998,-0.370791048659901
"cfos",0.314285714285714,0.3,0.1,0.0992708333333333,0.078974358974359,0.0666666666666667,0.0897435897435898,0.0643881208397337,0.057936507936508,0.031140350877193,0.0373101211810889,0.0512493753123438,0.145950649555299,0.1,0.1,0.04,0.0860774818401937,0.0182608695652174,0.0233456153279293,0.12,0.116993464052288,0.0769051035048166,0.0228679653679654,-0.0341315132556008,-0.116993464052288,-0.116993464052288,-0.121871512832775,-0.116562770562771,-0.106615526417507,-0.114294294294294,-0.104393304195284,-0.12,-0.108888888888889,-0.116783625730994,-0.108601398601399,-0.1,-0.108888888888889,-0.12,-0.151895003761132,-0.143448275862069,-0.168616362540413,-0.194444444444444,-0.0571428571428571,-0.0238095238095238,-0.0166666666666667,-0.0410138248847926,-0.0416666666666667,-0.0666666666666667,-0.0666666666666667,-0.216222299798923,-0.301960784313725,-0.311051693404635,-0.253229776759189,-0.368916945309197,-0.365873015873016
"Jagged",0.2,0.3,0,0.0947186147186147,0.165714285714286,0.2,0.18,0.0690476190476191,0.0833333333333333,0.0333333333333333,0.0647435897435898,-0.0166666666666667,0.0404591183464423,0,0,0,0.113768115942029,0.02,0.02,0.1,0.0333333333333333,0.0471428571428571,-0.0340996168582375,-0.0718954248366013,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.105,-0.0318215118215118,-0.0276923076923077,-0.0307226107226107,0,-0.02,-0.0276923076923077,-0.0769230769230769,0,-0.02,0,-0.020988416988417,-0.0242857142857143,-0.15,-0.16,-0.0666666666666667,-0.1,-0.1,-0.0416666666666667,-0.0666666666666667,0,0,-0.0931929824561404,-0.311111111111111,-0.291111111111111,-0.240606060606061,-0.356763285024155,-0.361111111111111
"DELTA",0.2,0.3,0,0.0947186147186147,0.165714285714286,0.2,0.18,0.0690476190476191,0.0833333333333333,0.0333333333333333,0.0647435897435898,-0.0166666666666667,0.0404591183464423,0,0,0,0.113768115942029,0.02,0.02,0.1,0.0333333333333333,0.0471428571428571,-0.0340996168582375,-0.0718954248366013,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.105,-0.0318215118215118,-0.0276923076923077,-0.0307226107226107,0,-0.02,-0.0276923076923077,-0.0769230769230769,0,-0.02,0,-0.020988416988417,-0.0242857142857143,-0.15,-0.16,-0.0666666666666667,-0.1,-0.1,-0.0416666666666667,-0.0666666666666667,0,0,-0.0931929824561404,-0.311111111111111,-0.291111111111111,-0.240606060606061,-0.356763285024155,-0.361111111111111
"NOTCH",0.3,0.311111111111111,0,0.091014911014911,0.0818433179723502,0.18,0.165714285714286,0.0523809523809524,0.0690476190476191,0.0555555555555556,0.0529788838612368,-0.0384057971014493,0.0378413172993219,0,0,0.02,0.0952495974235105,0.02,-0.00142857142857143,0,0.0333333333333333,0.0655102040816326,-0.029554162312783,-0.0713663243075008,-0.0333333333333333,-0.0333333333333333,-0.0434782608695652,-0.113474576271186,-0.0281480424337567,-0.0307226107226107,-0.0318215118215118,-0.02,-0.0276923076923077,-0.0307226107226107,-0.0872679045092838,0,-0.0276923076923077,-0.02,-0.0247267347454263,-0.0299460916442049,-0.154615384615385,-0.165263157894737,-0.0416666666666667,-0.0666666666666667,-0.0666666666666667,-0.0647435897435898,-0.0333333333333333,-0.1,-0.1,-0.0923865308432371,-0.291111111111111,-0.291111111111111,-0.234891774891775,-0.353059581320451,-0.356763285024155
"Csl",0.291111111111111,0.291111111111111,0.0666666666666667,0.0860963127809154,0.0719390117522545,0.0818433179723502,0.0792117390249818,0.0650668036998972,0.0617334703665639,0.0354005167958656,0.0454612716995757,-0.0424480293789757,0.0395670059930214,0.0276923076923077,0.02,-0.00142857142857143,0.0955892741167783,0.00142857142857143,0.00903726708074534,0.02,0.0459413150567573,0.0610237376374354,-0.0262240341466661,-0.0734029105299083,-0.0459413150567573,-0.0459413150567573,-0.0437354327038162,-0.113426306185862,-0.0262217072105758,-0.0281480424337567,-0.0270793401436804,-0.0307226107226107,-0.0318215118215118,-0.0299161591097075,-0.0901107681426972,-0.0276923076923077,-0.0339484171742236,-0.0307226107226107,-0.0260314270062429,-0.0314385223782808,-0.152620278272452,-0.161863305714397,-0.0529788838612368,-0.0647435897435898,-0.0555555555555556,-0.0411509268719895,-0.048578811369509,-0.0416666666666667,-0.0333333333333333,-0.0926247871913977,-0.296843595187544,-0.295709808339472,-0.240596561623423,-0.352871326767555,-0.353191856452726
