"","FOXC2","PAK1","TGFR","CDC42","Jagged","SUFU","RKIP","SMO","Patched","Csl","cfos","NOTCH","NOTCHic","FUS","IKK","NFB","Csn","TrCP","SOSGRB2","EGR1","PI3K","DELTA","RAS","ZEB2","STAT","cMet","SRC","Ecadherin","LIV1","KLF4","miR200","GSK3","cateninmemb","Frizzled","CD44","TCFLEF","cateninnuc","GLI","Wnt","DSH","AXIN2","RAF","Destcompl","SNAI2","TWIST1","SNAI1","AKT","ERK","HEY1","MEK","SMAD","ZEB1","SHH","ILK","TGF"
"SNAI2",-0.539857532537483,-0.0745098039215686,-0.15582848524025,-0.117366946778711,-0.604012459323097,-0.2,-0.395051282051282,-0.364705882352941,-0.42797118847539,-0.230701754385965,0.0372549019607843,-0.302608794714058,-0.267543859649123,-0.3,0.175574712643678,0.158333333333333,0.133333333333333,0.1,-0.308553076402975,0.0666666666666667,-0.21186414662859,-0.21186414662859,-0.226476018774709,-0.262801342563457,-0.4,-0.575955734406439,-0.492857142857143,-0.834480310042039,-0.3,-0.246346153846154,0.132432556996694,-0.501794478912671,0.801493269490128,0.492857142857143,0.650149282793535,0.715510107535804,0.773118803187977,0.650287285208578,0.575955734406439,0.4,0.663485537229297,0.21186414662859,0.556432599326997,0.938723154261038,0.633428488188475,0.461121156419202,-0.18159880902922,-0.00784313725490197,0.0112417118746233,0.0191838897721251,0.0531780796421271,0.341563876651982,0.477266963123277,0.0393024815560027,0.189368857911057
"cateninmemb",-0.571261153049206,-0.139454545454545,-0.206186252771619,-0.175454545454545,-0.627329875731991,-0.3,-0.413052909280839,-0.4125,-0.454435483870968,-0.237033492822967,-0.0166844919786096,-0.296704669000485,-0.271054111379668,-0.35,0.134285714285714,0.134285714285714,0.12,0.1,-0.320987932954169,0.0127272727272727,-0.182175716440422,-0.182175716440422,-0.193628230406903,-0.25475916932001,-0.488235294117647,-0.633675132338072,-0.564979480164159,-0.643619661753667,-0.4,-0.256305672761369,0.104964472729836,-0.505189880030623,0.726692262107516,0.564979480164159,0.693541353073858,0.746467878603123,0.792126141908445,0.693944997405538,0.633944997405538,0.488235294117647,0.715510107535804,0.182175716440422,0.560221900270045,0.77945720882907,0.664807487737491,0.469862942067609,-0.140779220779221,0.0424576878548983,0.0293054280894786,0.0640263153058787,0.068788433870232,0.338102504658636,0.493018161036322,0.0583768115942029,0.23132187664142
"TWIST1",-0.572048328640602,-0.18969696969697,-0.265128004179728,-0.227628004179728,-0.566554203295741,-0.3,-0.409199333112377,-0.445777777777778,-0.485503805175038,-0.208148148148148,-0.105797101449275,-0.270726764500349,-0.241481481481481,-0.377777777777778,0.0672161172161172,0.0576923076923077,0.05,0,-0.298613311427957,-0.0666666666666667,-0.220188041396138,-0.220188041396138,-0.233886671533124,-0.253943417101312,-0.4,-0.562056737588652,-0.483333333333333,-0.772665672985474,-0.3,-0.242818428184282,0.124968382070363,-0.470480184125314,0.760282363573731,0.483333333333333,0.629928223532428,0.690724548187864,0.742535934041803,0.630280701754386,0.562280701754386,0.4,0.646814153588347,0.220188041396138,0.549374954882769,0.913110074607327,0.58483918128655,0.457010152102167,-0.0773856087415409,0.126849733028223,0.148128143043397,0.154212917107825,0.185461113678935,0.324036317018773,0.531316613056811,0.174570024570025,0.29405738914556
"AXIN2",-0.426968207436591,-0.24125,-0.281520949415492,-0.264706790123457,-0.375899247638378,-0.15,-0.401257631257631,-0.232417582417582,-0.255631868131868,-0.219649122807018,-0.23349593495935,-0.248558389216284,-0.235720551378446,-0.203846153846154,-0.158937198067633,-0.157487922705314,-0.144444444444444,-0.133333333333333,-0.195048663351609,-0.206666666666667,0.120226850676678,0.120226850676678,0.113140236503449,-0.239910285805985,-0.313333333333333,-0.387350975674953,-0.352868217054264,-0.218669844185675,-0.266666666666667,-0.236252514248481,0.0948823999263815,-0.398057071329383,0.428705230929895,0.352868217054264,0.419212174413124,0.446527531974671,0.470522343907226,0.419426447373066,0.387350975674953,0.313333333333333,0.760720196435773,-0.120226850676678,0.446456873781219,0.514416652144794,0.404891908232003,0.402684187394184,0.157826086956522,0.251252944305144,0.0652316471789088,0.261597771891351,0.0876466528640442,0.301210542979082,0.273008917312196,0.0812974465148378,0.294062203540905
"KLF4",-0.521146736573234,-0.0954545454545455,-0.175454545454545,-0.139454545454545,-0.58224978419881,-0.2,-0.373727066584209,-0.35,-0.4125,-0.205454545454545,0.0127272727272727,-0.271054111379668,-0.237033492822967,-0.3,0.134285714285714,0.12,0.1,0.1,-0.288093196112064,0.04,-0.168205128205128,-0.168205128205128,-0.182175716440422,-0.23390608875129,-0.4,-0.564979480164159,-0.488235294117647,-0.703882122540506,-0.3,-0.225925925925926,0.104033374033374,-0.471635796145413,0.777859239901923,0.488235294117647,0.633675132338072,0.693541353073858,0.746467878603123,0.633944997405538,0.564979480164159,0.4,0.650149282793535,0.168205128205128,0.525366355069673,0.720998449045807,0.613969498910675,0.433786992700521,-0.134285714285714,0.0166844919786096,0.0205805958747135,0.0424576878548983,0.0583768115942029,0.313931888544892,0.454435483870968,0.0453333333333333,0.206186252771619
"cateninnuc",-0.58109568573503,-0.217714285714286,-0.267245673866363,-0.245406593406593,-0.538545356405132,-0.233333333333333,-0.417697926556487,-0.33448087431694,-0.371126837049859,-0.194852479598242,-0.0542443064182195,-0.236237257610927,-0.215782712156382,-0.303333333333333,0.0467424242424242,0.0367424242424242,0.0458333333333333,0.0333333333333333,-0.31522855720056,-0.0304347826086957,-0.101594891594892,-0.101594891594892,-0.111864251864252,-0.216724546539228,-0.451048951048951,-0.569285666024796,-0.51493783993784,-0.541443338740665,-0.381818181818182,-0.240940475104176,0.0714646161038851,-0.498453979349547,0.635996557175568,0.515432512692787,0.61809518983432,0.659394667056128,0.595876301963612,0.618792196487253,0.569780338779743,0.451048951048951,0.746467878603123,0.101594891594892,0.553860315720004,0.799879418245467,0.578467854067596,0.465039706439619,-0.0506486742424242,0.0732316481903714,0.0570496905925515,0.0874518316766099,0.089189084373259,0.322112624444585,0.398359952518269,0.0811399711399712,0.287114669499551
"Destcompl",-0.39690387910519,-0.231224489795918,-0.25432793807178,-0.24432793807178,-0.362661789031151,-0.188888888888889,-0.370098733667707,-0.226130268199234,-0.240119905504933,-0.185883274578927,-0.200839160839161,-0.207374082281288,-0.196752839796318,-0.206130268199234,-0.107235185496055,-0.109937888198758,-0.114285714285714,-0.1,-0.177084388331483,-0.188717948717949,0.0500638617292598,0.0500638617292598,0.0456682573336554,-0.197723558433549,-0.319047619047619,-0.380902727069155,-0.350554468362688,-0.225669667204931,-0.283333333333333,-0.200277636764125,0.0627850009049187,-0.349611286432711,0.41956124683608,0.350554468362688,0.405529592740797,0.427584387261345,0.44640131739903,0.405922862344943,0.381247537669618,0.319047619047619,0.446527531974671,-0.0500638617292598,0.299306332314527,0.503078439532419,0.381356936645701,0.366927120853546,0.104550621737666,0.206850089800909,0.0723471400394477,0.2140230855815,0.0913450292397661,0.264581920032891,0.255787216916925,0.0888888888888889,0.262702322308234
"TCFLEF",-0.59511885834197,-0.361538461538462,-0.392314379817097,-0.375491949910555,-0.311820866474807,-0.166666666666667,-0.260426596868255,-0.22,-0.24258064516129,-0.0693607524310537,-0.0613588850174216,-0.101990548535542,-0.0850470269408576,-0.186666666666667,0.1022387934646,0.099012987012987,0.087012987012987,0.114285714285714,-0.288541685859051,-0.0442857142857143,-0.160808424979905,-0.160808424979905,-0.16724732116913,-0.177716374269006,-0.329166666666667,-0.414337606837607,-0.374166666666667,-0.367128740027573,-0.266666666666667,-0.272685892538834,0.043895669257115,-0.370984681825134,0.406256567314718,0.376372549019608,0.44704200935333,0.376480726420913,0.401652547726755,0.448841625836511,0.416543489190548,0.331372549019608,0.781878876678877,0.160808424979905,0.442562988039028,0.599961608023355,0.488852999226445,0.374181987236381,-0.100064880421122,0.0718350754936121,0.0523362197481524,0.0861207897793264,0.0697776499885788,0.270528973950027,0.260372056204235,0.0680568086883876,0.406883916240938
"STAT",-0.339134287661895,-0.245454545454545,-0.254336124401914,-0.251704545454545,-0.16206607719102,-0.1,-0.251311132561133,-0.095,-0.106627906976744,-0.0725490196078431,-0.26,-0.0898148291066623,-0.0752517223105458,-0.075,-0.0157142857142857,-0.03,-0.05,0,-0.219047619047619,-0.2,-0.139004342431762,-0.139004342431762,-0.141989417058627,-0.142549757934373,-0.142857142857143,-0.204220779220779,-0.167857142857143,-0.175806566160552,0,-0.0459992077639136,0.0154891245595346,-0.179879839786382,0.261641068426053,0.167857142857143,0.223878898878899,0.248800034525587,0.267512787803298,0.223548510313216,0.204220779220779,0.142857142857143,0.263521968227851,0.139004342431762,0.250150446932239,0.327669470036484,0.315262065936729,0.230270903675683,0.0140193704600484,0.242352941176471,0.084,0.254180898165718,0.0817646732189461,0.154635108481262,0.134061535295328,0.092109500805153,0.262548684788387
"ZEB1",0.0900752332758359,-0.0909961685823755,-0.0522115000029596,-0.0750541395968682,0.143291070219602,0.00833333333333333,0.111324239912248,0.0731060606060606,0.0887923351158645,0.0375,-0.0626666666666667,0.0636221844109545,0.0512254901960784,0.0458333333333333,-0.0464308311763014,-0.0480701754385965,-0.0533333333333333,-0.0333333333333333,0.0651461988304093,-0.0666666666666667,0.104142046630616,0.104142046630616,0.111543621433766,-0.113576091721431,0.32051282051282,0.381631902291874,0.352220137585991,0.302103723331975,0.266666666666667,-0.113665672000481,-0.181831130811256,0.33256695847298,-0.441470365831116,-0.34123112659698,-0.41079856895854,-0.434468781724498,-0.454821032213735,-0.401209979359338,-0.372000357366211,-0.309523809523809,-0.443960038566578,-0.104142046630616,-0.377474965914659,-0.383619252415844,-0.266638951136381,-0.155272575502587,0.0464308311763014,0.0450196078431373,-0.00300681184100873,0.0287200483717716,-0.00611075955164591,-0.142351673226089,-0.0969773884966474,0.00302385583296947,0.0384319724439045
