"","GSK3","RKIP","MEK","TWIST1","SNAI1","KLF4","Destcompl","EGR1","RAS","RAF","PI3K","DELTA","NFB","Csn","Frizzled","DSH","GLI","Wnt","SUFU","HEY1","CD44","TCFLEF","ILK","FUS","AXIN2","SMO","Patched","NOTCHic","NOTCH","Csl","SNAI2","PAK1","TGF","TGFR","CDC42","SOSGRB2","Jagged","SHH","ZEB2","ZEB1","SMAD","cateninnuc","cMet","TrCP","STAT","SRC","LIV1","IKK","AKT","ERK","miR200","cfos","cateninmemb","Ecadherin","FOXC2"
"SMAD",-0.132096402622718,-0.204652874184739,-0.250596028127911,-0.155702295621807,-0.176498921777148,0.114472194337502,-0.0628571611105809,-0.257142857142857,-0.126280082401319,-0.128253766611845,-0.128253766611845,-0.128253766611845,-0.134126984126984,-0.138888888888889,-0.0134920634920635,-0.019047619047619,-0.0171030208799993,-0.0192612942612943,-0.108333333333333,-0.1070209556137,-0.00349562855445209,-0.00146035039977095,-0.0919634703196347,-0.0958333333333333,-0.00213406309443725,-0.100833333333333,-0.101750764525994,-0.0811494252873563,-0.0787684729064039,-0.08,-0.0700344916529267,-0.00476190476190476,-0.0182085352671871,-0.0213957862632031,-0.0230717639168343,0.0136572020112393,0.099377321603128,0.0954310619237634,-0.124082647276781,-0.124082647276781,-0.00422700587084149,0.00257483874830185,0.00604108309990663,0.15,0.00571428571428572,0.000158730158730161,0.02,0.13608776844071,0.134754435107376,0.254442181974065,0.0606462817632182,0.247465437788018,0.0235136433006609,0.0377976047071082,0.278190646521776
"MEK",-0.284663677216869,-0.113367978770456,-0.188289312790413,0.00993868876221817,-0.120715890460653,0.0787661406025825,-0.225671283485768,-0.08,-0.219330669330669,-0.220917970917971,-0.220917970917971,-0.220917970917971,-0.226785714285714,-0.214285714285714,0.08,0.1,0.0974825174825175,0.0953846153846154,-0.1,-0.099611445465104,0.101693043798307,0.0973673440527599,-0.0964650669174748,-0.14,0.0799859986568847,-0.112,-0.110360655737705,0.00672105672105672,-0.00568770240303087,-0.0202020202020202,-0.111924442748358,-0.133333333333333,-0.128217022534507,-0.109968847352025,-0.133333333333333,-0.157333333333333,0.126437226063572,0.116243008678881,-0.100105076176812,-0.100105076176812,0.0968340706075117,-0.0992260801122394,-0.0995951417004049,0.2,-0.1,-0.0842105263157895,-0.1,0.217694805194805,0.214165393430099,0.09995597945708,0.0714418174877585,0.076551724137931,-0.138639182326413,-0.114589824102165,0.151945181255526
"AKT",-0.35911980791013,-0.262262865012226,-0.230594582717918,-0.0971153681479523,-0.225602926398121,0.116008771929825,-0.269749716982275,-0.2,-0.245475159488693,-0.243788412500741,-0.243788412500741,-0.243788412500741,-0.249019607843137,-0.266666666666667,0.188405797101449,0.166666666666667,0.191070171832863,0.196098104793757,-0.05,0.002862493738129,0.191013359031045,0.192456658000117,-0.00117486994797919,-0.0333333333333333,0.119909231562661,-0.0256410256410256,-0.0311965811965812,0.0928660049627792,0.0928660049627792,0.105769230769231,-0.0717625714677009,-0.154411764705882,-0.140709310944185,-0.145241032998565,-0.118411764705882,-0.0926923076923077,0.0736754966887417,0.036459739091318,-0.0936079740046834,-0.0936079740046834,-0.00656923779612856,-0.194610504153963,-0.196098104793757,0.233333333333333,-0.166666666666667,-0.188405797101449,-0.2,0.246455505279035,0.149485808309338,0.217936354869817,0.0491103731942691,0.229411764705882,-0.123753143428431,-0.10056744727081,0.313635307781649
"cateninnuc",-0.250296416287934,-0.211205922282845,-0.135389480882102,-0.132814415371922,-0.189854826110216,0.0728655290932871,-0.244810640080146,-0.129710144927536,-0.169172654172654,-0.169846054846055,-0.169846054846055,-0.169846054846055,-0.15719696969697,-0.154166666666667,-0.00801481623399431,-0.00116550116550116,-0.0037658043762868,-0.00692785971225518,0.0333333333333333,0.0397216445368741,-0.00484044940566679,-0.00640878398371011,0.0212741702741703,0.0233333333333333,0.0213483768276578,0.0118579234972678,0.0162057495842243,0.161994335683733,0.162448881138278,0.158505963590709,-0.0249177543989059,-0.0222857142857143,-0.0273780505495609,-0.0251946444360238,-0.0315164835164835,0.135023023909208,-0.0214495590805276,-0.0155521548129824,-0.0879268448933247,-0.0879268448933247,-0.0200463394419738,-0.0933978992529648,0.00841187797709536,0.166666666666667,0.00116550116550116,0.0094988344988345,0.0242424242424242,0.15919696969697,0.15919696969697,0.134472049689441,0.0403415298193664,0.134472049689441,0.0913963042464086,0.0717066890932201,0.224420917879934
"PAK1",0.0979274891774892,-0.130500972324177,-0.169429624170965,-0.0870975908149821,-0.088896855236845,0.0709450949778819,0.0940685045948204,-0.2,0.0272678482578052,0.024086030075987,0.024086030075987,0.024086030075987,0.00416666666666667,-0.00833333333333333,0.0611111111111111,0.05,0.0517529596348595,0.0532163742690058,-0.019047619047619,0.00576770438310257,0.052012903993102,0.0553462373264353,0.00703191670933606,-0.00238095238095238,0.0560854478421167,0.000844854070660522,-0.00779712123798145,-0.0258974358974359,-0.026996336996337,-0.0243589743589744,-0.0681161651493352,0.00952380952380953,-0.00834387406229257,-0.0105296664120193,-0.0120448179271709,4.12541254125404e-05,0.0083096881390593,-0.00120287876201855,-0.0857205574111128,-0.0857205574111128,-0.00122546509643284,-0.0536910649126422,-0.053003003003003,0.0333333333333333,-0.05,-0.0611111111111111,-0.05,-0.00416666666666667,-0.00416666666666667,0.181429624170965,0.0508264404054192,0.169565217391304,-0.0913796763743233,-0.087253062003696,0.181030501351087
"RKIP",-0.284909377462569,-0.100210084033613,-0.09995597945708,0.0168983957219251,-0.125203069947833,0.102295552367288,-0.224834463402086,0.02,-0.220917970917971,-0.214935064935065,-0.214935064935065,-0.214935064935065,-0.214285714285714,-0.2,0.1,0.1,0.0953846153846154,0.08,-0.1,-0.0977932636469222,0.0995951417004049,0.101693043798307,-0.0954749679075738,-0.1,0.0826887013595874,-0.14,-0.112,-0.0202020202020202,0.00672105672105672,-0.0111111111111111,-0.115330768782421,-0.1,-0.109968847352025,-0.133333333333333,-0.133333333333333,-0.159555555555556,0.124797881801277,0.110360655737705,-0.0762955523672884,-0.0762955523672884,0.0964650669174748,-0.0973673440527599,-0.0842105263157895,0.2,-0.1,-0.1,0,0.226785714285714,0.217694805194805,0.076551724137931,0.0488411982927121,0.08,-0.138883084765438,-0.112768330477393,0.151945181255526
"RAF",-0.284909377462569,-0.100210084033613,-0.09995597945708,0.0168983957219251,-0.125203069947833,0.102295552367288,-0.224834463402086,0.02,-0.220917970917971,-0.214935064935065,-0.214935064935065,-0.214935064935065,-0.214285714285714,-0.2,0.1,0.1,0.0953846153846154,0.08,-0.1,-0.0977932636469222,0.0995951417004049,0.101693043798307,-0.0954749679075738,-0.1,0.0826887013595874,-0.14,-0.112,-0.0202020202020202,0.00672105672105672,-0.0111111111111111,-0.115330768782421,-0.1,-0.109968847352025,-0.133333333333333,-0.133333333333333,-0.159555555555556,0.124797881801277,0.110360655737705,-0.0762955523672884,-0.0762955523672884,0.0964650669174748,-0.0973673440527599,-0.0842105263157895,0.2,-0.1,-0.1,0,0.226785714285714,0.217694805194805,0.076551724137931,0.0488411982927121,0.08,-0.138883084765438,-0.112768330477393,0.151945181255526
"cfos",0.099745670995671,-0.133263403263403,-0.181429624170965,-0.0865541125541126,-0.0929541344731218,0.0971746031746032,0.0928654970760234,-0.28,0.024086030075987,0.0265250544662309,0.0265250544662309,0.0265250544662309,-0.00833333333333333,-0.0333333333333333,0.05,0.05,0.0532163742690058,0.0611111111111111,-0.0333333333333333,-0.00599700149925037,0.053003003003003,0.052012903993102,-0.00264550264550265,-0.019047619047619,0.0548275862068966,-0.00238095238095238,0.000844854070660522,-0.0243589743589744,-0.0258974358974359,-0.0166666666666667,-0.0666695105381237,-0.0428571428571429,-0.0105296664120193,-0.0120448179271709,0.00952380952380953,0.0208333333333333,0.0126041666666667,0.00779712123798145,-0.0706080172181867,-0.0706080172181867,-0.00703191670933606,-0.0553462373264353,-0.0611111111111111,0,-0.05,-0.05,-0.1,-0.00416666666666667,-0.00416666666666667,0.169565217391304,0.0350903997962822,0.2,-0.0910133760080229,-0.0867686329379521,0.178961535833846
"CDC42",0.099745670995671,-0.133263403263403,-0.181429624170965,-0.0865541125541126,-0.0929541344731218,0.0971746031746032,0.0928654970760234,-0.18,0.024086030075987,0.0265250544662309,0.0265250544662309,0.0265250544662309,-0.00833333333333333,-0.0333333333333333,0.05,0.05,0.0532163742690058,0.0611111111111111,-0.0333333333333333,-0.00599700149925037,0.053003003003003,0.052012903993102,-0.00264550264550265,-0.019047619047619,0.0548275862068966,-0.00238095238095238,0.000844854070660522,-0.0243589743589744,-0.0258974358974359,-0.0166666666666667,-0.0666695105381237,0.0571428571428571,-0.0105296664120193,-0.0120448179271709,0.00952380952380953,0.0208333333333333,0.0126041666666667,0.00779712123798145,-0.0706080172181867,-0.0706080172181867,-0.00703191670933606,-0.0553462373264353,-0.0611111111111111,0,-0.05,-0.05,-0.1,-0.00416666666666667,-0.00416666666666667,0.169565217391304,0.0350903997962822,0.2,-0.0910133760080229,-0.0867686329379521,0.178961535833846
"Jagged",0.0256704980842912,-0.143589743589744,-0.213333333333333,-0.105,-0.116666666666667,0.105555555555556,-0.0102857142857143,-0.1,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0,0,0,0,-0.0123076923076923,-0.02,0,-0.1,-0.0123076923076923,-0.00927738927738928,0,0,-0.00428571428571428,-0.0333333333333333,-0.00833333333333333,-0.12,-0.0914285714285714,-0.1,-0.0632478632478632,0,0.0168888888888889,-0.0111111111111111,0,0.02,-0.00251082251082251,0.000641025641025639,-0.0664251207729469,-0.0664251207729469,-0.00476190476190476,0.0125740925740926,0.02,0,0,0,0,0.0333333333333333,0.0222222222222222,0.18,0.0321212121212121,0.2,0.0304993597951344,0.0452631578947368,0.204285714285714
