"","CDC42","TGFR","TGF","PAK1","Frizzled","TWIST1","Csl","FUS","TCFLEF","cateninnuc","CD44","LIV1","NOTCHic","SUFU","SNAI1","RKIP","RAF","PI3K","DELTA","RAS","Destcompl","Csn","ZEB2","ZEB1","MEK","SNAI2","EGR1","FOXC2","cfos","GSK3","ERK","KLF4","miR200","cateninmemb","IKK","TrCP","NFB","AKT","HEY1","Ecadherin","ILK","SMAD","NOTCH","cMet","SHH","SRC","Patched","GLI","Wnt","SMO","SOSGRB2","Jagged","STAT","DSH","AXIN2"
"SMO",-0.42,-0.411666666666667,-0.422477477477477,-0.4,-0.15,-0.137636165577342,-0.0333333333333333,-0.333333333333333,-0.0579180151024811,-0.051151097809248,-0.0588888888888889,-0.1,-0.0242424242424242,-0.3,-0.227726574500768,-0.197460317460317,0.0105769230769231,0.0105769230769231,0.0105769230769231,0.0222048300536673,0.0149613177520154,0.1,-0.285028248587571,-0.285028248587571,-0.0427505827505827,0.0281948549534756,0,-0.0846551724137931,0.06,0.0426224261175718,0.0215384615384615,-0.269444444444444,-0.155877034358047,-0.0861890594007725,-0.0357142857142857,0,-0.05,-0.00771428571428571,0.0945054945054945,-0.00320820247037422,0.1,0.107936507936508,0.0492424242424242,0.07,0.276944444444444,0.05,0.265833333333333,0.163888888888889,0.175,0.253333333333333,0.236842105263158,0.124497354497355,0.1,0.2,0.224690252276459
"Patched",-0.4,-0.42,-0.411666666666667,-0.3,-0.2,-0.143518518518519,0,-0.3,-0.0588888888888889,-0.0579180151024811,-0.07,-0.1,-0.0333333333333333,-0.2,-0.213440860215054,-0.208571428571429,0.0230769230769231,0.0230769230769231,0.0230769230769231,0.0105769230769231,0.0219380619380619,0,-0.283333333333333,-0.283333333333333,-0.0215384615384615,0.0300996168582375,0.1,-0.095,0,0.0241758241758242,0.06,-0.261111111111111,-0.157142857142857,-0.084247311827957,-0.05,0,-0.1,-0.0357142857142857,0.0897435897435897,-0.00874325782092772,0.1,0.1,0.0242424242424242,0.05,0.265833333333333,0.1,0.253333333333333,0.175,0.15,0.333333333333333,0.2,0.131640211640212,0.1,0.2,0.228138528138528
"SHH",-0.3,-0.4,-0.42,-0.2,-0.2,-0.125,-0.1,-0.2,-0.07,-0.0588888888888889,-0.05,0,0,-0.2,-0.216666666666667,-0.18,0,0,0,0.0230769230769231,0.00545454545454545,0,-0.275,-0.275,-0.06,0.0207662835249042,0,-0.075,0.1,0.0384615384615385,0,-0.25,-0.15,-0.0870250896057348,-0.1,0,0,-0.05,0.0666666666666667,-0.00388888888888889,0.0666666666666667,0.1,0.0333333333333333,0.1,0.253333333333333,0.1,0.333333333333333,0.15,0.2,0.3,0.2,0.105714285714286,0.1,0.2,0.219047619047619
"Frizzled",-0.326666666666667,-0.331014492753623,-0.326252587991718,-0.333333333333333,-0.025,-0.158697478991597,-0.107142857142857,-0.05,0.00715779515012697,-0.000937442945111122,-0.0093984962406015,-0.1,-0.148809523809524,0,-0.197135955831608,-0.197142857142857,0.166404647983595,0.166404647983595,0.166404647983595,0.146719608613517,-0.00872455617188514,-0.133333333333333,-0.253491862816124,-0.253491862816124,-0.0729411764705882,0.0428826280865876,0.133333333333333,-0.090786178325958,0.0533333333333333,-0.0684326018808777,0.106274509803922,-0.246218487394958,-0.140943813131313,-0.0505434490180253,0.163333333333333,0.1,0.113333333333333,0.144583333333333,0.0631533006001091,-0.0986390019631562,0.0813357185450209,0.0729245035917498,0.127240896358543,-0.00131578947368421,0.0701508169250105,0.025,0.0733766233766234,0.0093984962406015,-0.00131578947368421,0.0590909090909091,0.212121212121212,0.0393360071301248,0,-0.1,0.0647498238195913
"STAT",-0.283522727272727,-0.27825956937799,-0.275844110440792,-0.277272727272727,-0.0732142857142857,-0.20757186341894,-0.0509803921568627,-0.075,-0.0705180685070275,-0.0694453629051205,-0.0689407814407814,-0.2,-0.04827768945416,-0.05,-0.16267248130714,-0.138643822393822,-0.0392834987593052,-0.0392834987593052,-0.0392834987593052,-0.0362984241324395,-0.0559398954274014,0,-0.239698762775686,-0.239698762775686,-0.00459203036053131,0.0126377940788298,-0.0666666666666667,0.00584049079754601,-0.00666666666666667,-0.0374143302180685,-0.000784313725490195,-0.138383838383838,-0.122894384271636,0.00520646758327204,0.0447619047619048,0,0.04,0.0498466505246166,0.0653333333333333,-0.0182160069564177,0.0689210950080515,0.0735187961574768,0.0511903108133833,0.0732142857142857,0.0651227961857721,0.0732142857142857,0.0660077519379845,0.0690126050420168,0.0732142857142857,0.0683333333333333,0.131527093596059,0.0508749519449201,0.0857142857142857,0.0857142857142857,0.119040567275861
"GLI",-0.341666666666667,-0.337264150943396,-0.334205327413984,-0.341666666666667,-0.0103225806451613,-0.100945230019933,-0.0729619805481874,-0.180952380952381,0.110782516948582,0.111559564169144,0.111107192273258,0.1,-0.0679619805481874,-0.180952380952381,-0.150802447952414,-0.138131434933818,0.130210772833724,0.130210772833724,0.130210772833724,0.128428594615902,0.107229965940164,-0.116666666666667,-0.239608465608466,-0.239608465608466,0.0779593886776207,0.097737021192855,-0.0742857142857143,-0.0428945218438252,-0.0742857142857143,0.213478998104088,-0.072987012987013,-0.242253968253968,-0.120112044817927,-0.0671895457856092,0.109362692445399,0.0833333333333333,0.11140350877193,0.109362692445399,0.0866598926446125,-0.105088218287072,0.0932140219500884,0.0932140219500884,0.0660572186434255,-0.114555468135327,0.178105316200554,-0.109677419354839,0.17687074829932,-0.089377043885502,0.00679316888045541,0.180952380952381,0.231529326131096,0.0437207217004737,-0.1,0.02,-0.14161231884058
"Csn",-0.320386702849389,-0.317822600285287,-0.315674628924905,-0.315909090909091,0.000574712643678163,-0.153193860059218,-0.144949494949495,-0.053968253968254,0.00366407760620781,0.00697135361342368,0.0107380325901306,0,-0.130663780663781,-0.0428571428571429,-0.216503833560436,-0.189771498476292,0.162629861090145,0.162629861090145,0.162629861090145,0.172418728652526,-0.020409650379566,-0.12,-0.2356211745244,-0.2356211745244,-0.0862175324675325,0.054462415860365,0.0266666666666667,-0.089737187456831,0.0812121212121212,-0.0507913216643957,0.0591341991341991,-0.23967966673849,-0.123999926312015,-0.0615435757417756,0.1575,0.02,0.17,0.1711,0.057281284606866,-0.0996481610674632,0.0664790372670807,0.0703350783981861,0.140279165279165,0.00303974518764714,0.0557349959518125,-0.000574712643678163,0.0598333566075502,-0.010497372716283,0.00303974518764714,0.0630591630591631,0.219670240977747,0.0188172116284625,0.0166666666666667,0.0166666666666667,0.0279779469625433
"Jagged",-0.2,-0.166666666666667,-0.154666666666667,-0.2,0.1,-0.046,-0.1,0,0.115337995337995,0.125228105228105,0.112307692307692,0,-0.08,0,-0.116666666666667,-0.0923076923076923,0.1,0.1,0.1,0.1,0.0843088803088803,0,-0.206763285024155,-0.206763285024155,-0.00666666666666667,0.120412267471091,0.1,-0.0328571428571428,0,0.0923371647509579,-0.06,-0.211111111111111,-0.102424242424242,-0.0494201573074812,0.0333333333333333,0,0,0.0888888888888889,-0.0333333333333333,-0.0891929824561404,0.0666666666666667,0.0619047619047619,0.108571428571429,-0.12,0.0256410256410256,-0.1,0.0333333333333333,-0.112307692307692,-0.12,0.0333333333333333,0.22,-0.00614718614718615,0,0,-0.152857142857143
"DELTA",-0.2,-0.166666666666667,-0.154666666666667,-0.2,0.1,-0.046,-0.1,0,0.115337995337995,0.125228105228105,0.112307692307692,0,-0.08,0,-0.116666666666667,-0.0923076923076923,0.1,0.1,0.1,0.1,0.0843088803088803,0,-0.206763285024155,-0.206763285024155,-0.00666666666666667,0.120412267471091,0.1,-0.0328571428571428,0,0.0923371647509579,-0.06,-0.211111111111111,-0.102424242424242,-0.0494201573074812,0.0333333333333333,0,0,0.0888888888888889,-0.0333333333333333,-0.0891929824561404,0.0666666666666667,0.0619047619047619,0.108571428571429,-0.12,0.0256410256410256,-0.1,0.0333333333333333,-0.112307692307692,-0.12,0.0333333333333333,0.22,-0.00614718614718615,0,0,-0.152857142857143
"NOTCH",-0.166666666666667,-0.154666666666667,-0.154666666666667,-0.2,0.12,-0.0443050847457627,-0.08,-0.0333333333333333,0.125228105228105,0.12155463584035,0.115337995337995,0,-0.108571428571429,0,-0.115128205128205,-0.102652519893899,0.1,0.1,0.1,0.0985507246376812,0.0899163569443943,0,-0.203059581320451,-0.203059581320451,0.000476190476190477,0.124115971174795,0,-0.0348979591836735,-0.06,0.0900644374782306,0.00666666666666667,-0.206763285024155,-0.102424242424242,-0.0405196337472718,0.0888888888888889,0,0.0333333333333333,0.0888888888888889,-0.0376811594202899,-0.0875800792303339,0.0619047619047619,0.0519047619047619,0.0117972350230415,-0.112307692307692,0.0256410256410256,-0.12,0.0256410256410256,-0.115337995337995,-0.112307692307692,0.0333333333333333,0.193684210526316,-0.00985088985088985,-0.1,-0.1,-0.158517520215633
"SMAD",-0.186686787391013,-0.180541535994365,-0.175362253125839,-0.188095238095238,-0.0134920634920635,-0.0887004382885549,-0.12,-0.170833333333333,0.0033641899998353,0.00255365301908555,0.00295713436889907,-0.02,-0.118850574712644,-0.158333333333333,-0.117175922643665,-0.116957583637363,-0.0663209512467155,-0.0663209512467155,-0.0663209512467155,-0.069939372299347,0.0285351524007023,-0.133333333333333,-0.198045220847689,-0.198045220847689,0.0137508965153376,0.0652855628758118,-0.0285714285714286,-0.00056530967930069,-0.0188940092165899,0.152394297431891,-0.000289358053799169,-0.199801583361831,-0.100660935447806,-0.00262010781053185,0.130532212885154,0.1,0.128571428571429,0.123865546218487,0.122654658355811,-0.0129329099383314,0.157579589360411,0.0580557798366017,0.111707717569787,-0.0076844070961718,0.154783062196605,0.000158730158730161,0.154411314984709,0.0108357270227774,0.0057997557997558,0.160833333333333,0.167014196983141,0.130059209607597,0.00571428571428572,0.019047619047619,-0.00219675787155045
"SRC",-0.123611111111111,-0.114087301587302,-0.104996392496393,-0.111111111111111,-0.075,-0.0596968548692687,-0.12,-0.0833333333333333,-0.0588624550179928,-0.0617707324229145,-0.0600819672131148,-0.2,-0.124761904761905,-0.0333333333333333,-0.0169285584864721,0.0608015640273705,-0.00957863996662494,-0.00957863996662494,-0.00957863996662494,-0.00957863996662494,0.0402799012581621,-0.1,-0.172117400419287,-0.172117400419287,-0.0266056794358681,-0.00608725226142785,0,0.0772222222222222,-0.0272727272727273,0.244069264069264,0.0171717171717172,-0.0754521963824289,-0.0745835163226468,0.0120520880107768,0.123076923076923,0.1,0.1,0.117521367521368,0.0368834822906322,-0.01394851880146,0.0717105263157895,0.0708096254148886,0.117619047619048,0.065,0.0789324618736383,0.075,0.0848148148148148,0.0600819672131148,0.065,0.103333333333333,0.188571428571429,0.0525923312161844,0.2,0.1,0.108043265757151
"Ecadherin",-0.193090909090909,-0.200407982261641,-0.201312141393648,-0.189090909090909,-0.153305973552212,-0.215426637942576,-0.0866985645933014,-0.166666666666667,-0.146229250394488,-0.145762396986458,-0.144610321378299,-0.133333333333333,-0.087729492428353,-0.166666666666667,-0.123580505989494,-0.127248870266527,-0.0752564102564102,-0.0752564102564102,-0.0752564102564102,-0.0741390918206561,-0.0723486483197607,0.08,-0.159447566504776,-0.159447566504776,0.0462719370784865,-0.0636947055347606,-0.0309090909090909,0.0695725236796806,-0.0426737967914439,-0.0731307404603239,-0.056075858647114,-0.127379278012189,-0.109811779364852,-0.0510688272883395,-0.0657142857142857,-0.1,-0.0657142857142857,-0.0592207792207792,0.0390102593813608,-0.0606077107443703,0.0584347826086956,0.0581926518580903,0.0895882284878325,0.148958147465255,0.187643404453476,0.153305973552212,0.190793010752688,0.145857697690143,0.149857697690143,0.185416666666667,-0.00391727603743493,0.157472794703127,0.150980392156863,0.150980392156863,0.218109247842265
"KLF4",-0.189090909090909,-0.193090909090909,-0.200407982261641,-0.209090909090909,-0.150980392156863,-0.217847494553377,-0.0709090909090909,-0.166666666666667,-0.144610321378299,-0.146229250394488,-0.148958147465255,-0.166666666666667,-0.0866985645933014,-0.2,-0.125479240166709,-0.125376211090497,-0.0752564102564102,-0.0752564102564102,-0.0752564102564102,-0.0752564102564102,-0.070484715421345,0.1,-0.156130030959752,-0.156130030959752,0.056075858647114,-0.0629120444871989,-0.04,0.0679706930160651,-0.0309090909090909,-0.0753382459790877,-0.0426737967914439,-0.118518518518519,-0.10962555962556,-0.0497867760062882,-0.0657142857142857,-0.1,-0.08,-0.0657142857142857,0.0410236822001528,0.0391975472887358,0.0613333333333333,0.0584347826086956,0.087729492428353,0.153305973552212,0.190793010752688,0.150980392156863,0.185416666666667,0.149857697690143,0.153305973552212,0.166666666666667,-0.00260148656375072,0.161362954886193,0.133333333333333,0.133333333333333,0.22120203134742
"HEY1",-0.189090909090909,-0.193090909090909,-0.200407982261641,-0.209090909090909,-0.150980392156863,-0.217847494553377,-0.0709090909090909,-0.166666666666667,-0.144610321378299,-0.146229250394488,-0.148958147465255,-0.166666666666667,-0.0866985645933014,-0.2,-0.125479240166709,-0.125376211090497,-0.0752564102564102,-0.0752564102564102,-0.0752564102564102,-0.0752564102564102,-0.070484715421345,0.1,-0.156130030959752,-0.156130030959752,0.056075858647114,-0.0629120444871989,-0.04,0.0679706930160651,-0.0309090909090909,-0.0753382459790877,-0.0426737967914439,-0.118518518518519,-0.10962555962556,-0.0497867760062882,-0.0657142857142857,-0.1,-0.08,-0.0657142857142857,0.0410236822001528,0.0391975472887358,0.0613333333333333,0.0584347826086956,0.087729492428353,0.153305973552212,0.190793010752688,0.150980392156863,0.185416666666667,0.149857697690143,0.153305973552212,0.166666666666667,-0.00260148656375072,0.161362954886193,0.133333333333333,0.133333333333333,0.22120203134742
"cMet",-0.113333333333333,-0.107777777777778,-0.109905437352246,-0.113333333333333,-0.05,-0.0821237189776516,-0.114285714285714,-0.1,-0.060494931425164,-0.0542802421596273,-0.0543410852713178,-0.1,-0.0879699248120301,-0.1,-0.0735792357112607,-0.0037037037037037,-0.019047619047619,-0.019047619047619,-0.019047619047619,-0.0115004492362983,0.0760757128404187,-0.1,-0.113708513708514,-0.113708513708514,-0.106363636363636,-0.000867518531752109,0.1,-0.0524208860759494,0.12,0.122599846390169,0.09,-0.0126984126984127,-0.0884331082564778,0.0256377015629685,0.08,0.1,0.1,0.09875,0.0921912624699002,0.0231713699435043,0.0979591836734694,0.0997773654916512,0.102863541833307,0.0566666666666667,0.1,0.15,0.1,0.0566666666666667,0.0566666666666667,0.1,0.0157142857142857,0.103840072970508,0.2,0.1,0.0784126984126984
"SNAI2",-0.117927170868347,-0.123910076851253,-0.126394548900943,-0.127450980392157,-0.0851948051948052,-0.110173133279635,-0.0614035087719298,-0.08,-0.0776261430278114,-0.0794894970650785,-0.0798941842649249,-0.08,-0.0736842105263158,-0.1,-0.0798290808989687,-0.082974358974359,-0.0627463570973938,-0.0627463570973938,-0.0627463570973938,-0.0650294621202248,-0.0588795311313784,0.0666666666666667,-0.110345919865744,-0.110345919865744,0.0610492845786964,-0.0480531708557891,-0.0333333333333333,0.0608355511143778,-0.0509803921568628,-0.0624968162167974,-0.0529411764705882,-0.0923076923076923,-0.0900342526027917,0.0196277643783067,-0.0563218390804598,-0.1,-0.0666666666666667,-0.0599362969117851,0.026416515973478,0.0148023792860907,0.0423205902079141,0.0389713079112634,0.0697881066302119,0.0809694530821291,0.0960864345738295,0.0851948051948052,0.0960864345738295,0.0804346937238404,0.0809694530821291,0.0858823529411765,-0.0342123056118999,0.0867713417475078,0.0709090909090909,0.0709090909090909,0.133795259425159
"RKIP",-0.166666666666667,-0.166666666666667,-0.158255451713396,-0.133333333333333,-0.0666666666666667,-0.181945929887106,0.0444444444444444,0.0666666666666667,-0.0579070052754263,-0.0525634938250447,-0.0460188933873144,0,0.0626262626262626,0.1,-0.203957610684729,-0.170098039215686,0.104220779220779,0.104220779220779,0.104220779220779,0.118750693750694,-0.0592518540517252,0.1,-0.0738660927785748,-0.0738660927785748,-0.0115700660308144,0.0776959841464125,-0.06,-0.00872384320660182,-0.01,-0.17301024428684,-0.0203448275862069,-0.0798660927785748,-0.0329693474581583,0.0455113937466879,-0.0696428571428571,-0.1,-0.0571428571428571,-0.0484307359307359,-0.0532326751838947,0.0439275683046051,-0.0638425331621737,-0.0569118400928668,-0.0510878010878011,0.0614035087719298,-0.0555846994535519,0.0666666666666667,-0.0506666666666667,0.0412820512820513,0.0566666666666667,-0.0466666666666667,0.016952380952381,-0.073963133640553,0.1,0.1,0.0849038912330052
"MEK",-0.166666666666667,-0.158255451713396,-0.152416035655001,-0.166666666666667,-0.0566666666666667,-0.190370838312015,0.0626262626262626,0.0466666666666667,-0.0525634938250447,-0.0555374715202119,-0.0579070052754263,-0.1,0.0510878010878011,0.0666666666666667,-0.198829405556524,-0.177992776057792,0.118750693750694,0.118750693750694,0.118750693750694,0.107639582639583,-0.0498376281103026,0.0571428571428571,-0.0738660927785748,-0.0738660927785748,-0.0899033993641477,0.0823188551926412,-0.01,-0.0204355549183135,-0.0203448275862069,-0.184558155834752,0.0115700660308144,-0.0720229555236729,-0.0357557251671367,0.0491699303320537,-0.0484307359307359,-0.1,-0.0696428571428571,-0.056666030048383,-0.0514144933657129,0.040648879780015,-0.0569118400928668,-0.0580188511629775,-0.0620367061972901,0.0460188933873144,-0.0562382942247937,0.0614035087719298,-0.0555846994535519,0.0531701631701632,0.0412820512820513,-0.0506666666666667,0.0147301587301587,-0.0641270680667825,0.0666666666666667,0.0666666666666667,0.0885074948366088
"cateninmemb",-0.0753939393939394,-0.0758817442719882,-0.0738925941815723,-0.0607272727272727,0.0202006383948928,0.00174437993695305,-0.0319617224880383,0.0166666666666667,0.017982451578731,0.0206902013453043,0.0223411066223176,0.0333333333333333,-0.0185596606323682,0.0333333333333333,-0.0093374556305547,-0.00827560169454231,-0.0200452488687783,-0.0200452488687783,-0.0200452488687783,-0.0161346343436386,-0.00975161290034741,0.02,-0.070680649910251,-0.070680649910251,0.0498785306062444,-0.0104860192737397,-0.0636363636363636,0.0384627861507843,-0.0577540106951872,-0.00595486886529823,-0.0690942168807542,-0.0681200187529301,-0.0609041320773164,0.0305606225967103,-0.0168253968253968,0,-0.00571428571428572,-0.00643578643578644,0.0159459805886967,-0.0460258214301747,0.0234202898550725,0.0265679896129417,0.0248793632345987,-0.0193310731775015,-0.0126926170519008,-0.0202006383948928,-0.00954301075268817,-0.0218098337971917,-0.0184765004638584,-0.00416666666666667,-0.00605308296470163,-0.0192212984416882,-0.00392156862745098,-0.00392156862745098,0.0776261430278114
"ZEB2",-0.265194805194805,-0.264514533085962,-0.261339929911359,-0.241558441558442,-0.163939393939394,-0.159907680073558,-0.156410256410256,-0.153571428571429,-0.153369985997859,-0.152071284699157,-0.15125730994152,-0.15,-0.14974358974359,-0.125,-0.123432490802365,-0.112673107890499,-0.0992424242424242,-0.0992424242424242,-0.0992424242424242,-0.09645869833236,-0.0963358255014352,-0.0888888888888889,-0.0559304542566365,-0.0559304542566365,-0.0374159730561652,-0.0236278815938593,-0.00833333333333333,0.0170924630924631,0.0179824561403509,0.0179952193872231,0.0276598754951896,0.0453743658243457,0.0581134680603655,0.0770974901221367,0.0991666666666667,0.1,0.101388888888889,0.103839563862928,0.117536656891496,0.133478616171449,0.134285714285714,0.139773519163763,0.151382934005885,0.154035087719298,0.156355717453278,0.156666666666667,0.157264808362369,0.15862299779731,0.161375291375291,0.162142857142857,0.168534798534799,0.169960175545022,0.17,0.177272727272727,0.192651957939252
"SOSGRB2",-0.0342857142857143,-0.0227472527472527,-0.0121089548749123,-0.0142857142857143,-0.0571428571428571,0.00405797101449276,-0.0454545454545455,-0.0333333333333333,-0.0473793178598671,-0.0448936582040353,-0.0368530020703934,0,-0.0223776223776224,0,-0.0238827292110874,-0.0643640350877193,0.0180790960451977,0.0180790960451977,0.0180790960451977,0.0308996088657106,-0.026487122124706,0,-0.00967418546365915,-0.00967418546365915,-0.0531414531414531,-0.0159400374461052,-0.00476190476190476,-0.00952380952380952,0.0285714285714286,0.0536490811666127,0.0258687258687259,-0.0182456140350877,-0.00460420923837635,0.0497477087477088,0.0175438596491228,0,0.0333333333333333,0.0258771929824561,-0.0700757575757576,0.0444169632079414,0.0202150537634409,0.0251101586585458,0.0266029744902984,0.0527950310559006,0.02950974230044,0.0571428571428571,0.0364864864864865,0.0328674948240166,0.0488095238095238,0.05,0.0702777777777778,0.0152421821385907,0.1,0.1,0.069767601760176
"ZEB1",0.122530401465934,0.123038015679132,0.117132503868108,0.0978927203065134,-0.136004645760743,-0.0303891282903276,0.0979166666666667,0.0916666666666667,-0.142987685839841,-0.143966159421054,-0.146977047541969,-0.166666666666667,0.0881127450980392,0.0666666666666667,0.0610947658582868,0.0616862183593325,-0.0508762347501817,-0.0508762347501817,-0.0508762347501817,-0.0519785969549061,-0.0788496470922131,0.133333333333333,0.0136708584944761,0.0136708584944761,0.0624590135613717,-0.0909387151908655,-0.0333333333333333,0.0179592390677195,-0.0373333333333333,-0.0945303056948733,-0.047921568627451,0.0217905593495284,-0.0822266409488733,-0.0332295967645735,-0.130399769916595,-0.133333333333333,-0.13859649122807,-0.131828341345166,-0.104614176842156,0.0474752006770784,-0.115467524047685,-0.119794447124608,-0.0864598525360557,0.146282603097524,-0.0863273196693754,0.140400250156348,-0.0909536541889483,0.142804804365026,0.141773876529974,-0.100757575757576,-0.137972709551657,-0.0683019339607382,0.128205128205128,0.123809523809524,0.181618924280267
"ERK",0.158255451713396,0.152416035655001,0.155712738951705,0.166666666666667,0.0412820512820513,0.185516469379976,-0.0510878010878011,-0.0506666666666667,0.0555374715202119,0.0522735826313231,0.0525634938250447,0.0666666666666667,-0.0620367061972901,-0.0466666666666667,0.20600533148245,0.169357678564755,-0.107639582639583,-0.107639582639583,-0.107639582639583,-0.11479029771109,0.055887985118946,-0.0696428571428571,0.0727637305738504,0.0727637305738504,0.0985384968571839,-0.0795235441015682,0.0203448275862069,0.0137688882516469,-0.0115700660308144,0.175566330221673,-0.0899033993641477,0.0727981493221225,0.0337949408534112,-0.0460420554470491,0.056666030048383,0.0571428571428571,0.0484307359307359,0.0456568557364564,0.0510731964373852,-0.0434981760381681,0.0580188511629775,0.057106997059634,0.0506793654770685,-0.0579070052754263,0.0528566517127164,-0.0460188933873144,0.0562382942247937,-0.0484082584082584,-0.0531701631701632,0.0555846994535519,-0.0215262752350131,0.0677415258981078,-0.0614035087719298,-0.0566666666666667,-0.0863936736983974
"RAF",0.166666666666667,0.166666666666667,0.158255451713396,0.133333333333333,0.0666666666666667,0.181945929887106,-0.0444444444444444,-0.0666666666666667,0.0579070052754263,0.0525634938250447,0.0460188933873144,0,-0.0626262626262626,-0.1,0.203957610684729,0.170098039215686,-0.104220779220779,-0.104220779220779,-0.104220779220779,-0.118750693750694,0.0592518540517252,-0.1,0.0738660927785748,0.0738660927785748,0.0115700660308144,-0.0776959841464125,0.06,0.00872384320660182,0.01,0.17301024428684,0.0203448275862069,0.0798660927785748,0.0329693474581583,-0.0455113937466879,0.0696428571428571,0.1,0.0571428571428571,0.0484307359307359,0.0532326751838947,-0.0439275683046051,0.0638425331621737,0.0569118400928668,0.0510878010878011,-0.0614035087719298,0.0555846994535519,-0.0666666666666667,0.0506666666666667,-0.0412820512820513,-0.0566666666666667,0.0466666666666667,-0.016952380952381,0.073963133640553,-0.1,-0.1,-0.0849038912330052
"miR200",-0.0806372549019608,-0.0774114484503479,-0.0768300531015107,-0.0708333333333333,-0.188,-0.143946830265849,-0.0308374384236453,-0.0325,-0.189818512660941,-0.188454876297305,-0.190612163454592,-0.2,-0.0273891625615764,-0.02,-0.0385442335442335,-0.0312182296231376,-0.110979716800612,-0.110979716800612,-0.110979716800612,-0.110231587124802,-0.119161193840022,0.02,0.080331541218638,0.080331541218638,-0.00276437847866419,-0.102544946624103,-0.0142857142857143,0.0196699777187582,-0.00428571428571428,-0.0567300732928296,0.00480519480519481,0.0829710144927536,-0.0112242408207661,0.0703108353373932,-0.022406015037594,0,-0.0252631578947368,-0.0186324301319336,0.00502824858757062,0.184385654040014,0.00812848246476565,0.0103228398315368,0.0302140213186385,0.188364972443356,0.0344950467804073,0.18695652173913,0.0312341772151899,0.191606252902028,0.189408450704225,0.0325,0.00578981302385558,0.0518493726524415,0.2,0.2,0.225765888481088
"CD44",0.113333333333333,0.113333333333333,0.107777777777778,0.133333333333333,0.1,0.0854945054945055,0.1,0.1,0.0543410852713178,0.060494931425164,0.0566666666666667,0.1,0.114285714285714,0.1,0.0667995746943116,0.0111111111111111,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.019047619047619,-0.0862108479755539,0.1,0.112698412698413,0.112698412698413,0.09,-0.00351204351204351,-0.1,0.05875,-0.1,-0.111309523809524,-0.12,0.00793650793650794,0.0899956082564778,-0.0323992673992674,-0.1,0,-0.1,-0.08,-0.0941520467836257,-0.0193545760503746,-0.1,-0.0979591836734694,-0.0879699248120301,-0.15,-0.1,-0.2,-0.1,-0.0566666666666667,-0.05,-0.1,-0.00238095238095238,-0.106013986013986,-0.1,0,-0.08
"Destcompl",0.173047149894441,0.169362939368125,0.171037816215415,0.164081632653061,0.00413133289845619,0.0275995547306438,0.0500117508813161,0.096551724137931,0.0136069002670925,0.00784453412736783,0.00525073588353081,-0.00555555555555556,0.0250117508813161,0.1,0.0631178808039028,0.0502906894914282,-0.0491103119975775,-0.0491103119975775,-0.0491103119975775,-0.0621401393131191,-0.0679618218211267,0.0238095238095238,0.139281639575349,0.139281639575349,0.0464223927141545,0.0102958812153977,-0.00307692307692308,0.0555494039530724,-0.0515617715617716,0.0101061534991286,-0.0160426458787115,0.139959049089142,0.101267971491365,0.0131410107834583,-0.0386156342678082,-0.0666666666666667,-0.0629399585921325,-0.0587498624557276,-0.0302480425557349,0.00647600636362126,-0.0356349206349206,-0.0408980785296575,-0.0424466206207951,-0.0175641687193517,-0.103897353924306,-0.00413133289845619,-0.103317083131269,-0.00556229232092905,-0.01799271903707,-0.107980295566502,-0.0698733100620151,-0.016500879616483,-0.0301587301587302,-0.0301587301587302,-0.118020538706272
