"","GSK3","Destcompl","AXIN2","cateninnuc","TCFLEF","Ecadherin","CD44","STAT","LIV1","Wnt","ZEB1","SNAI2","TGF","TWIST1","FOXC2","Jagged","NOTCH","FUS","SNAI1","SUFU","ZEB2","MEK","ERK","AKT","TrCP","cfos","NFB","Csn","SMAD","IKK","ILK","HEY1","EGR1","RAF","PI3K","DELTA","RAS","RKIP","Patched","SHH","SMO","NOTCHic","Csl","miR200","KLF4","cateninmemb","TGFR","PAK1","SOSGRB2","CDC42","Frizzled","DSH","SRC","cMet","GLI"
"miR200",0.0848888271119608,-0.0154540633376581,-0.0204781784319414,0.0351075761711044,0.0319257579892862,0.0767980720717721,0.0291479802115084,0.04,0,0.0125070422535211,0.0246774193548387,-0.0171574024538219,0.105203322889546,-0.0224019334448782,0.090705500461598,0.0578496763366099,0.0367287300659598,0.005,0.00144651644651645,-0.02,-0.0845295698924731,-0.0287940630797774,-0.0267532467532468,0.00619378635267414,0,0.00857142857142857,0.00421052631578948,0.02,-0.0190717498010754,0.00135338345864662,-0.0262817811490378,-0.028361581920904,0.0285714285714286,-0.0814274779946422,-0.0814274779946422,-0.0814274779946422,-0.0816768545532457,-0.00113011600840614,-0.0221308016877637,-0.0166960190790681,-0.0183333333333333,-0.038423645320197,-0.038423645320197,-0.0677950730517094,-0.0912180814354727,-0.0255994226476001,-0.111598671726755,-0.0875,-0.0639780786589297,-0.105147058823529,-0.028,-0.04,-0.0356521739130435,-0.0201592161665646,-0.0234960532425321
"ILK",-0.496031746031746,-0.504638124522816,-0.195714285714286,-0.185780986485391,-0.174853151433844,0.228035397818452,-0.158468970642884,-0.1,-0.1,-0.141545893719807,0.282060876056932,-0.00812306392565475,0.331695361071258,0.114647750285669,0.359962833914053,-0.141666666666667,0.0608560794044665,-0.1,-0.279424315619968,0,-0.0772210591232939,0.0493410478945677,0.0509803921568627,0.00180995475113122,0,-0.0333333333333333,0,-0.0333333333333333,0.133284993997599,0.00588235294117647,0.132484993997599,0.120189688225204,-0.0333333333333333,0.260709956709957,0.260709956709957,0.260709956709957,0.266189408764751,0.255639948287007,0.116666666666667,0.138888888888889,0.116666666666667,-0.0673076923076923,-0.075,-0.0990568064338556,-0.0653508771929825,-0.216265325676471,-0.330882352941176,-0.325,-0.173076923076923,-0.330882352941176,0.111111111111111,0.1,0.111111111111111,0.141545893719807,0.158468970642884
"cMet",0.0973502304147465,-0.036740445563975,-0.0520634920634921,-0.0293084907471979,-0.0338282647584973,0.0466592673380069,-0.0276744186046512,-0.2,-0.1,-0.03,0.13030303030303,0.026328416109438,0.121489361702128,0.0924756142733671,0.113159282700422,0.0362602614776528,0.19587266037434,0.05,-0.0639314645113039,0.1,-0.0717171717171717,-0.0781818181818182,-0.08,0.167916666666667,-0.2,0.08,-0.233333333333333,-0.3,-0.0203277674706246,-0.186666666666667,-0.00578231292517007,-0.0658410732714138,0.1,0.0190476190476191,0.0190476190476191,0.0190476190476191,0.0209344115004492,-0.00592592592592592,0.00818181818181818,-0.0136931818181818,-0.01,-0.202255639097744,-0.228571428571429,-0.0854325867369346,0.0111111111111111,-0.0126004718887281,-0.13,-0.18,0.0442857142857143,-0.13,0.05,0.1,0.15,0.03,0.03
"DSH",-0.519696848475151,-0.532137808950867,-0.233529228106797,-0.217057967375434,-0.207529917509004,0.217495433540555,-0.194196584175671,-0.125,-0.1,-0.176315789473684,0.258411207200319,-0.0404674423281266,0.288706761601777,0.0796662494785148,0.32377452005359,-0.150729628708425,0.0338362617774382,-0.109090909090909,-0.26804347826087,-0.1,-0.067740027993468,0.0383098268547185,0.0435729847494553,0.0807327586206897,-0.133333333333333,-0.0509803921568627,-0.0733333333333333,-0.0733333333333333,0.11210247759956,-0.0795833333333333,0.109460968165598,0.100445056996009,-0.0333333333333333,0.232576789145376,0.232576789145376,0.232576789145376,0.239019366176188,0.244775224775225,0.126756039659265,0.134731499781965,0.113852813852814,-0.0429271708683473,-0.0488095238095238,-0.0913115915250062,-0.0633977862989856,-0.220009435208872,-0.29184265010352,-0.293333333333333,-0.128455284552846,-0.288985507246377,0.151315789473684,0.125,0.151315789473684,0.176315789473684,0.193962848297214
"Frizzled",-0.498119122257053,-0.510954602843996,-0.212854122621564,-0.207529917509004,-0.194196584175671,0.216529674102451,-0.176315789473684,-0.1,-0.1,-0.151315789473684,0.250537191452287,-0.0347631349940172,0.29184265010352,0.083921568627451,0.321610017889088,-0.14065210932858,0.0429271708683473,-0.1,-0.259057971014493,0,-0.0661652248438617,0.0435729847494553,0.0509803921568627,0.0795833333333333,-0.1,-0.0333333333333333,-0.0733333333333333,-0.133333333333333,0.109460968165598,-0.0733333333333333,0.11039554760485,0.0986906710310966,-0.0333333333333333,0.22863978127136,0.22863978127136,0.22863978127136,0.232576789145376,0.234285714285714,0.113852813852814,0.126756039659265,0.109090909090909,-0.0488095238095238,-0.0571428571428571,-0.0894823232323232,-0.0585434173669468,-0.211411084207694,-0.288985507246377,-0.3,-0.133333333333333,-0.293333333333333,0.125,0.2,0.125,0.151315789473684,0.176315789473684
"Csn",-0.454538346627035,-0.433508748390989,-0.137921486465219,-0.121868399757925,-0.117358477929903,0.205767758906064,-0.111570696579421,-0.0666666666666667,-0.0666666666666667,-0.0995706965794212,0.213023986765922,0.0130796522834768,0.295859188959321,0.0984992987377279,0.312336357177841,-0.0980777711199621,0.0507492507492507,-0.1,-0.221896107515094,-0.1,-0.0506004962779156,0.0404599567099567,0.0467099567099567,0.0592666666666667,-0.02,-0.0506060606060606,-0.045,-0.045,0.0940984408181513,-0.0616666666666667,0.0897282608695652,0.0853931339977852,-0.0233333333333333,0.224414052672363,0.224414052672363,0.224414052672363,0.225757622729944,0.20228304916278,0.0945259042033236,0.100263609121356,0.0848484848484849,-0.0584415584415584,-0.0545454545454545,-0.0604207111807383,-0.0494347482582777,-0.181298435904575,-0.297529833350729,-0.290909090909091,-0.139654098927707,-0.292401628222524,0.0839080459770115,0.0666666666666667,0.0839080459770115,0.0995706965794212,0.111361089592522
"RKIP",-0.216627265563436,-0.278592342860489,-0.00515705578996718,-0.0187087989016474,-0.0108207581891792,0.188559873980452,-0.0101214574898785,0,0,0,0.116369201339072,-0.0800049542460803,0.126648865153538,0.0114408793820558,0.125508399646331,0.0591802085859811,0.183838383838384,0.1,-0.0910168519378363,0.1,-0.0399072214251554,-0.0201687454145268,-0.026551724137931,0.173755411255411,-0.2,0.03,-0.214285714285714,-0.2,-0.0355275867766494,-0.176785714285714,-0.0424582798459564,-0.0709252806813782,0.08,0.19025974025974,0.19025974025974,0.19025974025974,0.180858030858031,0.0676470588235294,-0.044,-0.0521967213114754,-0.04,-0.183838383838384,-0.211111111111111,-0.0504461400819453,-0.0339072214251554,-0.161834103010574,-0.125714285714286,-0.133333333333333,-0.0373968253968254,-0.14,0,0,0,-0.00526315789473684,0.0153846153846154
"SMO",-0.430025961093922,-0.508353971609786,-0.41589789520824,-0.314293257415383,-0.299255663430421,0.0410674934419247,-0.263333333333333,-0.2,-0.1,-0.15,0.200423728813559,-0.0859704433497537,0.121261261261261,-0.0671023965141612,0.0818965517241379,-0.22494708994709,-0.278787878787879,-0.133333333333333,-0.154531490015361,-0.1,-0.036864406779661,-0.093986013986014,-0.103076923076923,-0.143428571428571,0,0.08,0.1,0.1,0.0919047619047619,0.171428571428571,0.0966666666666667,0.111355311355311,0.1,0.000961538461538464,0.000961538461538464,0.000961538461538464,0.0242173524150268,0.113333333333333,0.120833333333333,0.131944444444444,0.133333333333333,0.278787878787879,0.233333333333333,-0.0782097649186257,-0.0111111111111111,-0.213870445766782,-0.126666666666667,-0.166666666666667,-0.000877192982456143,-0.126666666666667,0.1,0.1,0.2,0.246666666666667,0.166666666666667
"KLF4",-0.22228652277657,-0.235619738580819,-0.180833623441529,-0.103522264098759,-0.0909444309729803,-0.032966677581036,-0.0892721901703047,-0.0333333333333333,-0.0333333333333333,-0.0675330597355221,0.0566357069143447,-0.0588957484976702,-0.0481315594974132,-0.0261917211328976,-0.0422352176738142,-0.0679878242696833,-0.0901218369259606,-0.0333333333333333,-0.0825056293672353,0,-0.0330804953560372,-0.104786371905838,-0.0955080213903743,0.00592592592592592,0.1,0.107272727272727,0.02,0,-0.019768115942029,-0.0133333333333333,-0.0226666666666667,-0.006585179526356,0.08,0.0229487179487179,0.0229487179487179,0.0229487179487179,0.0192722473604826,0.0611317254174397,0.0416666666666667,0.0405913978494624,0.0166666666666667,0.0890909090909091,0.0890909090909091,-0.0294301994301994,-0.0148148148148148,-0.0337920875420875,0.0564242424242424,0.0590909090909091,0.146540880503145,0.0470909090909091,0.0745098039215686,0.0333333333333333,0.0745098039215686,0.0675330597355221,0.0882227149079359
"HEY1",-0.22228652277657,-0.235619738580819,-0.180833623441529,-0.103522264098759,-0.0909444309729803,-0.032966677581036,-0.0892721901703047,-0.0333333333333333,-0.0333333333333333,-0.0675330597355221,0.0566357069143447,-0.0588957484976702,-0.0481315594974132,-0.0261917211328976,-0.0422352176738142,-0.0679878242696833,-0.0901218369259606,-0.0333333333333333,-0.0825056293672353,0,-0.0330804953560372,-0.104786371905838,-0.0955080213903743,0.00592592592592592,0.1,0.107272727272727,0.02,0,-0.019768115942029,-0.0133333333333333,-0.0226666666666667,-0.006585179526356,0.08,0.0229487179487179,0.0229487179487179,0.0229487179487179,0.0192722473604826,0.0611317254174397,0.0416666666666667,0.0405913978494624,0.0166666666666667,0.0890909090909091,0.0890909090909091,-0.0294301994301994,-0.0148148148148148,-0.0337920875420875,0.0564242424242424,0.0590909090909091,0.146540880503145,0.0470909090909091,0.0745098039215686,0.0333333333333333,0.0745098039215686,0.0675330597355221,0.0882227149079359
