"","PAK1","CDC42","ZEB2","ZEB1","HEY1","MEK","IKK","SHH","EGR1","Csn","cfos","NOTCH","Csl","NOTCHic","RKIP","TrCP","RAF","DELTA","KLF4","miR200","AXIN2","Destcompl","SRC","TCFLEF","Frizzled","cateninnuc","cMet","CD44","Wnt","GLI","DSH","STAT","cateninmemb","Ecadherin","LIV1","GSK3","SNAI2","RAS","PI3K","SUFU","TWIST1","Jagged","FUS","NFB","SMAD","ILK","Patched","SMO","ERK","AKT","SNAI1","SOSGRB2","TGF","TGFR","FOXC2"
"ZEB2",-0.215584415584416,-0.21012987012987,-0.173817193305382,-0.173817193305382,-0.149809384164223,-0.141760183306417,-0.14,-0.137979094076655,-0.133333333333333,-0.133333333333333,-0.128070175438597,-0.120949978982766,-0.120512820512821,-0.113846153846154,-0.108486312399356,-0.1,-0.089978354978355,-0.089978354978355,-0.0734445412629422,-0.0508855469170428,-0.0469964277247795,-0.0420450578362786,-0.0366666666666667,-0.0322408917442275,-0.0312121212121212,-0.0293837488870847,-0.0287719298245614,-0.0241423001949318,-0.0235198135198135,-0.0189326575565108,-0.00454545454545455,0.01,0.0249195567028115,0.0317283525029022,0.05,0.0513668147416504,0.0555640090634548,0.0897642222160423,0.089978354978355,0.1,0.100198831312448,0.118054397560333,0.128571428571429,0.133333333333333,0.136533157670224,0.137752669865346,0.137979094076655,0.142857142857143,0.144199207696661,0.146542056074766,0.148255988001787,0.192985347985348,0.224491170205456,0.227136672850959,0.228853146853147
"CD44",-0.2,-0.26,-0.114285714285714,-0.114285714285714,-0.137426900584795,-0.11,-0.3,-0.07,-0.1,-0.2,-0.1,-0.277443609022556,-0.3,-0.314285714285714,-0.0859259259259259,-0.1,-0.29047619047619,-0.29047619047619,-0.185714285714286,0.152099253403601,0.03,0.115535305031103,0.2,0.0415503875968992,0.1,0.0261657722122838,0.1,0.00666666666666667,0,0.00666666666666667,0,-0.1,-0.0532234432234432,0.0430637281511237,-0.1,0.19702380952381,-0.122033522033522,0.281904761904762,0.29047619047619,0.1,0.173260073260073,0.0720745920745921,0.1,0.3,0.0894557823129252,0.0833333333333333,0.07,0.05,0.1,0.28,0.200983519404572,0.261904761904762,0.237777777777778,0.21,0.232083333333333
"cMet",-0.26,-0.21,-0.101154401154401,-0.101154401154401,-0.147230822153423,-0.115454545454545,-0.28,-0.07625,-0.1,-0.3,-0.1,-0.305103183490642,-0.314285714285714,-0.277443609022556,-0.0748148148148148,-0.2,-0.281904761904762,-0.281904761904762,-0.214285714285714,0.147411753403601,0.0506349206349206,0.114183953679752,0.1,0.0261657722122838,0,0.0222109699523968,0.00666666666666667,0.0415503875968992,0.00666666666666667,0.043030303030303,0.1,-0.2,-0.0485971087038703,0.0565497332401822,-0.1,0.188959293394777,-0.122763449040821,0.283791554357592,0.281904761904762,0.1,0.14741737663086,0.0916398094658964,0.05,0.3,0.0821830550401979,0.0894557823129252,0.07,0.07,0.11,0.3175,0.209458095675758,0.221904761904762,0.23565011820331,0.237777777777778,0.230817510548523
"TWIST1",-0.0939393939393939,-0.090491118077325,-0.100900900900901,-0.100900900900901,-0.150872291550258,-0.146209911540695,-0.127838827838828,-0.228084696073359,-0.153333333333333,-0.1,-0.148985507246377,-0.120139224856206,-0.118518518518519,-0.121082621082621,-0.115734989648033,-0.1,-0.0381127022999256,-0.0381127022999256,-0.109276631227851,0.130715508507145,0.158514979644012,0.110559544758621,0.114285714285714,0.109236394462353,0.114285714285714,0.107568769390472,0.105775075987842,0.109389533819167,0.106917293233083,0.110917293233083,0.114285714285714,-0.114285714285714,-0.145489743381549,0.240980680024401,-0.1,0.128581127433586,0.366406531443836,0.0394825653136242,0.0381127022999256,0.233333333333333,-0.066780402092187,0.114937792560584,0.222222222222222,0.123076923076923,0.133362435342633,0.134352534352534,0.227592085235921,0.226222222222222,0.14372234935164,0.13292357360154,0.157961008445565,0.213911869975943,0.0960691363005596,0.091741118077325,0.144386989604544
"cateninmemb",0.0665454545454545,0.0625454545454545,-0.0773942208462332,-0.0773942208462332,-0.0036527704431376,-0.146651965378466,0.0773544973544974,-0.169528405723478,-0.150909090909091,0.08,-0.145026737967914,-0.107635599347714,-0.10200956937799,-0.0968549302027327,-0.12464116051596,0.1,0.0572134238310709,0.0572134238310709,-0.10253164556962,0.117970136629354,0.248813163772671,0.128733416972377,0.173187414500684,0.179051461115177,0.173187414500684,0.182039322926569,0.184491762326771,0.184157314166236,0.185256380017925,0.185256380017925,0.194117647058824,-0.194117647058824,0.0640031658390908,0.169273223825372,-0.2,0.130058418395892,0.208600323074817,-0.0558167757863782,-0.0572134238310709,0.166666666666667,-0.137084042307177,0.184746526258402,0.166666666666667,-0.0847619047619048,-0.013323086640699,-0.0135652173913043,0.165591397849462,0.166666666666667,0.150181377143172,-0.066964886964887,0.143193703472299,0.0974240919623243,-0.055123410704763,-0.0513259423503326,-0.0114414040543081
"AXIN2",-0.1725,-0.178672839506173,-0.065709314622413,-0.065709314622413,-0.0256109340287839,0.0282108843002707,-0.164734299516908,0.10379301026842,0.0266666666666667,-0.144444444444444,0.0242276422764228,-0.0202348777348777,-0.0133333333333333,-0.0222619047619048,-0.0997904604356217,-0.133333333333333,-0.162524270439495,-0.162524270439495,-0.0600702573096704,0.098517561856322,0.256318233099019,0.112982355299218,-0.141705426356589,-0.143030897122931,-0.141705426356589,-0.143938808925785,-0.143429564287624,-0.146899595833365,-0.143429564287624,-0.147203149193284,-0.153333333333333,0.153333333333333,-0.107632310034847,-0.0726245899583689,0.133333333333333,0.118685599170725,-0.150969261848186,0.161999336056293,0.162524270439495,-0.1,0.120101904206029,-0.125864986951943,-0.107692307692308,0.157487922705314,0.0267253278122843,0.0255348516218081,-0.104120879120879,-0.107692307692308,-0.0289005394726844,0.162512077294686,0.0953218111164347,0.0269565217391304,0.173138215247287,0.172478149240686,0.156212741201032
"SNAI2",0.0490196078431373,0.0633053221288515,-0.0654644430459408,-0.0654644430459408,-0.000376732971669681,-0.120349761526232,0.0701149425287356,-0.0838415366146459,-0.133333333333333,0.0666666666666667,-0.115686274509804,-0.0736842105263158,-0.0824561403508772,-0.0736842105263158,-0.0801538461538462,0.1,0.055478576296772,0.055478576296772,-0.0801923076923077,0.0933972354223359,0.145857770101417,0.0870752510712999,0.092987012987013,0.0917046530475291,0.092987012987013,0.0899965785133676,0.0859447594658862,0.0956221788207249,0.0859447594658862,0.0961051872733729,0.107272727272727,-0.107272727272727,-0.127300370111351,0.255219350662019,-0.08,0.090282007010935,0.364724075858658,-0.0563918183059044,-0.055478576296772,0.1,-0.07039914850278,0.0964011717481321,0.08,-0.0666666666666667,-0.0163115856221861,-0.0120053655264923,0.0838415366146459,0.0858823529411765,0.117647058823529,-0.0640908461431935,0.088922305764411,0.0752535496957404,-0.0512651883495873,-0.0556130144365439,-0.0338071177895642
"TGF",-0.16,-0.171111111111111,-0.0563317384370016,-0.0563317384370016,-0.177304964539007,-0.161988304093567,-0.297619047619048,-0.15742816091954,-0.166666666666667,-0.233333333333333,-0.166666666666667,-0.28264367816092,-0.273333333333333,-0.303333333333333,-0.0562770562770563,-0.2,-0.256547619047619,-0.256547619047619,-0.0508771929824561,0.0981060606060606,0.0246031746031746,0.0658404092854344,0.0666666666666667,0.0369695465077789,0.0714285714285714,0.0278786374168698,0.0266666666666667,0.0172327044025157,0.0314285714285714,0.0219946091644205,0,0,-0.0376358129496004,0.0614679299093939,0,0.242459540893983,-0.00513596565168124,0.260119047619048,0.256547619047619,0.133333333333333,0.0209259259259259,0.147778595974472,0.153333333333333,0.283333333333333,0.15494623655914,0.153333333333333,0.16367816091954,0.153333333333333,0.150877192982456,0.287092731829574,0.0657533375715194,0.315789473684211,0.0669444444444444,0.147301587301587,0.0734316770186335
"TGFR",-0.171111111111111,-0.147301587301587,-0.0514260780596431,-0.0514260780596431,-0.181782576479306,-0.164728030120965,-0.287092731829574,-0.155733245665303,-0.166666666666667,-0.283333333333333,-0.150877192982456,-0.287679649383941,-0.303333333333333,-0.28264367816092,-0.0534199134199134,-0.233333333333333,-0.260119047619048,-0.260119047619048,-0.056234335839599,0.0960532746823069,0.0336160501396553,0.0612033125112409,0.0266666666666667,0.0278786374168698,0.0314285714285714,0.0258414363539823,0.0172327044025157,0.0369695465077789,0.0219946091644205,0.0419946091644205,0.0714285714285714,-0.0666666666666667,-0.036712025420732,0.0699858174732781,0,0.243193037226502,-0.00513596565168124,0.257779866332498,0.260119047619048,0.153333333333333,0.00633517859496507,0.159372798873023,0.153333333333333,0.297619047619048,0.150319902039567,0.15494623655914,0.15742816091954,0.16367816091954,0.161988304093567,0.301046220201667,0.0660483228222569,0.289863547758285,0.0697813238770686,0.0669444444444444,0.0747417206867558
"RAS",-0.02,-0.04,-0.0471502209131075,-0.0471502209131075,0.0130434782608696,0.112750257997936,-0.0266666666666667,0.102305084745763,0.12,0,0.095,-0.00714995034756703,0,-0.00526315789473684,-0.120018867924528,-0.1,-0.128461538461538,-0.128461538461538,-0.0564285714285714,0.0482461538461539,-0.0748616600790514,0.0328549828549829,-0.05,-0.0538586694907095,-0.05,-0.046209944278245,-0.0323529411764706,-0.0600125156445557,-0.0323529411764706,-0.0615196078431373,-0.1,0.1,-0.0395636080448605,0.0111368183637091,0,-0.0106072351421189,0.193063419385942,0.0438461538461538,0.128461538461538,-0.1,-0.0340534642662302,-0.130187265917603,-0.1,0.0333333333333333,-0.105875077303649,-0.10995670995671,-0.104,-0.1,-0.110789473684211,0.0211111111111111,0.0726155358898722,-0.10952380952381,0.0173442050087362,0.0282352941176471,0.0149206349206349
