"","TGFR","PAK1","HEY1","SOSGRB2","IKK","ERK","cfos","Csn","KLF4","TrCP","EGR1","Destcompl","DSH","PI3K","DELTA","RAS","Wnt","GLI","Frizzled","LIV1","TCFLEF","cateninnuc","cateninmemb","Ecadherin","SNAI2","CD44","SRC","cMet","RAF","AXIN2","STAT","FOXC2","ZEB2","Csl","NOTCH","NOTCHic","NFB","TWIST1","SUFU","FUS","GSK3","RKIP","Jagged","AKT","MEK","SMO","Patched","SHH","SNAI1","SMAD","ILK","CDC42","miR200","TGF","ZEB1"
"TCFLEF",-0.00882026761183466,0.0820512820512821,-0.0416110635328449,0.0450268693382466,0.0422421449518224,0.0376771196283391,0.0367247386759582,-0.0324675324675325,0.109913738222562,-0.114285714285714,0.0342857142857143,-0.551415541343329,-0.0980392156862745,-0.222017156145315,-0.222017156145315,-0.237654475462004,-0.156116138763198,-0.174128561123446,-0.133039215686275,-0.0333333333333333,-0.278278623999787,-0.285752850803911,-0.0151903283688759,-0.124467843653406,-0.108328231077722,0.171520319303338,0.130833333333333,0.153910256410256,0.222017156145315,-0.188124542124542,0.0958333333333333,0.214095770856405,-0.114916578061315,0.0778415431213136,0.0176630531206621,0.0405866411605293,-0.00353246753246754,0.0910114215363775,0.0833333333333333,0.0766666666666667,0.487173928480284,0.0918932819029251,-0.0229461915353898,-0.0650682319083441,-0.0363165754106521,0.0480952380952381,0.0368049155145929,0.0288294553918936,0.222679424248462,0.00778078459954277,0.00758958001063264,-0.0285629099582588,-0.0244868652097568,0.0336547046979274,-0.0130368155236576
"NOTCHic",0.109634408602151,0.166666666666667,-0.0312709030100334,0.259282296650718,0.0888888888888889,0.286666666666667,0.286666666666667,0.0333333333333333,0.0760006901311249,0,0.22,-0.194013748060477,-0.12,-0.186508563899868,-0.186508563899868,-0.195868169811198,-0.161491841491841,-0.177620873749906,-0.158461538461538,-0.1,-0.178383521240664,-0.181284284599443,0.123005086232193,-0.266128976791631,-0.154181052377445,0.177975357975358,0.158461538461538,0.161491841491841,0.186508563899868,0.216504941599281,0.12,-0.0247728768926926,-0.0933816425120773,0.0257142857142857,-0.126747513946156,-0.116221198156682,-0.0444444444444444,0.0148080162029634,-0.0333333333333333,-0.0333333333333333,0.0932055666381685,-0.014682258004259,-0.111647028468221,-0.105167958656331,-0.292380952380952,-0.0717948717948718,-0.0835595776772247,-0.0975380723008807,-0.0586060236060236,-0.0587632750942103,-0.0652380952380952,-0.138666666666667,-0.223588319195256,-0.100080268474762,-0.239726247987118
"STAT",0.0813696172248804,0.140909090909091,0.066,0.290024630541872,0.102380952380952,0.25921568627451,0.253333333333333,0.05,-0.0135670429788077,0,0.233333333333333,-0.218872758097651,-0.171428571428571,-0.232273573200993,-0.232273573200993,-0.240482528424873,-0.18961038961039,-0.198854087089381,-0.171428571428571,-0.2,-0.198065726772351,-0.203190875759241,0.137596200588314,-0.329852881720931,-0.0909587660361654,0.199012099012099,0.171428571428571,0.18961038961039,0.232273573200993,0.249779240367476,0.171428571428571,-0.0334246762099523,-0.0906670252824099,-0.096078431372549,-0.140371267898395,-0.125808161102279,-0.05,0.0877367593259647,-0.05,-0.025,0.158371161548732,0.0158011583011583,-0.114355129952586,-0.114245359160613,-0.260290955091714,-0.085,-0.0873255813953488,-0.0988300061741099,-0.0202591150142324,-0.0643983563773669,-0.0609500805152979,-0.0971590909090909,-0.207221311903527,-0.0683261389640108,-0.219768692845616
"CDC42",0.130812324929972,0.0857142857142857,0.0663418290854573,0.256944444444444,0.0833333333333333,0.284347826086957,0.28,0.0333333333333333,0.0777460317460317,0,0.22,-0.205325883865958,-0.15,-0.190522875816993,-0.190522875816993,-0.200278973377969,-0.181111111111111,-0.194269005847953,-0.17,-0.1,-0.194624624624625,-0.198698698698699,0.1489677408391,-0.266759876386608,-0.141218124940753,0.194624624624625,0.17,0.181111111111111,0.190522875816993,0.227898193760263,0.15,-0.0239557286329166,-0.0898747069449249,-0.0666666666666667,-0.115897435897436,-0.105128205128205,-0.0333333333333333,0.00022510822510821,-0.0333333333333333,-0.019047619047619,0.0615611471861472,-0.0258275058275058,-0.103125,-0.093859649122807,-0.289432571849668,-0.0690476190476191,-0.0722734254992319,-0.0883228082152813,-0.0686908871718998,-0.0605308073050009,-0.0637566137566138,-0.152380952380952,-0.233783210253799,-0.120206264323911,-0.253282216841539
"GLI",0.146396660160486,0.185,0.000343845929584469,0.39363712983182,0.0748239646735887,0.332987012987013,0.334285714285714,0.0277777777777778,0.0891154011154011,0.0166666666666667,0.334285714285714,-0.221877940785853,-0.08,-0.301191721892803,-0.301191721892803,-0.300993702090823,-0.104364326375712,-0.205640922120392,-0.0961290322580645,-0.15,-0.197767645957233,-0.196631961557951,0.129775370893848,-0.235815217822025,-0.139587907066664,0.195170243359831,0.186129032258065,0.193446105428796,0.301191721892803,0.233128019323671,0.17,0.0222096448228414,-0.089521164021164,-0.0807780725022104,-0.103754262978401,-0.0932780725022104,-0.0646198830409357,0.0418312219755344,0.114285714285714,0.0767857142857143,0.162568693423055,0.0630877794830128,-0.0556280503328621,-0.0873239646735887,-0.329119609672096,0.0767857142857143,0.0625,0.0612654320987654,0.0305274878404597,-0.00148151083159585,0.00230227295218793,-0.160862068965517,-0.176912870411322,-0.140514307219309,-0.168933521078682
"Csl",0.100080268474762,0.138666666666667,-0.0358460664087263,0.245461158439336,0.105167958656331,0.292380952380952,0.286666666666667,0.0444444444444444,0.0888578329882678,0.0333333333333333,0.286666666666667,-0.19517157865158,-0.158461538461538,-0.195868169811198,-0.195868169811198,-0.196603463928845,-0.177620873749906,-0.177620873749906,-0.161491841491841,-0.12,-0.181284284599443,-0.181341460128316,0.118723740666444,-0.262175488419538,-0.153957338730913,0.178383521240664,0.161491841491841,0.177975357975358,0.195868169811198,0.22293167681779,0.158461538461538,-0.0322441412605087,-0.0867518082579336,-0.116221198156682,-0.142202059400701,-0.126747513946156,-0.0888888888888889,0.0145822825686519,-0.0333333333333333,-0.0717948717948718,0.0948255960932495,-0.0151430874973465,-0.109563695134887,-0.119896640826873,-0.289120082815735,-0.0835595776772247,-0.0975380723008807,-0.100124279197432,-0.0530724267680789,-0.0682077195386548,-0.0587632750942103,-0.109634408602151,-0.227292022898959,-0.091236731059796,-0.233648899920819
"Jagged",0.166666666666667,0.2,-0.05,0.26,0.0333333333333333,0.22,0.2,0,0.0388888888888889,0,0.1,-0.181667953667954,0,-0.14,-0.14,-0.176363636363636,-0.12,-0.158461538461538,-0.1,0,-0.161491841491841,-0.177975357975358,0.137212365099689,-0.279859649122807,-0.152136752136752,0.158461538461538,0.1,0.12,0.14,0.182857142857143,0,-0.0128571428571429,-0.0867149758454106,0.1,0.0257142857142857,0.04,0,-0.006,0,0,0.0839080459770115,-0.0461538461538462,-0.0937662337662338,-0.0444444444444444,-0.286666666666667,-0.0333333333333333,-0.0333333333333333,-0.0717948717948718,-0.075,-0.0452380952380952,-0.05,-0.2,-0.225454545454545,-0.138666666666667,-0.256763285024155
"DELTA",0.166666666666667,0.2,-0.05,0.26,0.0333333333333333,0.22,0.2,0,0.0388888888888889,0,0.1,-0.181667953667954,0,-0.14,-0.14,-0.176363636363636,-0.12,-0.158461538461538,-0.1,0,-0.161491841491841,-0.177975357975358,0.137212365099689,-0.279859649122807,-0.152136752136752,0.158461538461538,0.1,0.12,0.14,0.182857142857143,0,-0.0128571428571429,-0.0867149758454106,0.1,0.0257142857142857,0.04,0,-0.006,0,0,0.0839080459770115,-0.0461538461538462,-0.0937662337662338,-0.0444444444444444,-0.286666666666667,-0.0333333333333333,-0.0333333333333333,-0.0717948717948718,-0.075,-0.0452380952380952,-0.05,-0.2,-0.225454545454545,-0.138666666666667,-0.256763285024155
"NOTCH",0.138666666666667,0.2,-0.0543478260869565,0.254736842105263,0.0444444444444444,0.286666666666667,0.22,0,0.0867149758454106,0,0.2,-0.191013748060477,-0.1,-0.176363636363636,-0.176363636363636,-0.186508563899868,-0.158461538461538,-0.161491841491841,-0.12,0,-0.177975357975358,-0.178383521240664,0.127264721120631,-0.271795132993775,-0.154782254782255,0.161491841491841,0.12,0.158461538461538,0.176363636363636,0.199838274932615,0.1,-0.0312244897959184,-0.0793075684380032,0.04,-0.116221198156682,0.0257142857142857,-0.0333333333333333,-0.000915254237288135,0,-0.0333333333333333,0.0907262277951933,-0.0358090185676393,-0.0937662337662338,-0.0888888888888889,-0.286666666666667,-0.0333333333333333,-0.0717948717948718,-0.0835595776772247,-0.0580769230769231,-0.0652380952380952,-0.0452380952380952,-0.166666666666667,-0.236883116883117,-0.109634408602151,-0.24194847020934
"SRC",0.0285714285714286,0.0666666666666667,0.0373303541873552,0.111428571428571,-0.00897435897435898,0.0717171717171717,0.0606060606060606,-0.05,-0.048578811369509,-0.1,0.0333333333333333,-0.27163839783405,-0.1,-0.161168126825198,-0.161168126825198,-0.174804490461562,-0.175,-0.196311475409836,-0.175,-0.2,-0.206067572970812,-0.209870704961863,0.116806241580602,-0.296887926887927,-0.04432437211899,0.196311475409836,0.175,0.175,0.161168126825198,0.24128947256577,0.2,0.0636321195144725,-0.0652890086852351,0.015,-0.0397619047619048,-0.0183333333333333,0.0166666666666667,0.0607629152456739,-0.0333333333333333,-0.0833333333333333,0.374891774891775,-0.0449006190941675,-0.118288637967537,-0.0243589743589744,-0.0773775490756623,-0.0633333333333333,-0.0966666666666667,-0.102549019607843,0.0393821779414859,-0.0648885727833096,-0.0657894736842105,-0.0666666666666667,-0.136805738544869,-0.014025974025974,-0.173697214734951
