"","KLF4","PAK1","HEY1","ILK","Patched","SHH","Csn","SMO","AXIN2","TrCP","SUFU","GLI","Wnt","Frizzled","NOTCH","NOTCHic","Csl","LIV1","EGR1","DELTA","SNAI2","RAF","PI3K","RAS","ZEB1","cfos","ERK","MEK","Jagged","Destcompl","STAT","DSH","miR200","SRC","cMet","Ecadherin","CD44","TCFLEF","cateninnuc","cateninmemb","FUS","NFB","RKIP","IKK","GSK3","AKT","TWIST1","ZEB2","SNAI1","SMAD","SOSGRB2","CDC42","TGFR","FOXC2","TGF"
"SNAI2",0.196153846153846,0.288235294117647,0.147272453285112,0.196042924211938,-0.340096038415366,-0.347138291936493,0.133333333333333,-0.317647058823529,0.598801649363221,0.1,-0.2,0.570007747016861,0.51813608926285,0.46038961038961,-0.229334700387332,-0.225438596491228,-0.209649122807018,0.3,0.133333333333333,0.277778998180661,0.693426545675096,-0.277778998180661,-0.277778998180661,-0.304263016445501,-0.25258569330816,-0.150980392156863,-0.156862745098039,-0.166322204557499,0.487555739910273,-0.228722440713706,-0.381818181818182,-0.381818181818182,0.10241392848923,-0.46038961038961,-0.51813608926285,-0.778353420912401,-0.570824261305861,-0.608968591202768,-0.641732566358047,-0.72574206480183,0.3,-0.183333333333333,-0.268769230769231,-0.22816091954023,-0.229340818410038,-0.270329594239025,-0.542660977777343,-0.195776169498636,-0.313730048571179,-0.226186464881795,-0.439688979039892,-0.359663865546218,-0.420347626229979,-0.447964117915194,-0.465689241136811
"cfos",0.178698412698413,0.371428571428571,0.231009495252374,0.225661375661376,0.138940092165899,0.147582067474541,0.133333333333333,0.135714285714286,0.252889983579639,0.1,0.133333333333333,0.224795321637427,0.201111111111111,0.19,0.112307692307692,0.107692307692308,0.1,0.1,-0.12,0.13458605664488,-0.0560593421177363,-0.13458605664488,-0.13458605664488,-0.149220202986344,-0.208111380145278,-0.04,-0.0530434782608696,-0.0581282240235814,-0.0794791666666667,-0.148386231831307,-0.15,-0.15,0.0114761055937527,-0.19,-0.201111111111111,-0.204781366639647,-0.222732732732733,-0.233623821841644,-0.244734932952755,-0.242801042943282,-0.119047619047619,-0.158333333333333,-0.244708624708625,-0.195833333333333,-0.171455627705628,-0.211622807017544,-0.321099567099567,-0.187153618509551,-0.321534330648255,-0.240177504693634,-0.326388888888889,-0.404761904761905,-0.438095238095238,-0.453500034160005,-0.460822510822511
"CDC42",0.178698412698413,0.271428571428571,0.231009495252374,0.225661375661376,0.138940092165899,0.147582067474541,0.133333333333333,0.135714285714286,0.252889983579639,0.1,0.133333333333333,0.224795321637427,0.201111111111111,0.19,0.112307692307692,0.107692307692308,0.1,0.1,-0.02,0.13458605664488,-0.0560593421177363,-0.13458605664488,-0.13458605664488,-0.149220202986344,-0.208111380145278,-0.04,-0.0530434782608696,-0.0581282240235814,-0.0794791666666667,-0.148386231831307,-0.15,-0.15,0.0114761055937527,-0.19,-0.201111111111111,-0.204781366639647,-0.222732732732733,-0.233623821841644,-0.244734932952755,-0.242801042943282,-0.119047619047619,-0.158333333333333,-0.244708624708625,-0.195833333333333,-0.171455627705628,-0.211622807017544,-0.321099567099567,-0.187153618509551,-0.321534330648255,-0.240177504693634,-0.326388888888889,-0.404761904761905,-0.438095238095238,-0.453500034160005,-0.460822510822511
"GLI",0.180062634062634,0.456666666666667,0.234151360806709,0.224686897585065,0.057406910132474,0.0561723422312395,0.183333333333333,0.0512844611528822,0.253363526570048,0.15,0.019047619047619,0.191961726351488,0.285578747628083,0.263225806451613,0.142671782240748,0.147433687002653,0.144933687002653,0.15,-0.0457142857142857,0.241952347733652,-0.0604179567399218,-0.241952347733652,-0.241952347733652,-0.242150367535632,-0.191497695852535,0.0373809523809524,0.0360822510822511,0.0366347372700964,-0.0904531815963962,-0.131663664173846,-0.19,-0.26,0.00762120232708468,-0.193225806451613,-0.212738001573564,-0.194808968159736,-0.218772484332185,-0.227863393423094,-0.232346358157105,-0.237031063184411,-0.056547619047619,-0.230701754385965,-0.214948993409768,-0.236824203365557,-0.0549340759999256,-0.241511703365557,-0.288195676234725,-0.179038914490527,-0.2672956647562,-0.237659870558038,-0.339190131402521,-0.487701149425287,-0.505940143135979,-0.411929179566563,-0.519822496077156
"Csl",0.169075224292616,0.345333333333333,0.329957155660481,0.223162041795135,0.173551306378631,0.1769995822407,0.144444444444444,0.168174962292609,0.0307497703775048,0.133333333333333,0.133333333333333,0.0316512519738326,0.0300383487480262,0.0246620046620047,0.141392190152801,0.141392190152801,0.136129032258065,0.02,0.0133333333333333,0.0462414247421744,-0.161367864312957,-0.0462414247421744,-0.0462414247421744,-0.0466090718009979,-0.188808373590982,-0.0204761904761905,-0.0233333333333333,-0.0233333333333333,-0.139572334628212,-0.0196468628901098,-0.0276923076923077,-0.0276923076923077,0.00296329006291604,-0.0246620046620047,-0.027958707958708,-0.0245126741707995,-0.0291831977546263,-0.0296412130218019,-0.030270143839412,-0.0286115813238453,-0.156410256410256,-0.177777777777778,-0.208816889816122,-0.184754521963824,-0.0738625538677247,-0.187080103359173,-0.200620642848772,-0.170626862750331,-0.278114614853745,-0.229828708461802,-0.256742910491306,-0.358236559139785,-0.367790699267174,-0.384643784098734,-0.372552604029078
"NOTCHic",0.166218081435473,0.333333333333333,0.321460423634337,0.213809523809524,0.168174962292609,0.173551306378631,0.133333333333333,0.156410256410256,0.0289502845163223,0.1,0.133333333333333,0.0300383487480262,0.0246620046620047,0.0276923076923077,0.141392190152801,0.136129032258065,0.22,0,-0.02,0.0427931488801054,-0.159951011218252,-0.0427931488801054,-0.0427931488801054,-0.0462414247421744,-0.188808373590982,-0.0133333333333333,-0.0204761904761905,-0.0233333333333333,-0.136968167961545,-0.0192202937249666,-0.02,-0.02,0.00623126391912519,-0.0276923076923077,-0.0246620046620047,-0.0239312788219623,-0.027958707958708,-0.0291831977546263,-0.0296412130218019,-0.027541244932408,-0.133333333333333,-0.144444444444444,-0.208356060323035,-0.177777777777778,-0.0734207276527026,-0.184754521963824,-0.199040507408592,-0.168969404186795,-0.273766788766789,-0.223162041795135,-0.249425837320574,-0.345333333333333,-0.358236559139785,-0.380046082949309,-0.367790699267174
"NOTCH",0.151932367149758,0.3,0.313768115942029,0.207142857142857,0.156410256410256,0.168174962292609,0.1,0.133333333333333,0.0261725067385445,0,0.1,0.0246620046620047,0.0276923076923077,0.02,0.136129032258065,0.22,0.22,0,0,0.0442424242424242,-0.158548205607029,-0.0442424242424242,-0.0442424242424242,-0.0427931488801054,-0.177697262479871,0.02,-0.0133333333333333,-0.0204761904761905,-0.136305916305916,-0.0192202937249666,0,0,0.00796536796536797,-0.02,-0.0276923076923077,-0.0222467458970006,-0.0246620046620047,-0.027958707958708,-0.0291831977546263,-0.0277440846890003,-0.133333333333333,-0.133333333333333,-0.198496905393457,-0.144444444444444,-0.0701149425287356,-0.177777777777778,-0.190864406779661,-0.166747181964573,-0.272179487179487,-0.213809523809524,-0.235789473684211,-0.333333333333333,-0.345333333333333,-0.367142857142857,-0.358236559139785
"KLF4",0.17037037037037,0.281818181818182,0.131749427043545,0.173333333333333,-0.308333333333333,-0.307258064516129,0.1,-0.283333333333333,0.570824261305861,0.1,-0.2,0.535599163482554,0.487323301413589,0.443137254901961,-0.176524441375228,-0.179617224880383,-0.169090909090909,0.3,0.12,0.240897435897436,0.442525139011069,-0.240897435897436,-0.240897435897436,-0.268103318250377,-0.218926728586171,-0.129090909090909,-0.129090909090909,-0.140431115276476,0.443663622734087,-0.176875544612868,-0.366666666666667,-0.366666666666667,0.0772893772893773,-0.443137254901961,-0.487323301413589,-0.637452545754415,-0.536888518804893,-0.565985508771448,-0.595499830066591,-0.685508980630932,0.3,-0.16,-0.227540713254999,-0.202857142857143,-0.183482480747811,-0.243597883597884,-0.505769063180828,-0.162481940144479,-0.266704795186513,-0.196521739130435,-0.418353344768439,-0.341818181818182,-0.396484848484848,-0.415738500145639,-0.433070214338507
"FOXC2",0.17037037037037,0.281818181818182,0.131749427043545,0.173333333333333,-0.308333333333333,-0.307258064516129,0.1,-0.283333333333333,0.570824261305861,0.1,-0.2,0.535599163482554,0.487323301413589,0.443137254901961,-0.176524441375228,-0.179617224880383,-0.169090909090909,0.3,0.12,0.240897435897436,0.442525139011069,-0.240897435897436,-0.240897435897436,-0.268103318250377,-0.218926728586171,-0.129090909090909,-0.129090909090909,-0.140431115276476,0.443663622734087,-0.176875544612868,-0.366666666666667,-0.366666666666667,0.0772893772893773,-0.443137254901961,-0.487323301413589,-0.637452545754415,-0.536888518804893,-0.565985508771448,-0.595499830066591,-0.685508980630932,0.3,-0.16,-0.227540713254999,-0.202857142857143,-0.183482480747811,-0.243597883597884,-0.505769063180828,-0.162481940144479,-0.266704795186513,-0.196521739130435,-0.418353344768439,-0.341818181818182,-0.396484848484848,-0.415738500145639,-0.433070214338507
"SUFU",0.166149395198674,0.521666666666667,0.243018898335818,0.252575524833589,-0.099040404040404,-0.106376311376311,0.221428571428571,-0.106111111111111,0.555351417329445,0.15,-0.12,0.495031852699139,0.476816239316239,0.440277777777778,0.027972582972583,0.0359090909090909,0.0222727272727273,0.25,0.0876923076923077,0.19941997172118,0.346548118113741,-0.19941997172118,-0.19941997172118,-0.203533895771813,-0.289613991226286,-0.0967832167832168,-0.111725745518849,-0.113853405093317,0.139613403657991,-0.0830127975227101,-0.323333333333333,-0.4125,0.0315087016677763,-0.351111111111111,-0.388975188781014,-0.314586319853388,-0.406268421863721,-0.428551030559373,-0.438934662272928,-0.416185762964056,0.095,-0.257428571428571,-0.297950066624588,-0.299736263736264,-0.0705603955069795,-0.312487941588613,-0.378802676609407,-0.15223217088901,-0.357395557189531,-0.270820328528739,-0.486412710096921,-0.562207207207207,-0.589866781675292,-0.498702426898083,-0.614521614022432
