"","ZEB2","ZEB1","Wnt","TWIST1","TrCP","TGFR","TGF","TCFLEF","SUFU","STAT","SRC","SOSGRB2","SNAI2","SNAI1","SMO","SMAD","SHH","RKIP","RAS","RAF","PI3K","Patched","PAK1","NOTCHic","NOTCH","NFB","miR200","MEK","LOXL23","LIV1","KLF4","JAK","Jagged","ILK","IKK","HEY1","GSK3","GLI","FUS","Frizzled","FOXC2","ERK","EGR1","Ecadherin","DSH","Destcompl","DELTA","Csn","Csl","cMet","cfos","CDC42","CD44","cateninnuc","cateninmemb","AXIN2","AKT"
"ZEB2",0.298943502707235,-0.298943502707235,-0.347459207459207,-0.0951346102984378,-0.1,0.171836734693878,0.157021919879063,-0.366412294429344,-0.125,-0.28,0.32,0.269212454212454,-0.261066375423683,-0.00339774012998215,-0.179285714285714,0.118930562738533,0.206358885017422,-0.00289855072463769,0.259343789686402,0.246709956709957,0.246709956709957,0.196358885017422,0.214285714285714,0.0462564102564102,0.0708465741908365,0.148611111111111,0.342421140157055,0.0837898739768382,0,-0.2,0.398654425793839,0,-0.0452706710964392,0.119540318836093,0.181944444444444,-0.108680351906158,0.180580171408414,-0.362138106541776,0.153571428571429,0.321818181818182,-0.0685283605283605,-0.0508630447085455,0.0416666666666667,-0.366949467826033,-0.281818181818182,-0.350157620722438,0.246709956709957,-0.111111111111111,-0.0102564102564102,0.346315789473684,-0.0057017543859649,0.194285714285714,-0.361130604288499,-0.366672034689084,-0.127471727177418,-0.225270672737627,0.209047248182762
"ZEB1",-0.071002120142256,0.071002120142256,0.186230233181453,0.269588897604317,-0.0666666666666667,0.26217957011342,0.259817365389011,0.187983922927946,-0.0666666666666667,0.192307692307692,-0.194746716697936,0.158011695906433,0.26242691788407,-0.179696874639604,-0.0712121212121212,0.120898662326837,0.0749522649564517,-0.148692674185904,-0.196059719647976,-0.199366806262149,-0.199366806262149,0.0731729055258467,0.257471264367816,-0.208333333333333,-0.207506887052342,0.0414035087719298,-0.186059711802947,-0.138790705709597,0,0.2,-0.0626230482179454,0,0.170527719564672,0.120898662326837,0.0430428530342249,-0.0979900237931326,-0.196501748470511,0.183137449676298,0.0666666666666667,-0.18815331010453,-0.313193212297818,0.149803921568627,0.133333333333333,0.070006884547137,0.185714285714286,0.196320173249675,-0.199366806262149,-0.0466666666666667,0.208333333333333,-0.192785932384211,0.153333333333333,0.26471764117941,0.189313710161989,0.188571007076674,-0.0294490480107734,0.0946974436711456,0.0473285673199392
"Wnt",0.0111908177905308,-0.0111908177905308,0.25,0.121176470588235,-0.1,-0.0466666666666667,-0.0292753623188406,0.265789473684211,0,0.1,-0.2,-0.172727272727273,0.169741379310345,-0.0995341614906832,0.05,-0.0168554959252634,-0.0733766233766234,-0.0933333333333333,-0.221907040328093,-0.208270676691729,-0.208270676691729,-0.0590909090909091,-0.1,0.00714285714285715,-0.0345238095238095,0.0666666666666667,-0.00272727272727273,-0.121176470588235,0,0,-0.00588235294117647,0,0.0952450980392157,-0.0145299145299145,0.00666666666666668,0.00564102564102564,-0.181974921630094,0.265789473684211,0,-0.3,-0.0300404858299595,0.08,-0.1,0.187134240005995,0.2,0.317146904528402,-0.208270676691729,-0.1,-0.05,-0.25,0,-0.0666666666666667,0.265789473684211,0.267776228651098,-0.0166949152542373,0.160606060606061,-0.0183333333333333
"TWIST1",0.00347979558505874,-0.00347979558505874,-0.139941520467836,-0.144562220769315,-0.2,0.0804140543364681,0.0820085873660809,-0.131370915002532,-0.233333333333333,-0.133333333333333,0.138888888888889,0.0881124215220325,0.151899857602849,0.0431910322243404,-0.248444444444444,0.138859786879589,0.249321696620705,-0.0195987913379218,0.168773273379687,0.172197930913933,0.172197930913933,0.249814307458143,0.0860606060606061,0.0862678062678063,0.0872112024942214,0.273076923076923,-0.0297393704363624,0.193673850427496,0,-0.133333333333333,-0.00339795705649364,0,-0.0272607662522537,0.137869687869688,0.277838827838828,-0.145787545787546,0.157860283507342,-0.135141520467836,0.244444444444444,0.138888888888889,-0.0122961340984597,-0.201136536994661,-0.173333333333333,-0.0681765817672332,-0.133333333333333,-0.164860069946892,0.172197930913933,-0.25,-0.0837037037037037,0.138888888888889,-0.203768115942029,0.0791640543364681,-0.133668005354752,-0.130738367561474,-0.0328303026771486,-0.0993051034986519,0.277838827838828
"TrCP",-0.0640550641387589,0.0640550641387589,0.274307992202729,0.0610679465462074,0.0333333333333333,-0.171288515406162,-0.163638242182119,0.284386366564584,0.0476190476190476,0.24,-0.258518518518518,-0.205184268426843,0.0960402869790285,0.0321786383560952,0.0970814132104455,-0.0442123229220003,-0.114192524321557,0.0428597921415601,-0.274410339647068,-0.268501248737978,-0.268501248737978,-0.108192524321557,-0.20952380952381,-0.108461538461538,-0.120549450549451,-0.0958333333333333,0.0365250853456288,-0.157915008597396,0,0.2,-0.0581894353369763,0,0.0823270279481936,-0.0455026455026455,-0.122149122807018,0.0489894758503101,-0.145364177489177,0.283576284885656,-0.080952380952381,-0.258518518518518,0.0944954802778975,0.13924834193073,0.08,0.250987350933024,0.24,0.294820522953303,-0.268501248737978,0.0583333333333333,0.0884615384615385,-0.274734734734735,0.110434782608696,-0.187955182072829,0.283645625823844,0.28314498725424,0.0977729323785413,0.186231682002664,-0.138815789473684
"TGFR",0.0681558471463916,-0.0681558471463916,-0.180862533692722,-0.0501528931066298,-0.233333333333333,0.0120634920634921,0.00638973319824384,-0.184593451897325,-0.153333333333333,-0.166666666666667,0.166666666666667,0.139879792072775,0.00151972699539071,0.0304539922399939,-0.180344827586207,0.149143750674,0.186294686343269,-0.0682683982683983,0.186215538847118,0.180952380952381,0.180952380952381,0.183469827586207,0.131111111111111,0.0104597701149425,0.0169345902588274,0.247619047619048,-0.0564007059557671,0.211792952701388,0,-0.1,0.0712433257055683,0,0.0825697423747625,0.148787878787879,0.258145363408521,-0.135460992907801,-0.01100376647963,-0.187959307886271,0.17,0.171428571428571,0.026561610024682,-0.192614870509607,-0.152380952380952,-0.138179004290894,-0.171428571428571,-0.142196549797345,0.180952380952381,-0.233333333333333,0.00333333333333333,0.176100628930818,-0.168170426065163,0.126349206349206,-0.182679576299239,-0.182910546671461,-0.0600596580103248,-0.127786671813854,0.267447688989917
"TGF",0.0730615075237501,-0.0730615075237501,-0.171428571428571,-0.0448148148148148,-0.2,0.126349206349206,0.0120634920634921,-0.182679576299239,-0.133333333333333,-0.1,0.166666666666667,0.146052631578947,0.00730676403242775,0.0272091544818818,-0.17,0.148787878787879,0.183469827586207,-0.0696969696969697,0.180952380952381,0.168452380952381,0.168452380952381,0.180344827586207,0.12,-0.00333333333333333,0.0104597701149425,0.233333333333333,-0.0590400021434504,0.192614870509607,0,0,0.0712433257055683,0,0.0861929307805596,0.148787878787879,0.247619047619048,-0.135460992907801,-0.0122262603671606,-0.180862533692722,0.153333333333333,0.171428571428571,0.0173913043478261,-0.168170426065163,-0.166666666666667,-0.139882581803671,-0.1,-0.140382033668313,0.168452380952381,-0.233333333333333,0.0333333333333333,0.166666666666667,-0.152380952380952,0.131111111111111,-0.176100628930818,-0.184593451897325,-0.0635238612435811,-0.126499118165785,0.258145363408521
"TCFLEF",0.0562364433811802,-0.0562364433811802,0.034746103569633,0.163648696084881,0.114285714285714,0.267837538104871,0.263532902343282,-0.0737501517048298,0.1,0.0416666666666667,-0.0316666666666667,0.102610778443114,0.189104882602535,-0.139057581191472,0.0838095238095238,-0.00548449982363638,-0.0781297296278496,-0.0424718739954998,-0.058530883271724,-0.0597135376738265,-0.0597135376738265,-0.0805837173579109,0.279487179487179,-0.161708911206759,-0.15672552250244,-0.0931948051948052,-0.0485782089396547,-0.12006968641115,0,0.0666666666666667,0.161950916730328,0,0.0527072998748775,-0.00567570441254652,-0.0802915793883536,0.0455315126716782,-0.0423148834895231,0.0335038675447883,-0.0933333333333333,-0.0390196078431373,-0.342242011344524,0.12006968641115,0.145714285714286,-0.200507036550549,0.0490196078431373,0.0601251731749301,-0.0597135376738265,0.105194805194805,0.171512832775387,-0.0273931623931624,0.128641114982578,0.272510435301133,0.0261353007579423,-0.073234687787304,-0.11177024522198,-0.0101142857142857,-0.0748567967796579
"SUFU",0.0711057537502782,-0.0711057537502782,0.165064102564103,0.117122880073867,0.15,0.15258098524056,0.147650018771132,0.0493085473286424,0.213333333333333,0.08,-0.0633333333333333,0.0499754631333579,0.26719476191236,-0.187624866928837,0.207777777777778,0.00104102293031743,-0.199252369252369,-0.152443369100217,-0.194867755258176,-0.198981679308809,-0.198981679308809,-0.202727272727273,0.161666666666667,-0.203636363636364,-0.194906204906205,-0.160285714285714,-0.040666147424385,-0.206977649398779,0,0.1,0.096003893851641,0,0.0655032731309811,0.000348182283666155,-0.148747252747253,0.0139034878165313,-0.169069246104668,0.160974883233248,-0.213333333333333,-0.170833333333333,-0.308569035320396,0.21761594727112,0.252307692307692,-0.127312893274488,0.1875,0.181909145659916,-0.198981679308809,0.164285714285714,0.217272727272727,-0.056537216828479,0.237156177156177,0.158963963963964,0.0520259386329903,0.0488481892723764,-0.145796749201263,-0.00091092414193159,-0.140022420532488
"STAT",-0.0926214810830195,0.0926214810830195,-0.0400974025974026,-0.17731588751079,0,-0.23450956937799,-0.227263192566396,-0.0234401726909613,0,-0.0571428571428571,0.0446428571428571,-0.119622331691297,-0.115556874248121,0.134629246008519,0.02,-0.0442834138486312,-0.0331714344515332,0.118260939510939,0.0457904336876412,0.0547456575682382,0.0547456575682382,-0.0269767441860465,-0.227272727272727,0.0355060943296237,0.0306517253975849,0,0.0465437594718019,-0.00516129032258064,0,0,-0.00688255100019806,0,-0.0172888197672387,-0.0442834138486312,-0.0142857142857143,0.0373333333333333,0.104156653315532,-0.030853705118411,0,0.0446428571428571,0.250237218813906,-0.00666666666666667,0.0333333333333333,0.0936026550235522,-0.0571428571428571,-0.0805804132733943,0.0547456575682382,0,-0.0490196078431372,0.0400974025974026,-0.00666666666666667,-0.239772727272727,-0.0306956931956932,-0.0216523300211163,0.0183013093825409,-0.0389966895849249,-0.0227602905569007
